validation_group_id,source_study_id,source_package_id,data_lineage_id,source_organization_id,laboratory_id,base_material_id,material_roast_unit_id,species,roast_stratum,roast_batch_id,quantitative_roast_metric_type,quantitative_roast_metric_unit,roast_mass_loss_metric_unit,role,analyte_plan,moisture_plan,uncertainty_plan
VG01,STUDY-VG01,PACKAGE-VG01,LINEAGE-VG01,ORG-01,LAB-A,VG01-A-S1,VG01-A-LIGHT,Arabica,light,RB-VG01-A-LIGHT,CIE_L_STAR_GROUND_COFFEE,1,percent_dry_basis,OPEN_PRIMARY,caffeine|trigonelline,SAME_BATCH_N3,REPLICATE_LEVEL
VG01,STUDY-VG01,PACKAGE-VG01,LINEAGE-VG01,ORG-01,LAB-A,VG01-A-S1,VG01-A-MEDIUM,Arabica,medium,RB-VG01-A-MEDIUM,CIE_L_STAR_GROUND_COFFEE,1,percent_dry_basis,OPEN_PRIMARY,caffeine|trigonelline,SAME_BATCH_N3,REPLICATE_LEVEL
VG01,STUDY-VG01,PACKAGE-VG01,LINEAGE-VG01,ORG-01,LAB-A,VG01-A-S2,VG01-A-DARK,Arabica,dark,RB-VG01-A-DARK,CIE_L_STAR_GROUND_COFFEE,1,percent_dry_basis,OPEN_PRIMARY,caffeine|trigonelline,SAME_BATCH_N3,REPLICATE_LEVEL
VG01,STUDY-VG01,PACKAGE-VG01,LINEAGE-VG01,ORG-01,LAB-A,VG01-R-S1,VG01-R-LIGHT,Robusta,light,RB-VG01-R-LIGHT,CIE_L_STAR_GROUND_COFFEE,1,percent_dry_basis,OPEN_PRIMARY,caffeine|trigonelline,SAME_BATCH_N3,REPLICATE_LEVEL
VG01,STUDY-VG01,PACKAGE-VG01,LINEAGE-VG01,ORG-01,LAB-A,VG01-R-S1,VG01-R-MEDIUM,Robusta,medium,RB-VG01-R-MEDIUM,CIE_L_STAR_GROUND_COFFEE,1,percent_dry_basis,OPEN_PRIMARY,caffeine|trigonelline,SAME_BATCH_N3,REPLICATE_LEVEL
VG01,STUDY-VG01,PACKAGE-VG01,LINEAGE-VG01,ORG-01,LAB-A,VG01-R-S2,VG01-R-DARK,Robusta,dark,RB-VG01-R-DARK,CIE_L_STAR_GROUND_COFFEE,1,percent_dry_basis,OPEN_PRIMARY,caffeine|trigonelline,SAME_BATCH_N3,REPLICATE_LEVEL
VG02,STUDY-VG02,PACKAGE-VG02,LINEAGE-VG02,ORG-02,LAB-B,VG02-A-S2,VG02-A-LIGHT,Arabica,light,RB-VG02-A-LIGHT,CIE_L_STAR_GROUND_COFFEE,1,percent_dry_basis,OPEN_PRIMARY,caffeine|trigonelline,SAME_BATCH_N3,REPLICATE_LEVEL
VG02,STUDY-VG02,PACKAGE-VG02,LINEAGE-VG02,ORG-02,LAB-B,VG02-A-S1,VG02-A-MEDIUM,Arabica,medium,RB-VG02-A-MEDIUM,CIE_L_STAR_GROUND_COFFEE,1,percent_dry_basis,OPEN_PRIMARY,caffeine|trigonelline,SAME_BATCH_N3,REPLICATE_LEVEL
VG02,STUDY-VG02,PACKAGE-VG02,LINEAGE-VG02,ORG-02,LAB-B,VG02-A-S1,VG02-A-DARK,Arabica,dark,RB-VG02-A-DARK,CIE_L_STAR_GROUND_COFFEE,1,percent_dry_basis,OPEN_PRIMARY,caffeine|trigonelline,SAME_BATCH_N3,REPLICATE_LEVEL
VG02,STUDY-VG02,PACKAGE-VG02,LINEAGE-VG02,ORG-02,LAB-B,VG02-R-S2,VG02-R-LIGHT,Robusta,light,RB-VG02-R-LIGHT,CIE_L_STAR_GROUND_COFFEE,1,percent_dry_basis,OPEN_PRIMARY,caffeine|trigonelline,SAME_BATCH_N3,REPLICATE_LEVEL
VG02,STUDY-VG02,PACKAGE-VG02,LINEAGE-VG02,ORG-02,LAB-B,VG02-R-S1,VG02-R-MEDIUM,Robusta,medium,RB-VG02-R-MEDIUM,CIE_L_STAR_GROUND_COFFEE,1,percent_dry_basis,OPEN_PRIMARY,caffeine|trigonelline,SAME_BATCH_N3,REPLICATE_LEVEL
VG02,STUDY-VG02,PACKAGE-VG02,LINEAGE-VG02,ORG-02,LAB-B,VG02-R-S1,VG02-R-DARK,Robusta,dark,RB-VG02-R-DARK,CIE_L_STAR_GROUND_COFFEE,1,percent_dry_basis,OPEN_PRIMARY,caffeine|trigonelline,SAME_BATCH_N3,REPLICATE_LEVEL
VG03,STUDY-VG03,PACKAGE-VG03,LINEAGE-VG03,ORG-03,LAB-C,VG03-A-S1,VG03-A-LIGHT,Arabica,light,RB-VG03-A-LIGHT,CIE_L_STAR_GROUND_COFFEE,1,percent_dry_basis,OPEN_PRIMARY,caffeine|trigonelline,SAME_BATCH_N3,REPLICATE_LEVEL
VG03,STUDY-VG03,PACKAGE-VG03,LINEAGE-VG03,ORG-03,LAB-C,VG03-A-S1,VG03-A-MEDIUM,Arabica,medium,RB-VG03-A-MEDIUM,CIE_L_STAR_GROUND_COFFEE,1,percent_dry_basis,OPEN_PRIMARY,caffeine|trigonelline,SAME_BATCH_N3,REPLICATE_LEVEL
VG03,STUDY-VG03,PACKAGE-VG03,LINEAGE-VG03,ORG-03,LAB-C,VG03-A-S2,VG03-A-DARK,Arabica,dark,RB-VG03-A-DARK,CIE_L_STAR_GROUND_COFFEE,1,percent_dry_basis,OPEN_PRIMARY,caffeine|trigonelline,SAME_BATCH_N3,REPLICATE_LEVEL
VG03,STUDY-VG03,PACKAGE-VG03,LINEAGE-VG03,ORG-03,LAB-C,VG03-R-S1,VG03-R-LIGHT,Robusta,light,RB-VG03-R-LIGHT,CIE_L_STAR_GROUND_COFFEE,1,percent_dry_basis,OPEN_PRIMARY,caffeine|trigonelline,SAME_BATCH_N3,REPLICATE_LEVEL
VG03,STUDY-VG03,PACKAGE-VG03,LINEAGE-VG03,ORG-03,LAB-C,VG03-R-S1,VG03-R-MEDIUM,Robusta,medium,RB-VG03-R-MEDIUM,CIE_L_STAR_GROUND_COFFEE,1,percent_dry_basis,OPEN_PRIMARY,caffeine|trigonelline,SAME_BATCH_N3,REPLICATE_LEVEL
VG03,STUDY-VG03,PACKAGE-VG03,LINEAGE-VG03,ORG-03,LAB-C,VG03-R-S2,VG03-R-DARK,Robusta,dark,RB-VG03-R-DARK,CIE_L_STAR_GROUND_COFFEE,1,percent_dry_basis,OPEN_PRIMARY,caffeine|trigonelline,SAME_BATCH_N3,REPLICATE_LEVEL
VG04,STUDY-VG04,PACKAGE-VG04,LINEAGE-VG04,ORG-04,LAB-D,VG04-A-S2,VG04-A-LIGHT,Arabica,light,RB-VG04-A-LIGHT,CIE_L_STAR_GROUND_COFFEE,1,percent_dry_basis,OPEN_PRIMARY,caffeine|trigonelline,SAME_BATCH_N3,REPLICATE_LEVEL
VG04,STUDY-VG04,PACKAGE-VG04,LINEAGE-VG04,ORG-04,LAB-D,VG04-A-S1,VG04-A-MEDIUM,Arabica,medium,RB-VG04-A-MEDIUM,CIE_L_STAR_GROUND_COFFEE,1,percent_dry_basis,OPEN_PRIMARY,caffeine|trigonelline,SAME_BATCH_N3,REPLICATE_LEVEL
VG04,STUDY-VG04,PACKAGE-VG04,LINEAGE-VG04,ORG-04,LAB-D,VG04-A-S1,VG04-A-DARK,Arabica,dark,RB-VG04-A-DARK,CIE_L_STAR_GROUND_COFFEE,1,percent_dry_basis,OPEN_PRIMARY,caffeine|trigonelline,SAME_BATCH_N3,REPLICATE_LEVEL
VG04,STUDY-VG04,PACKAGE-VG04,LINEAGE-VG04,ORG-04,LAB-D,VG04-R-S2,VG04-R-LIGHT,Robusta,light,RB-VG04-R-LIGHT,CIE_L_STAR_GROUND_COFFEE,1,percent_dry_basis,OPEN_PRIMARY,caffeine|trigonelline,SAME_BATCH_N3,REPLICATE_LEVEL
VG04,STUDY-VG04,PACKAGE-VG04,LINEAGE-VG04,ORG-04,LAB-D,VG04-R-S1,VG04-R-MEDIUM,Robusta,medium,RB-VG04-R-MEDIUM,CIE_L_STAR_GROUND_COFFEE,1,percent_dry_basis,OPEN_PRIMARY,caffeine|trigonelline,SAME_BATCH_N3,REPLICATE_LEVEL
VG04,STUDY-VG04,PACKAGE-VG04,LINEAGE-VG04,ORG-04,LAB-D,VG04-R-S1,VG04-R-DARK,Robusta,dark,RB-VG04-R-DARK,CIE_L_STAR_GROUND_COFFEE,1,percent_dry_basis,OPEN_PRIMARY,caffeine|trigonelline,SAME_BATCH_N3,REPLICATE_LEVEL
