sample_id,variety,temperature_C_source,temperature_K,pressure_bar_source,pressure_Pa,pressure_reference,grind_code_source,source_on_grid,source_shot_duration_s,basket_radius_m,bed_height_m,dose_nominal_kg,dose_tolerance_kg,beverage_mass_nominal_kg,beverage_mass_tolerance_kg,tamp_condition,source_dataset_id,source_path,source_row_lineage
A1,Arabica,93.4,366.54999999999995,9.0,900000.0,MACHINE_OVERPRESSURE_GAUGE_REPORTED,O,True,20.0,0.02925,0.01388,0.02,0.0001,0.04,0.002,20 kgF reported,angeloni2023,puckworks/data/angeloni2023/bioactives.csv,A1
A10,Arabica,96.0,369.15,9.0,900000.0,MACHINE_OVERPRESSURE_GAUGE_REPORTED,O,False,20.0,0.02925,0.01388,0.02,0.0001,0.04,0.002,20 kgF reported,angeloni2023,puckworks/data/angeloni2023/bioactives.csv,A10
A11,Arabica,91.0,364.15,8.0,800000.0,MACHINE_OVERPRESSURE_GAUGE_REPORTED,O,False,20.0,0.02925,0.01388,0.02,0.0001,0.04,0.002,20 kgF reported,angeloni2023,puckworks/data/angeloni2023/bioactives.csv,A11
A12,Arabica,93.4,366.54999999999995,9.0,900000.0,MACHINE_OVERPRESSURE_GAUGE_REPORTED,C,True,13.0,0.02925,0.01388,0.02,0.0001,0.04,0.002,20 kgF reported,angeloni2023,puckworks/data/angeloni2023/bioactives.csv,A12
A13,Arabica,93.4,366.54999999999995,6.0,600000.0,MACHINE_OVERPRESSURE_GAUGE_REPORTED,C,True,13.0,0.02925,0.01388,0.02,0.0001,0.04,0.002,20 kgF reported,angeloni2023,puckworks/data/angeloni2023/bioactives.csv,A13
A14,Arabica,93.4,366.54999999999995,12.0,1200000.0,MACHINE_OVERPRESSURE_GAUGE_REPORTED,C,True,13.0,0.02925,0.01388,0.02,0.0001,0.04,0.002,20 kgF reported,angeloni2023,puckworks/data/angeloni2023/bioactives.csv,A14
A15,Arabica,98.0,371.15,9.0,900000.0,MACHINE_OVERPRESSURE_GAUGE_REPORTED,C,True,13.0,0.02925,0.01388,0.02,0.0001,0.04,0.002,20 kgF reported,angeloni2023,puckworks/data/angeloni2023/bioactives.csv,A15
A16,Arabica,98.0,371.15,12.0,1200000.0,MACHINE_OVERPRESSURE_GAUGE_REPORTED,C,True,13.0,0.02925,0.01388,0.02,0.0001,0.04,0.002,20 kgF reported,angeloni2023,puckworks/data/angeloni2023/bioactives.csv,A16
A17,Arabica,98.0,371.15,6.0,600000.0,MACHINE_OVERPRESSURE_GAUGE_REPORTED,C,True,13.0,0.02925,0.01388,0.02,0.0001,0.04,0.002,20 kgF reported,angeloni2023,puckworks/data/angeloni2023/bioactives.csv,A17
A18,Arabica,88.0,361.15,9.0,900000.0,MACHINE_OVERPRESSURE_GAUGE_REPORTED,C,True,13.0,0.02925,0.01388,0.02,0.0001,0.04,0.002,20 kgF reported,angeloni2023,puckworks/data/angeloni2023/bioactives.csv,A18
