variety,species_id,source_species_code,source_value,source_unit,source_basis,canonical_value,canonical_unit,canonical_basis,conversion_rule,assumption_identifiers,input_role,source_path,source_row_lineage
Arabica,acetic_acid,AA,11870.0,mg/L (= mg/kg under source 1 kg = 1 L assumption),roast_and_ground_dry_coffee; source density assumption,0.011869999999999999,kg/kg,dry_coffee_mass_fraction,mass_fraction_kg_per_kg_dry = source_mg_per_kg * 1e-6,ANGELONI_1_KG_EQUALS_1_L,SOURCE_PRESERVED_DEFERRED,puckworks/data/angeloni2023/inventories.csv,Arabica:AA
Arabica,caffeine,CF,12540.0,mg/L (= mg/kg under source 1 kg = 1 L assumption),roast_and_ground_dry_coffee; source density assumption,0.012539999999999999,kg/kg,dry_coffee_mass_fraction,mass_fraction_kg_per_kg_dry = source_mg_per_kg * 1e-6,ANGELONI_1_KG_EQUALS_1_L,PRIMARY_ADJUDICATIVE_SPECIES,puckworks/data/angeloni2023/inventories.csv,Arabica:CF
Arabica,citric_acid,CA,39970.0,mg/L (= mg/kg under source 1 kg = 1 L assumption),roast_and_ground_dry_coffee; source density assumption,0.03997,kg/kg,dry_coffee_mass_fraction,mass_fraction_kg_per_kg_dry = source_mg_per_kg * 1e-6,ANGELONI_1_KG_EQUALS_1_L,SOURCE_PRESERVED_DEFERRED,puckworks/data/angeloni2023/inventories.csv,Arabica:CA
Arabica,ferulic_acid,FA,790.0,mg/L (= mg/kg under source 1 kg = 1 L assumption),roast_and_ground_dry_coffee; source density assumption,0.00079,kg/kg,dry_coffee_mass_fraction,mass_fraction_kg_per_kg_dry = source_mg_per_kg * 1e-6,ANGELONI_1_KG_EQUALS_1_L,SOURCE_PRESERVED_DEFERRED,puckworks/data/angeloni2023/inventories.csv,Arabica:FA
Arabica,tartaric_acid,TA,7700.0,mg/L (= mg/kg under source 1 kg = 1 L assumption),roast_and_ground_dry_coffee; source density assumption,0.007699999999999999,kg/kg,dry_coffee_mass_fraction,mass_fraction_kg_per_kg_dry = source_mg_per_kg * 1e-6,ANGELONI_1_KG_EQUALS_1_L,SOURCE_PRESERVED_DEFERRED,puckworks/data/angeloni2023/inventories.csv,Arabica:TA
Arabica,total_chlorogenic_acids,CQA,22130.0,mg/L (= mg/kg under source 1 kg = 1 L assumption),roast_and_ground_dry_coffee; source density assumption,0.02213,kg/kg,dry_coffee_mass_fraction,mass_fraction_kg_per_kg_dry = source_mg_per_kg * 1e-6,ANGELONI_1_KG_EQUALS_1_L,SECONDARY_ADAPTER_READY_NONADJUDICATIVE,puckworks/data/angeloni2023/inventories.csv,Arabica:CQA
Arabica,total_lipids,LP,138700.0,mg/L (= mg/kg under source 1 kg = 1 L assumption),roast_and_ground_dry_coffee; source density assumption,0.1387,kg/kg,dry_coffee_mass_fraction,mass_fraction_kg_per_kg_dry = source_mg_per_kg * 1e-6,ANGELONI_1_KG_EQUALS_1_L,DEFERRED_MULTIPHASE_CHANNEL,puckworks/data/angeloni2023/inventories.csv,Arabica:LP
Arabica,trigonelline,TR,7970.0,mg/L (= mg/kg under source 1 kg = 1 L assumption),roast_and_ground_dry_coffee; source density assumption,0.00797,kg/kg,dry_coffee_mass_fraction,mass_fraction_kg_per_kg_dry = source_mg_per_kg * 1e-6,ANGELONI_1_KG_EQUALS_1_L,PRIMARY_ADJUDICATIVE_SPECIES,puckworks/data/angeloni2023/inventories.csv,Arabica:TR
Robusta,acetic_acid,AA,27910.0,mg/L (= mg/kg under source 1 kg = 1 L assumption),roast_and_ground_dry_coffee; source density assumption,0.027909999999999997,kg/kg,dry_coffee_mass_fraction,mass_fraction_kg_per_kg_dry = source_mg_per_kg * 1e-6,ANGELONI_1_KG_EQUALS_1_L,SOURCE_PRESERVED_DEFERRED,puckworks/data/angeloni2023/inventories.csv,Robusta:AA
Robusta,caffeine,CF,18580.0,mg/L (= mg/kg under source 1 kg = 1 L assumption),roast_and_ground_dry_coffee; source density assumption,0.01858,kg/kg,dry_coffee_mass_fraction,mass_fraction_kg_per_kg_dry = source_mg_per_kg * 1e-6,ANGELONI_1_KG_EQUALS_1_L,PRIMARY_ADJUDICATIVE_SPECIES,puckworks/data/angeloni2023/inventories.csv,Robusta:CF
Robusta,citric_acid,CA,40920.0,mg/L (= mg/kg under source 1 kg = 1 L assumption),roast_and_ground_dry_coffee; source density assumption,0.04092,kg/kg,dry_coffee_mass_fraction,mass_fraction_kg_per_kg_dry = source_mg_per_kg * 1e-6,ANGELONI_1_KG_EQUALS_1_L,SOURCE_PRESERVED_DEFERRED,puckworks/data/angeloni2023/inventories.csv,Robusta:CA
Robusta,ferulic_acid,FA,1060.0,mg/L (= mg/kg under source 1 kg = 1 L assumption),roast_and_ground_dry_coffee; source density assumption,0.00106,kg/kg,dry_coffee_mass_fraction,mass_fraction_kg_per_kg_dry = source_mg_per_kg * 1e-6,ANGELONI_1_KG_EQUALS_1_L,SOURCE_PRESERVED_DEFERRED,puckworks/data/angeloni2023/inventories.csv,Robusta:FA
Robusta,tartaric_acid,TA,5970.0,mg/L (= mg/kg under source 1 kg = 1 L assumption),roast_and_ground_dry_coffee; source density assumption,0.00597,kg/kg,dry_coffee_mass_fraction,mass_fraction_kg_per_kg_dry = source_mg_per_kg * 1e-6,ANGELONI_1_KG_EQUALS_1_L,SOURCE_PRESERVED_DEFERRED,puckworks/data/angeloni2023/inventories.csv,Robusta:TA
Robusta,total_chlorogenic_acids,CQA,16080.0,mg/L (= mg/kg under source 1 kg = 1 L assumption),roast_and_ground_dry_coffee; source density assumption,0.01608,kg/kg,dry_coffee_mass_fraction,mass_fraction_kg_per_kg_dry = source_mg_per_kg * 1e-6,ANGELONI_1_KG_EQUALS_1_L,SECONDARY_ADAPTER_READY_NONADJUDICATIVE,puckworks/data/angeloni2023/inventories.csv,Robusta:CQA
Robusta,total_lipids,LP,96200.0,mg/L (= mg/kg under source 1 kg = 1 L assumption),roast_and_ground_dry_coffee; source density assumption,0.0962,kg/kg,dry_coffee_mass_fraction,mass_fraction_kg_per_kg_dry = source_mg_per_kg * 1e-6,ANGELONI_1_KG_EQUALS_1_L,DEFERRED_MULTIPHASE_CHANNEL,puckworks/data/angeloni2023/inventories.csv,Robusta:LP
Robusta,trigonelline,TR,5960.0,mg/L (= mg/kg under source 1 kg = 1 L assumption),roast_and_ground_dry_coffee; source density assumption,0.00596,kg/kg,dry_coffee_mass_fraction,mass_fraction_kg_per_kg_dry = source_mg_per_kg * 1e-6,ANGELONI_1_KG_EQUALS_1_L,PRIMARY_ADJUDICATIVE_SPECIES,puckworks/data/angeloni2023/inventories.csv,Robusta:TR
