sample_id,variety,observable_id,species_id,source_species_code,source_value,source_unit,source_basis,canonical_value,canonical_unit,canonical_basis,uncertainty_value,uncertainty_type,uncertainty_scope,uncertainty_status,source_derived,protected_target,source_path,source_row_lineage
A1,Arabica,bioactives,3_caffeoylquinic_acid,3CQA,2.95,g/L,directly_reported_beverage_volumetric_concentration,2.95,kg/m^3,beverage_volume,,,VARIETY_LEVEL_RANGE_METADATA_ONLY,VARIETY_RANGE_ONLY_NOT_CONDITION_SPECIFIC,False,True,puckworks/data/angeloni2023/bioactives.csv,A1
A1,Arabica,bioactives,3_5_dicaffeoylquinic_acid,3_5diCQA,0.3,g/L,directly_reported_beverage_volumetric_concentration,0.3,kg/m^3,beverage_volume,,,VARIETY_LEVEL_RANGE_METADATA_ONLY,VARIETY_RANGE_ONLY_NOT_CONDITION_SPECIFIC,False,True,puckworks/data/angeloni2023/bioactives.csv,A1
A1,Arabica,bioactives,5_caffeoylquinic_acid,5CQA,5.89,g/L,directly_reported_beverage_volumetric_concentration,5.89,kg/m^3,beverage_volume,,,VARIETY_LEVEL_RANGE_METADATA_ONLY,VARIETY_RANGE_ONLY_NOT_CONDITION_SPECIFIC,False,True,puckworks/data/angeloni2023/bioactives.csv,A1
A1,Arabica,bioactives,acetic_acid,AA,7.27,g/L,directly_reported_beverage_volumetric_concentration,7.27,kg/m^3,beverage_volume,,,VARIETY_LEVEL_RANGE_METADATA_ONLY,VARIETY_RANGE_ONLY_NOT_CONDITION_SPECIFIC,False,True,puckworks/data/angeloni2023/bioactives.csv,A1
A1,Arabica,bioactives,citric_acid,CA,16.18,g/L,directly_reported_beverage_volumetric_concentration,16.18,kg/m^3,beverage_volume,,,VARIETY_LEVEL_RANGE_METADATA_ONLY,VARIETY_RANGE_ONLY_NOT_CONDITION_SPECIFIC,False,True,puckworks/data/angeloni2023/bioactives.csv,A1
A1,Arabica,bioactives,caffeine,CF,5.27,g/L,directly_reported_beverage_volumetric_concentration,5.27,kg/m^3,beverage_volume,,,VARIETY_LEVEL_RANGE_METADATA_ONLY,VARIETY_RANGE_ONLY_NOT_CONDITION_SPECIFIC,False,True,puckworks/data/angeloni2023/bioactives.csv,A1
A1,Arabica,bioactives,ferulic_acid,FA,0.27,g/L,directly_reported_beverage_volumetric_concentration,0.27,kg/m^3,beverage_volume,,,VARIETY_LEVEL_RANGE_METADATA_ONLY,VARIETY_RANGE_ONLY_NOT_CONDITION_SPECIFIC,False,True,puckworks/data/angeloni2023/bioactives.csv,A1
A1,Arabica,bioactives,tartaric_acid,TA,3.45,g/L,directly_reported_beverage_volumetric_concentration,3.45,kg/m^3,beverage_volume,,,VARIETY_LEVEL_RANGE_METADATA_ONLY,VARIETY_RANGE_ONLY_NOT_CONDITION_SPECIFIC,False,True,puckworks/data/angeloni2023/bioactives.csv,A1
A1,Arabica,bioactives,trigonelline,TR,3.41,g/L,directly_reported_beverage_volumetric_concentration,3.41,kg/m^3,beverage_volume,,,VARIETY_LEVEL_RANGE_METADATA_ONLY,VARIETY_RANGE_ONLY_NOT_CONDITION_SPECIFIC,False,True,puckworks/data/angeloni2023/bioactives.csv,A1
A1,Arabica,bioactives,total_chlorogenic_acids,totCQA,9.13,g/L,directly_reported_beverage_volumetric_concentration,9.13,kg/m^3,beverage_volume,,,VARIETY_LEVEL_RANGE_METADATA_ONLY,VARIETY_RANGE_ONLY_NOT_CONDITION_SPECIFIC,False,True,puckworks/data/angeloni2023/bioactives.csv,A1
