sample_id,caffeine_lambda_fast_s,caffeine_lambda_slow_s,caffeine_r2,caffeine_mpe_pct,maille_effective_diffusivity_m2_s,status,limitations
Omega_A,9.2,109,0.95,6.9,7.67E-10,NONADJUDICATIVE_EXTERNAL_PLAUSIBILITY_CHECK,BATCH_WELL_MIXED_COARSE_GRIND_NOT_ESPRESSO_PRESSURE_OR_FLOW_VALIDATION
Omega_B,10.6,57,0.92,16.0,7.67E-10,NONADJUDICATIVE_EXTERNAL_PLAUSIBILITY_CHECK,BATCH_WELL_MIXED_COARSE_GRIND_NOT_ESPRESSO_PRESSURE_OR_FLOW_VALIDATION
Omega_C,19.1,29,0.88,12.6,7.67E-10,NONADJUDICATIVE_EXTERNAL_PLAUSIBILITY_CHECK,BATCH_WELL_MIXED_COARSE_GRIND_NOT_ESPRESSO_PRESSURE_OR_FLOW_VALIDATION
Omega_D,15.7,50,0.98,3.7,7.67E-10,NONADJUDICATIVE_EXTERNAL_PLAUSIBILITY_CHECK,BATCH_WELL_MIXED_COARSE_GRIND_NOT_ESPRESSO_PRESSURE_OR_FLOW_VALIDATION
Omega_E,5.8,104,0.99,3.4,7.67E-10,NONADJUDICATIVE_EXTERNAL_PLAUSIBILITY_CHECK,BATCH_WELL_MIXED_COARSE_GRIND_NOT_ESPRESSO_PRESSURE_OR_FLOW_VALIDATION
Omega_F,9.2,68,0.86,9.3,7.67E-10,NONADJUDICATIVE_EXTERNAL_PLAUSIBILITY_CHECK,BATCH_WELL_MIXED_COARSE_GRIND_NOT_ESPRESSO_PRESSURE_OR_FLOW_VALIDATION
Omega_G,9.1,46,0.85,9.7,7.67E-10,NONADJUDICATIVE_EXTERNAL_PLAUSIBILITY_CHECK,BATCH_WELL_MIXED_COARSE_GRIND_NOT_ESPRESSO_PRESSURE_OR_FLOW_VALIDATION
Omega_H,4.5,67,0.98,3.2,7.67E-10,NONADJUDICATIVE_EXTERNAL_PLAUSIBILITY_CHECK,BATCH_WELL_MIXED_COARSE_GRIND_NOT_ESPRESSO_PRESSURE_OR_FLOW_VALIDATION
Omega_I,8.1,78,0.89,12.9,7.67E-10,NONADJUDICATIVE_EXTERNAL_PLAUSIBILITY_CHECK,BATCH_WELL_MIXED_COARSE_GRIND_NOT_ESPRESSO_PRESSURE_OR_FLOW_VALIDATION
Omega_J,7.8,33,0.98,3.4,7.67E-10,NONADJUDICATIVE_EXTERNAL_PLAUSIBILITY_CHECK,BATCH_WELL_MIXED_COARSE_GRIND_NOT_ESPRESSO_PRESSURE_OR_FLOW_VALIDATION
Omega_K,2.9,50,0.99,2.4,7.67E-10,NONADJUDICATIVE_EXTERNAL_PLAUSIBILITY_CHECK,BATCH_WELL_MIXED_COARSE_GRIND_NOT_ESPRESSO_PRESSURE_OR_FLOW_VALIDATION
Omega_L,7.3,62,0.99,3.1,7.67E-10,NONADJUDICATIVE_EXTERNAL_PLAUSIBILITY_CHECK,BATCH_WELL_MIXED_COARSE_GRIND_NOT_ESPRESSO_PRESSURE_OR_FLOW_VALIDATION
Omega_M,9.0,27,0.85,9.7,7.67E-10,NONADJUDICATIVE_EXTERNAL_PLAUSIBILITY_CHECK,BATCH_WELL_MIXED_COARSE_GRIND_NOT_ESPRESSO_PRESSURE_OR_FLOW_VALIDATION
Omega_O,12.8,33,0.9,7.7,7.67E-10,NONADJUDICATIVE_EXTERNAL_PLAUSIBILITY_CHECK,BATCH_WELL_MIXED_COARSE_GRIND_NOT_ESPRESSO_PRESSURE_OR_FLOW_VALIDATION
Omega_P,7.0,34,0.86,7.4,7.67E-10,NONADJUDICATIVE_EXTERNAL_PLAUSIBILITY_CHECK,BATCH_WELL_MIXED_COARSE_GRIND_NOT_ESPRESSO_PRESSURE_OR_FLOW_VALIDATION
Omega_T,11.2,98,0.98,3.7,7.67E-10,NONADJUDICATIVE_EXTERNAL_PLAUSIBILITY_CHECK,BATCH_WELL_MIXED_COARSE_GRIND_NOT_ESPRESSO_PRESSURE_OR_FLOW_VALIDATION
Omega_U,8.5,35,0.97,3.8,7.67E-10,NONADJUDICATIVE_EXTERNAL_PLAUSIBILITY_CHECK,BATCH_WELL_MIXED_COARSE_GRIND_NOT_ESPRESSO_PRESSURE_OR_FLOW_VALIDATION
