experiment_id,fraction_id,species_id,replicate_count,nonmissing_count,missing_count,mean_concentration_kg_per_kg_beverage,sample_sd_concentration_kg_per_kg_beverage,minimum_concentration_kg_per_kg_beverage,maximum_concentration_kg_per_kg_beverage,source_row_set
1,1,caffeine,3,3,0,0.009093016666666667,0.00026669679306908395,0.00879319,0.009303800000000001,2;8;14
1,1,trigonelline,3,3,0,0.006117640000000001,8.343209993761395e-05,0.00602585,0.00618887,2;8;14
1,2,caffeine,3,3,0,0.007260883333333333,0.0003197301051407785,0.00691073,0.00753731,3;9;15
1,2,trigonelline,3,3,0,0.004438193333333333,0.00013157927661046538,0.00430933,0.00457233,3;9;15
1,3,caffeine,3,3,0,0.00531189,0.00032600359706604483,0.00501425,0.0056603,4;10;16
1,3,trigonelline,3,3,0,0.002877706666666667,0.0001695987453766487,0.0027469800000000004,0.00306935,4;10;16
1,5,caffeine,3,3,0,0.0027737166666666666,0.000260864364054068,0.00248144,0.0029829500000000003,5;11;17
1,5,trigonelline,3,3,0,0.0010890766666666668,0.00010352252234819896,0.000971,0.0011642500000000001,5;11;17
1,7,caffeine,3,3,0,0.0016812033333333334,0.00015223927789284004,0.0015056499999999999,0.0017768900000000002,6;12;18
1,7,trigonelline,3,3,0,0.00053927,3.505431642465729e-05,0.00049952,0.00056576,6;12;18
1,10,caffeine,3,3,0,0.0009540833333333334,6.653140035602235e-05,0.0008786800000000001,0.00100452,7;13;19
1,10,trigonelline,3,3,0,0.00024014666666666667,3.8010831789548286e-06,0.00023593,0.00024331,7;13;19
2,1,caffeine,3,3,0,0.008090553333333333,0.0003767889554290751,0.00782248,0.00852136,20;26;32
2,1,trigonelline,3,3,0,0.00502449,0.0001823588426701591,0.0048849900000000005,0.00523084,20;26;32
2,2,caffeine,3,2,1,0.005256820000000001,0.0005575819812368401,0.00486255,0.00565109,21;27;33
2,2,trigonelline,3,2,1,0.00270536,0.00027947688419617094,0.00250774,0.00290298,21;27;33
2,3,caffeine,3,3,0,0.003980976666666666,0.00027482183543767614,0.00376648,0.004290759999999999,22;28;34
2,3,trigonelline,3,3,0,0.0019355233333333336,0.0001182266409627429,0.0018405000000000001,0.00206792,22;28;34
2,5,caffeine,3,3,0,0.00272288,0.00015488501444620127,0.00260045,0.002897,23;29;35
2,5,trigonelline,3,3,0,0.0011718233333333334,3.084881575252662e-05,0.00114769,0.00120658,23;29;35
2,7,caffeine,3,3,0,0.001959816666666667,5.951271572809763e-06,0.00195308,0.00196436,24;30;36
2,7,trigonelline,3,3,0,0.0007696766666666667,5.614021850094043e-05,0.00070827,0.00081837,24;30;36
2,10,caffeine,3,3,0,0.0010635733333333333,3.0928521357047214e-05,0.0010283500000000001,0.00108629,25;31;37
2,10,trigonelline,3,3,0,0.00030261000000000003,3.661065008983041e-05,0.00026128,0.00033097,25;31;37
3,1,caffeine,3,3,0,0.008595076666666666,0.00013848332619248108,0.008469870000000001,0.00874382,38;44;50
3,1,trigonelline,3,3,0,0.00535737,0.00022268855538621601,0.005206540000000001,0.00561314,38;44;50
3,2,caffeine,3,3,0,0.00575711,8.174042390396579e-05,0.00568263,0.00584456,39;45;51
3,2,trigonelline,3,3,0,0.0030347500000000006,9.443237951042007e-05,0.00296814,0.00314282,39;45;51
3,3,caffeine,3,3,0,0.00429484,0.00011205036724616333,0.0041836799999999995,0.00440776,40;46;52
3,3,trigonelline,3,3,0,0.00210235,6.212488148882048e-05,0.00204155,0.00216572,40;46;52
3,5,caffeine,3,3,0,0.00282016,0.0001626353070523126,0.00266842,0.00299185,41;47;53
3,5,trigonelline,3,3,0,0.0012098633333333334,8.881979753035537e-05,0.00113542,0.00130818,41;47;53
3,7,caffeine,3,3,0,0.0019843766666666667,0.00011664430304705566,0.00185571,0.0020832000000000003,42;48;54
3,7,trigonelline,3,3,0,0.0007823533333333332,3.474432951336569e-05,0.00074793,0.00081741,42;48;54
3,10,caffeine,3,3,0,0.00122034,4.125820282077239e-05,0.00119505,0.00126795,43;49;55
3,10,trigonelline,3,3,0,0.00039791333333333333,4.3134476156936604e-05,0.0003573,0.00044319,43;49;55
4,1,caffeine,3,3,0,0.00851624,5.0575589961956054e-05,0.008461380000000001,0.008561009999999999,56;62;68
4,1,trigonelline,3,3,0,0.00560082,0.0001640859613129652,0.005444880000000001,0.00577199,56;62;68
4,2,caffeine,3,3,0,0.006150760000000001,4.530948355477042e-05,0.006123770000000001,0.006203070000000001,57;63;69
4,2,trigonelline,3,3,0,0.0035195333333333336,0.00013121228385076339,0.0034289900000000002,0.00367001,57;63;69
4,3,caffeine,3,3,0,0.004454066666666667,6.790201052497147e-05,0.00438253,0.00451763,58;64;70
4,3,trigonelline,3,3,0,0.0023488066666666665,5.8363708186965955e-05,0.00229799,0.00241255,58;64;70
4,5,caffeine,3,3,0,0.0027186633333333332,0.00010101812428140473,0.00261253,0.00281364,59;65;71
4,5,trigonelline,3,3,0,0.0011751766666666665,4.668705423705097e-05,0.0011228199999999999,0.00121248,59;65;71
4,7,caffeine,3,3,0,0.0018306500000000003,2.97498117641103e-05,0.0017966800000000002,0.00185206,60;66;72
4,7,trigonelline,3,3,0,0.0006748433333333333,7.975715223936573e-06,0.00066693,0.0006828800000000001,60;66;72
4,10,caffeine,3,3,0,0.00105445,4.759025425441648e-05,0.00100778,0.0011029100000000001,61;67;73
4,10,trigonelline,3,3,0,0.0003100166666666667,1.3950216246830466e-05,0.00029391000000000004,0.00031827,61;67;73
5,1,caffeine,3,3,0,0.009094863333333333,0.0006187274983652607,0.00843358,0.00965971,74;80;86
5,1,trigonelline,3,3,0,0.005970993333333334,0.00014675482763212017,0.00580585,0.00608647,74;80;86
5,2,caffeine,3,2,1,0.00648108,0.0007026237241938245,0.00598425,0.0069779099999999995,75;81;87
5,2,trigonelline,3,2,1,0.00370477,0.0004150716805565033,0.00341127,0.00399827,75;81;87
5,3,caffeine,3,3,0,0.0045539199999999995,4.5296835430303666e-05,0.00450205,0.00458568,76;82;88
5,3,trigonelline,3,3,0,0.00245567,2.3517455219474802e-05,0.00243725,0.00248216,76;82;88
5,5,caffeine,3,3,0,0.0029674466666666666,7.768680797492831e-05,0.0029072399999999997,0.0030551400000000005,77;83;89
5,5,trigonelline,3,3,0,0.0013504633333333335,2.96068308559584e-05,0.00131999,0.00137912,77;83;89
5,7,caffeine,3,3,0,0.002006756666666667,6.53023218066047e-05,0.00193896,0.0020692400000000004,78;84;90
5,7,trigonelline,3,3,0,0.0007948366666666666,1.0053886479035564e-05,0.0007882599999999999,0.00080641,78;84;90
5,10,caffeine,3,3,0,0.0012169366666666666,2.4693546390369563e-05,0.00118932,0.00123689,79;85;91
5,10,trigonelline,3,3,0,0.0003561366666666667,2.3048135137866006e-05,0.00034271000000000003,0.00038275,79;85;91
6,1,caffeine,3,3,0,0.008596823333333333,0.0003374258806513411,0.00824743,0.00892085,92;98;104
6,1,trigonelline,3,3,0,0.005579093333333333,0.0001777401221821716,0.005474730000000001,0.00578432,92;98;104
6,2,caffeine,3,3,0,0.0065261266666666665,0.00015255658633219786,0.00642843,0.00670192,93;99;105
6,2,trigonelline,3,3,0,0.0037300933333333335,0.00023809760820582215,0.0035667900000000002,0.00400329,93;99;105
6,3,caffeine,3,3,0,0.004853206666666666,0.00012177009498778159,0.00474623,0.00498572,94;100;106
6,3,trigonelline,3,3,0,0.0025130233333333332,0.00016011763717134136,0.00241999,0.00269791,94;100;106
6,5,caffeine,3,3,0,0.0028693166666666665,0.00010152072809694252,0.0027535,0.00294292,95;101;107
6,5,trigonelline,3,3,0,0.0011735433333333334,3.971627542120892e-05,0.0011321900000000001,0.00121139,95;101;107
6,7,caffeine,3,3,0,0.0018224333333333332,8.513923439480382e-05,0.00172413,0.0018726,96;102;108
6,7,trigonelline,3,3,0,0.00063607,8.195126600608495e-06,0.00062663,0.0006413600000000001,96;102;108
6,10,caffeine,3,3,0,0.0010734766666666666,1.8117605618109027e-05,0.00105788,0.00109335,97;103;109
