cohort,descriptor,material_completeness,distinct_values
atlas,species_scientific,1.0,3
primary_eligible,species_scientific,1.0,3
atlas,species_fraction,0.9824561403508771,6
primary_eligible,species_fraction,1.0,6
atlas,variety_cultivar,1.0,89
primary_eligible,variety_cultivar,1.0,88
atlas,origin_country,1.0,1
primary_eligible,origin_country,1.0,1
atlas,origin_region,0.0,0
primary_eligible,origin_region,0.0,0
atlas,farm_estate_lot,0.0,0
primary_eligible,farm_estate_lot,0.0,0
atlas,processing_method,0.0,0
primary_eligible,processing_method,0.0,0
atlas,harvest_year,0.0,0
primary_eligible,harvest_year,0.0,0
atlas,roast_category_published,0.9824561403508771,4
primary_eligible,roast_category_published,1.0,4
atlas,roast_category_harmonized,0.7192982456140351,3
primary_eligible,roast_category_harmonized,0.7321428571428571,3
atlas,roast_metric_type,0.9824561403508771,2
primary_eligible,roast_metric_type,1.0,2
atlas,roast_metric_value,0.9824561403508771,5
primary_eligible,roast_metric_value,1.0,5
atlas,colour_metric,0.0,0
primary_eligible,colour_metric,0.0,0
atlas,roast_temperature_history,0.0,0
primary_eligible,roast_temperature_history,0.0,0
atlas,roast_duration,0.0,0
primary_eligible,roast_duration,0.0,0
atlas,roast_mass_loss,0.39473684210526316,4
primary_eligible,roast_mass_loss,0.4017857142857143,4
atlas,moisture_value,0.9824561403508771,3
primary_eligible,moisture_value,1.0,3
atlas,material_form,1.0,1
primary_eligible,material_form,1.0,1
