observation_id,base_coffee_material_id,roast_batch_id,analytical_batch_id,replicate_id,source_publication_id,data_lineage_id,laboratory_id,analyte,value_as_published,unit_as_published,mass_basis_as_published,uncertainty_value_as_published,uncertainty_type,number_of_analytical_replicates,target_semantics,measurement_provenance,canonical_value,canonical_unit,canonical_uncertainty,conversion_rule_id,conversion_inputs,conversion_status,rights_usable,duplicate_status,roasted_unextracted,analytical_method,source_locator,primary_prediction_label_eligible,exclusion_reason,validation_group_id,duplicate,canonical_basis,conversion_supported
acre-caf-C1,acre_c1,acre_c1_medium_light,acre2024,,acre2024,acre2024_tables1_2,lab_uel_benassi,caffeine,2227,mg/100 g,dry roasted coffee,2,SD,4,TOTAL_ROASTED_CONTENT,DIRECT_ROASTED_MATERIAL_ASSAY,22.27,mg/g dry roasted coffee,0.02,exact_mg/100_g,exact factor; source explicit dry basis,SUPPORTED_EXACT,true,UNIQUE,true,HPLC-DAD,Table 1,true,,vg_001,false,dry roasted coffee,true
acre-caf-C10,acre_c10,acre_c10_medium_light,acre2024,,acre2024,acre2024_tables1_2,lab_uel_benassi,caffeine,2117,mg/100 g,dry roasted coffee,46,SD,4,TOTAL_ROASTED_CONTENT,DIRECT_ROASTED_MATERIAL_ASSAY,21.17,mg/g dry roasted coffee,0.46,exact_mg/100_g,exact factor; source explicit dry basis,SUPPORTED_EXACT,true,UNIQUE,true,HPLC-DAD,Table 1,true,,vg_001,false,dry roasted coffee,true
acre-caf-C2,acre_c2,acre_c2_medium_light,acre2024,,acre2024,acre2024_tables1_2,lab_uel_benassi,caffeine,1728,mg/100 g,dry roasted coffee,103,SD,4,TOTAL_ROASTED_CONTENT,DIRECT_ROASTED_MATERIAL_ASSAY,17.28,mg/g dry roasted coffee,1.03,exact_mg/100_g,exact factor; source explicit dry basis,SUPPORTED_EXACT,true,UNIQUE,true,HPLC-DAD,Table 1,true,,vg_001,false,dry roasted coffee,true
acre-caf-C3,acre_c3,acre_c3_medium_light,acre2024,,acre2024,acre2024_tables1_2,lab_uel_benassi,caffeine,1929,mg/100 g,dry roasted coffee,141,SD,4,TOTAL_ROASTED_CONTENT,DIRECT_ROASTED_MATERIAL_ASSAY,19.29,mg/g dry roasted coffee,1.41,exact_mg/100_g,exact factor; source explicit dry basis,SUPPORTED_EXACT,true,UNIQUE,true,HPLC-DAD,Table 1,true,,vg_001,false,dry roasted coffee,true
acre-caf-C4,acre_c4,acre_c4_medium_light,acre2024,,acre2024,acre2024_tables1_2,lab_uel_benassi,caffeine,2641,mg/100 g,dry roasted coffee,151,SD,4,TOTAL_ROASTED_CONTENT,DIRECT_ROASTED_MATERIAL_ASSAY,26.41,mg/g dry roasted coffee,1.51,exact_mg/100_g,exact factor; source explicit dry basis,SUPPORTED_EXACT,true,UNIQUE,true,HPLC-DAD,Table 1,true,,vg_001,false,dry roasted coffee,true
acre-caf-C5,acre_c5,acre_c5_medium_light,acre2024,,acre2024,acre2024_tables1_2,lab_uel_benassi,caffeine,1981,mg/100 g,dry roasted coffee,46,SD,4,TOTAL_ROASTED_CONTENT,DIRECT_ROASTED_MATERIAL_ASSAY,19.81,mg/g dry roasted coffee,0.46,exact_mg/100_g,exact factor; source explicit dry basis,SUPPORTED_EXACT,true,UNIQUE,true,HPLC-DAD,Table 1,true,,vg_001,false,dry roasted coffee,true
acre-caf-C6,acre_c6,acre_c6_medium_light,acre2024,,acre2024,acre2024_tables1_2,lab_uel_benassi,caffeine,1833,mg/100 g,dry roasted coffee,46,SD,4,TOTAL_ROASTED_CONTENT,DIRECT_ROASTED_MATERIAL_ASSAY,18.330000000000002,mg/g dry roasted coffee,0.46,exact_mg/100_g,exact factor; source explicit dry basis,SUPPORTED_EXACT,true,UNIQUE,true,HPLC-DAD,Table 1,true,,vg_001,false,dry roasted coffee,true
acre-caf-C7,acre_c7,acre_c7_medium_light,acre2024,,acre2024,acre2024_tables1_2,lab_uel_benassi,caffeine,1995,mg/100 g,dry roasted coffee,141,SD,4,TOTAL_ROASTED_CONTENT,DIRECT_ROASTED_MATERIAL_ASSAY,19.95,mg/g dry roasted coffee,1.41,exact_mg/100_g,exact factor; source explicit dry basis,SUPPORTED_EXACT,true,UNIQUE,true,HPLC-DAD,Table 1,true,,vg_001,false,dry roasted coffee,true
acre-caf-C8,acre_c8,acre_c8_medium_light,acre2024,,acre2024,acre2024_tables1_2,lab_uel_benassi,caffeine,2455,mg/100 g,dry roasted coffee,44,SD,4,TOTAL_ROASTED_CONTENT,DIRECT_ROASTED_MATERIAL_ASSAY,24.55,mg/g dry roasted coffee,0.44,exact_mg/100_g,exact factor; source explicit dry basis,SUPPORTED_EXACT,true,UNIQUE,true,HPLC-DAD,Table 1,true,,vg_001,false,dry roasted coffee,true
acre-caf-C9,acre_c9,acre_c9_medium_light,acre2024,,acre2024,acre2024_tables1_2,lab_uel_benassi,caffeine,1952,mg/100 g,dry roasted coffee,15,SD,4,TOTAL_ROASTED_CONTENT,DIRECT_ROASTED_MATERIAL_ASSAY,19.52,mg/g dry roasted coffee,0.15,exact_mg/100_g,exact factor; source explicit dry basis,SUPPORTED_EXACT,true,UNIQUE,true,HPLC-DAD,Table 1,true,,vg_001,false,dry roasted coffee,true
acre-caf-H1,acre_h1,acre_h1_medium_light,acre2024,,acre2024,acre2024_tables1_2,lab_uel_benassi,caffeine,3618,mg/100 g,dry roasted coffee,23,SD,4,TOTAL_ROASTED_CONTENT,DIRECT_ROASTED_MATERIAL_ASSAY,36.18,mg/g dry roasted coffee,0.23,exact_mg/100_g,exact factor; source explicit dry basis,SUPPORTED_EXACT,true,UNIQUE,true,HPLC-DAD,Table 1,true,,vg_001,false,dry roasted coffee,true
acre-caf-H10,acre_h10,acre_h10_medium_light,acre2024,,acre2024,acre2024_tables1_2,lab_uel_benassi,caffeine,1427,mg/100 g,dry roasted coffee,41,SD,4,TOTAL_ROASTED_CONTENT,DIRECT_ROASTED_MATERIAL_ASSAY,14.27,mg/g dry roasted coffee,0.41000000000000003,exact_mg/100_g,exact factor; source explicit dry basis,SUPPORTED_EXACT,true,UNIQUE,true,HPLC-DAD,Table 1,true,,vg_001,false,dry roasted coffee,true
acre-caf-H2,acre_h2,acre_h2_medium_light,acre2024,,acre2024,acre2024_tables1_2,lab_uel_benassi,caffeine,2807,mg/100 g,dry roasted coffee,48,SD,4,TOTAL_ROASTED_CONTENT,DIRECT_ROASTED_MATERIAL_ASSAY,28.07,mg/g dry roasted coffee,0.48,exact_mg/100_g,exact factor; source explicit dry basis,SUPPORTED_EXACT,true,UNIQUE,true,HPLC-DAD,Table 1,true,,vg_001,false,dry roasted coffee,true
acre-caf-H3,acre_h3,acre_h3_medium_light,acre2024,,acre2024,acre2024_tables1_2,lab_uel_benassi,caffeine,2977,mg/100 g,dry roasted coffee,115,SD,4,TOTAL_ROASTED_CONTENT,DIRECT_ROASTED_MATERIAL_ASSAY,29.77,mg/g dry roasted coffee,1.1500000000000001,exact_mg/100_g,exact factor; source explicit dry basis,SUPPORTED_EXACT,true,UNIQUE,true,HPLC-DAD,Table 1,true,,vg_001,false,dry roasted coffee,true
acre-caf-H4,acre_h4,acre_h4_medium_light,acre2024,,acre2024,acre2024_tables1_2,lab_uel_benassi,caffeine,2600,mg/100 g,dry roasted coffee,18,SD,4,TOTAL_ROASTED_CONTENT,DIRECT_ROASTED_MATERIAL_ASSAY,26.0,mg/g dry roasted coffee,0.18,exact_mg/100_g,exact factor; source explicit dry basis,SUPPORTED_EXACT,true,UNIQUE,true,HPLC-DAD,Table 1,true,,vg_001,false,dry roasted coffee,true
acre-caf-H5,acre_h5,acre_h5_medium_light,acre2024,,acre2024,acre2024_tables1_2,lab_uel_benassi,caffeine,1918,mg/100 g,dry roasted coffee,153,SD,4,TOTAL_ROASTED_CONTENT,DIRECT_ROASTED_MATERIAL_ASSAY,19.18,mg/g dry roasted coffee,1.53,exact_mg/100_g,exact factor; source explicit dry basis,SUPPORTED_EXACT,true,UNIQUE,true,HPLC-DAD,Table 1,true,,vg_001,false,dry roasted coffee,true
acre-caf-H6,acre_h6,acre_h6_medium_light,acre2024,,acre2024,acre2024_tables1_2,lab_uel_benassi,caffeine,3156,mg/100 g,dry roasted coffee,100,SD,4,TOTAL_ROASTED_CONTENT,DIRECT_ROASTED_MATERIAL_ASSAY,31.560000000000002,mg/g dry roasted coffee,1.0,exact_mg/100_g,exact factor; source explicit dry basis,SUPPORTED_EXACT,true,UNIQUE,true,HPLC-DAD,Table 1,true,,vg_001,false,dry roasted coffee,true
acre-caf-H7,acre_h7,acre_h7_medium_light,acre2024,,acre2024,acre2024_tables1_2,lab_uel_benassi,caffeine,2267,mg/100 g,dry roasted coffee,46,SD,4,TOTAL_ROASTED_CONTENT,DIRECT_ROASTED_MATERIAL_ASSAY,22.67,mg/g dry roasted coffee,0.46,exact_mg/100_g,exact factor; source explicit dry basis,SUPPORTED_EXACT,true,UNIQUE,true,HPLC-DAD,Table 1,true,,vg_001,false,dry roasted coffee,true
acre-caf-H8,acre_h8,acre_h8_medium_light,acre2024,,acre2024,acre2024_tables1_2,lab_uel_benassi,caffeine,3364,mg/100 g,dry roasted coffee,20,SD,4,TOTAL_ROASTED_CONTENT,DIRECT_ROASTED_MATERIAL_ASSAY,33.64,mg/g dry roasted coffee,0.2,exact_mg/100_g,exact factor; source explicit dry basis,SUPPORTED_EXACT,true,UNIQUE,true,HPLC-DAD,Table 1,true,,vg_001,false,dry roasted coffee,true
acre-caf-H9,acre_h9,acre_h9_medium_light,acre2024,,acre2024,acre2024_tables1_2,lab_uel_benassi,caffeine,1956,mg/100 g,dry roasted coffee,14,SD,4,TOTAL_ROASTED_CONTENT,DIRECT_ROASTED_MATERIAL_ASSAY,19.56,mg/g dry roasted coffee,0.14,exact_mg/100_g,exact factor; source explicit dry basis,SUPPORTED_EXACT,true,UNIQUE,true,HPLC-DAD,Table 1,true,,vg_001,false,dry roasted coffee,true
acre-caf-R1,acre_r1,acre_r1_medium_light,acre2024,,acre2024,acre2024_tables1_2,lab_uel_benassi,caffeine,2646,mg/100 g,dry roasted coffee,1,SD,4,TOTAL_ROASTED_CONTENT,DIRECT_ROASTED_MATERIAL_ASSAY,26.46,mg/g dry roasted coffee,0.01,exact_mg/100_g,exact factor; source explicit dry basis,SUPPORTED_EXACT,true,UNIQUE,true,HPLC-DAD,Table 1,true,,vg_001,false,dry roasted coffee,true
acre-caf-R10,acre_r10,acre_r10_medium_light,acre2024,,acre2024,acre2024_tables1_2,lab_uel_benassi,caffeine,1879,mg/100 g,dry roasted coffee,12,SD,4,TOTAL_ROASTED_CONTENT,DIRECT_ROASTED_MATERIAL_ASSAY,18.79,mg/g dry roasted coffee,0.12,exact_mg/100_g,exact factor; source explicit dry basis,SUPPORTED_EXACT,true,UNIQUE,true,HPLC-DAD,Table 1,true,,vg_001,false,dry roasted coffee,true
acre-caf-R2,acre_r2,acre_r2_medium_light,acre2024,,acre2024,acre2024_tables1_2,lab_uel_benassi,caffeine,3301,mg/100 g,dry roasted coffee,185,SD,4,TOTAL_ROASTED_CONTENT,DIRECT_ROASTED_MATERIAL_ASSAY,33.01,mg/g dry roasted coffee,1.85,exact_mg/100_g,exact factor; source explicit dry basis,SUPPORTED_EXACT,true,UNIQUE,true,HPLC-DAD,Table 1,true,,vg_001,false,dry roasted coffee,true
acre-caf-R3,acre_r3,acre_r3_medium_light,acre2024,,acre2024,acre2024_tables1_2,lab_uel_benassi,caffeine,2432,mg/100 g,dry roasted coffee,124,SD,4,TOTAL_ROASTED_CONTENT,DIRECT_ROASTED_MATERIAL_ASSAY,24.32,mg/g dry roasted coffee,1.24,exact_mg/100_g,exact factor; source explicit dry basis,SUPPORTED_EXACT,true,UNIQUE,true,HPLC-DAD,Table 1,true,,vg_001,false,dry roasted coffee,true
acre-caf-R4,acre_r4,acre_r4_medium_light,acre2024,,acre2024,acre2024_tables1_2,lab_uel_benassi,caffeine,2534,mg/100 g,dry roasted coffee,253,SD,4,TOTAL_ROASTED_CONTENT,DIRECT_ROASTED_MATERIAL_ASSAY,25.34,mg/g dry roasted coffee,2.5300000000000002,exact_mg/100_g,exact factor; source explicit dry basis,SUPPORTED_EXACT,true,UNIQUE,true,HPLC-DAD,Table 1,true,,vg_001,false,dry roasted coffee,true
