left,right,reason
acre_c1|acre_c1_medium_light,acre_c10|acre_c10_medium_light,shared data_lineage_id: acre2024_tables1_2
acre_c1|acre_c1_medium_light,acre_c10|acre_c10_medium_light,shared source_publication_id: acre2024
acre_c1|acre_c1_medium_light,acre_c2|acre_c2_medium_light,shared data_lineage_id: acre2024_tables1_2
acre_c1|acre_c1_medium_light,acre_c2|acre_c2_medium_light,shared source_publication_id: acre2024
acre_c1|acre_c1_medium_light,acre_c3|acre_c3_medium_light,shared data_lineage_id: acre2024_tables1_2
acre_c1|acre_c1_medium_light,acre_c3|acre_c3_medium_light,shared source_publication_id: acre2024
acre_c1|acre_c1_medium_light,acre_c4|acre_c4_medium_light,shared data_lineage_id: acre2024_tables1_2
acre_c1|acre_c1_medium_light,acre_c4|acre_c4_medium_light,shared source_publication_id: acre2024
acre_c1|acre_c1_medium_light,acre_c5|acre_c5_medium_light,shared data_lineage_id: acre2024_tables1_2
acre_c1|acre_c1_medium_light,acre_c5|acre_c5_medium_light,shared source_publication_id: acre2024
acre_c1|acre_c1_medium_light,acre_c6|acre_c6_medium_light,shared data_lineage_id: acre2024_tables1_2
acre_c1|acre_c1_medium_light,acre_c6|acre_c6_medium_light,shared source_publication_id: acre2024
acre_c1|acre_c1_medium_light,acre_c7|acre_c7_medium_light,shared data_lineage_id: acre2024_tables1_2
acre_c1|acre_c1_medium_light,acre_c7|acre_c7_medium_light,shared source_publication_id: acre2024
acre_c1|acre_c1_medium_light,acre_c8|acre_c8_medium_light,shared data_lineage_id: acre2024_tables1_2
acre_c1|acre_c1_medium_light,acre_c8|acre_c8_medium_light,shared source_publication_id: acre2024
acre_c1|acre_c1_medium_light,acre_c9|acre_c9_medium_light,shared data_lineage_id: acre2024_tables1_2
acre_c1|acre_c1_medium_light,acre_c9|acre_c9_medium_light,shared source_publication_id: acre2024
acre_c1|acre_c1_medium_light,acre_h10|acre_h10_medium_light,shared data_lineage_id: acre2024_tables1_2
acre_c1|acre_c1_medium_light,acre_h10|acre_h10_medium_light,shared source_publication_id: acre2024
acre_c1|acre_c1_medium_light,acre_h1|acre_h1_medium_light,shared data_lineage_id: acre2024_tables1_2
acre_c1|acre_c1_medium_light,acre_h1|acre_h1_medium_light,shared source_publication_id: acre2024
acre_c1|acre_c1_medium_light,acre_h2|acre_h2_medium_light,shared data_lineage_id: acre2024_tables1_2
acre_c1|acre_c1_medium_light,acre_h2|acre_h2_medium_light,shared source_publication_id: acre2024
acre_c1|acre_c1_medium_light,acre_h3|acre_h3_medium_light,shared data_lineage_id: acre2024_tables1_2
acre_c1|acre_c1_medium_light,acre_h3|acre_h3_medium_light,shared source_publication_id: acre2024
acre_c1|acre_c1_medium_light,acre_h4|acre_h4_medium_light,shared data_lineage_id: acre2024_tables1_2
acre_c1|acre_c1_medium_light,acre_h4|acre_h4_medium_light,shared source_publication_id: acre2024
acre_c1|acre_c1_medium_light,acre_h5|acre_h5_medium_light,shared data_lineage_id: acre2024_tables1_2
acre_c1|acre_c1_medium_light,acre_h5|acre_h5_medium_light,shared source_publication_id: acre2024
acre_c1|acre_c1_medium_light,acre_h6|acre_h6_medium_light,shared data_lineage_id: acre2024_tables1_2
acre_c1|acre_c1_medium_light,acre_h6|acre_h6_medium_light,shared source_publication_id: acre2024
acre_c1|acre_c1_medium_light,acre_h7|acre_h7_medium_light,shared data_lineage_id: acre2024_tables1_2
acre_c1|acre_c1_medium_light,acre_h7|acre_h7_medium_light,shared source_publication_id: acre2024
acre_c1|acre_c1_medium_light,acre_h8|acre_h8_medium_light,shared data_lineage_id: acre2024_tables1_2
acre_c1|acre_c1_medium_light,acre_h8|acre_h8_medium_light,shared source_publication_id: acre2024
acre_c1|acre_c1_medium_light,acre_h9|acre_h9_medium_light,shared data_lineage_id: acre2024_tables1_2
acre_c1|acre_c1_medium_light,acre_h9|acre_h9_medium_light,shared source_publication_id: acre2024
acre_c1|acre_c1_medium_light,acre_r10|acre_r10_medium_light,shared data_lineage_id: acre2024_tables1_2
acre_c1|acre_c1_medium_light,acre_r10|acre_r10_medium_light,shared source_publication_id: acre2024
acre_c1|acre_c1_medium_light,acre_r1|acre_r1_medium_light,shared data_lineage_id: acre2024_tables1_2
acre_c1|acre_c1_medium_light,acre_r1|acre_r1_medium_light,shared source_publication_id: acre2024
acre_c1|acre_c1_medium_light,acre_r2|acre_r2_medium_light,shared data_lineage_id: acre2024_tables1_2
acre_c1|acre_c1_medium_light,acre_r2|acre_r2_medium_light,shared source_publication_id: acre2024
acre_c1|acre_c1_medium_light,acre_r3|acre_r3_medium_light,shared data_lineage_id: acre2024_tables1_2
acre_c1|acre_c1_medium_light,acre_r3|acre_r3_medium_light,shared source_publication_id: acre2024
acre_c1|acre_c1_medium_light,acre_r4|acre_r4_medium_light,shared data_lineage_id: acre2024_tables1_2
acre_c1|acre_c1_medium_light,acre_r4|acre_r4_medium_light,shared source_publication_id: acre2024
acre_c1|acre_c1_medium_light,acre_r5|acre_r5_medium_light,shared data_lineage_id: acre2024_tables1_2
acre_c1|acre_c1_medium_light,acre_r5|acre_r5_medium_light,shared source_publication_id: acre2024
acre_c1|acre_c1_medium_light,acre_r6|acre_r6_medium_light,shared data_lineage_id: acre2024_tables1_2
acre_c1|acre_c1_medium_light,acre_r6|acre_r6_medium_light,shared source_publication_id: acre2024
acre_c1|acre_c1_medium_light,acre_r7|acre_r7_medium_light,shared data_lineage_id: acre2024_tables1_2
acre_c1|acre_c1_medium_light,acre_r7|acre_r7_medium_light,shared source_publication_id: acre2024
acre_c1|acre_c1_medium_light,acre_r8|acre_r8_medium_light,shared data_lineage_id: acre2024_tables1_2
acre_c1|acre_c1_medium_light,acre_r8|acre_r8_medium_light,shared source_publication_id: acre2024
acre_c1|acre_c1_medium_light,acre_r9|acre_r9_medium_light,shared data_lineage_id: acre2024_tables1_2
acre_c1|acre_c1_medium_light,acre_r9|acre_r9_medium_light,shared source_publication_id: acre2024
dias_r000|dias_r000_light,dias_r000|dias_r000_dark,shared base_coffee_material_id: dias_r000
dias_r000|dias_r000_light,dias_r000|dias_r000_dark,shared data_lineage_id: dias2015_table2
dias_r000|dias_r000_light,dias_r000|dias_r000_dark,shared source_publication_id: dias2015
dias_r000|dias_r000_light,dias_r000|dias_r000_medium,shared base_coffee_material_id: dias_r000
dias_r000|dias_r000_light,dias_r000|dias_r000_medium,shared data_lineage_id: dias2015_table2
dias_r000|dias_r000_light,dias_r000|dias_r000_medium,shared source_publication_id: dias2015
dias_r000|dias_r000_light,dias_r020|dias_r020_dark,shared data_lineage_id: dias2015_table2
dias_r000|dias_r000_light,dias_r020|dias_r020_dark,shared source_publication_id: dias2015
dias_r000|dias_r000_light,dias_r020|dias_r020_light,shared data_lineage_id: dias2015_table2
dias_r000|dias_r000_light,dias_r020|dias_r020_light,shared source_publication_id: dias2015
dias_r000|dias_r000_light,dias_r020|dias_r020_medium,shared data_lineage_id: dias2015_table2
dias_r000|dias_r000_light,dias_r020|dias_r020_medium,shared source_publication_id: dias2015
dias_r000|dias_r000_light,dias_r030|dias_r030_dark,shared data_lineage_id: dias2015_table2
dias_r000|dias_r000_light,dias_r030|dias_r030_dark,shared source_publication_id: dias2015
dias_r000|dias_r000_light,dias_r030|dias_r030_light,shared data_lineage_id: dias2015_table2
dias_r000|dias_r000_light,dias_r030|dias_r030_light,shared source_publication_id: dias2015
dias_r000|dias_r000_light,dias_r030|dias_r030_medium,shared data_lineage_id: dias2015_table2
dias_r000|dias_r000_light,dias_r030|dias_r030_medium,shared source_publication_id: dias2015
dias_r000|dias_r000_light,dias_r050|dias_r050_dark,shared data_lineage_id: dias2015_table2
dias_r000|dias_r000_light,dias_r050|dias_r050_dark,shared source_publication_id: dias2015
dias_r000|dias_r000_light,dias_r050|dias_r050_light,shared data_lineage_id: dias2015_table2
dias_r000|dias_r000_light,dias_r050|dias_r050_light,shared source_publication_id: dias2015
dias_r000|dias_r000_light,dias_r050|dias_r050_medium,shared data_lineage_id: dias2015_table2
dias_r000|dias_r000_light,dias_r050|dias_r050_medium,shared source_publication_id: dias2015
dias_r000|dias_r000_light,dias_r100|dias_r100_dark,shared data_lineage_id: dias2015_table2
dias_r000|dias_r000_light,dias_r100|dias_r100_dark,shared source_publication_id: dias2015
dias_r000|dias_r000_light,dias_r100|dias_r100_light,shared data_lineage_id: dias2015_table2
dias_r000|dias_r000_light,dias_r100|dias_r100_light,shared source_publication_id: dias2015
dias_r000|dias_r000_light,dias_r100|dias_r100_medium,shared data_lineage_id: dias2015_table2
dias_r000|dias_r000_light,dias_r100|dias_r100_medium,shared source_publication_id: dias2015
dias_r020|dias_r020_light,dias_r020|dias_r020_dark,shared base_coffee_material_id: dias_r020
dias_r020|dias_r020_light,dias_r020|dias_r020_medium,shared base_coffee_material_id: dias_r020
dias_r030|dias_r030_light,dias_r030|dias_r030_dark,shared base_coffee_material_id: dias_r030
dias_r030|dias_r030_light,dias_r030|dias_r030_medium,shared base_coffee_material_id: dias_r030
dias_r050|dias_r050_light,dias_r050|dias_r050_dark,shared base_coffee_material_id: dias_r050
dias_r050|dias_r050_light,dias_r050|dias_r050_medium,shared base_coffee_material_id: dias_r050
dias_r100|dias_r100_light,dias_r100|dias_r100_dark,shared base_coffee_material_id: dias_r100
dias_r100|dias_r100_light,dias_r100|dias_r100_medium,shared base_coffee_material_id: dias_r100
pannusch_source_coffee|pannusch_source_roast,schmieder_source_coffee|schmieder_source_roast,shared data_lineage_id: schmieder_pannusch_lineage
viencz_r1|viencz_r1_medium,viencz_brs1216|viencz_brs1216_medium,shared data_lineage_id: viencz2023_tables1_2
viencz_r1|viencz_r1_medium,viencz_brs1216|viencz_brs1216_medium,shared source_publication_id: viencz2023
viencz_r1|viencz_r1_medium,viencz_brs2299|viencz_brs2299_medium,shared data_lineage_id: viencz2023_tables1_2
viencz_r1|viencz_r1_medium,viencz_brs2299|viencz_brs2299_medium,shared source_publication_id: viencz2023
