occurrence_row,candidate_id,immediate_duplicate_target,canonical_root,traversal_path,path_length,normalized_identity,canonical_introduction_row
1,candidate_0001,,candidate_0001,candidate_0001,0,doi|10.1021/acsomega.5c05526.s001,1
2,candidate_0002,,candidate_0002,candidate_0002,0,doi|10.13031/2013.7478,2
3,candidate_0003,,candidate_0003,candidate_0003,0,doi|10.1016/s0308-8146(99)00228-9,3
4,candidate_0004,,candidate_0004,candidate_0004,0,doi|10.3403/00271775u,4
5,candidate_0005,,candidate_0005,candidate_0005,0,doi|10.3403/00271775,5
6,candidate_0006,,candidate_0006,candidate_0006,0,doi|10.1021/jf990702b,6
7,candidate_0007,,candidate_0007,candidate_0007,0,doi|10.3403/30478362u,7
8,candidate_0008,,candidate_0008,candidate_0008,0,doi|10.3403/30478362,8
9,candidate_0009,,candidate_0009,candidate_0009,0,doi|10.1093/9780197610145.003.4005,9
10,candidate_0010,,candidate_0010,candidate_0010,0,doi|10.3403/30154826,10
11,candidate_0011,,candidate_0011,candidate_0011,0,doi|10.3403/30154826u,11
12,candidate_0012,,candidate_0012,candidate_0012,0,doi|10.3403/30187771,12
13,candidate_0013,,candidate_0013,candidate_0013,0,doi|10.3403/02817174,13
14,candidate_0014,,candidate_0014,candidate_0014,0,doi|10.3403/02817174u,14
15,candidate_0015,,candidate_0015,candidate_0015,0,doi|10.5740/jaoacint.11-275,15
16,candidate_0016,,candidate_0016,candidate_0016,0,doi|10.3390/molecules26247502,16
17,candidate_0017,,candidate_0017,candidate_0017,0,doi|10.1016/s1383-5718(97)00065-x,17
18,candidate_0018,,candidate_0018,candidate_0018,0,doi|10.1080/10826079808001267,18
19,candidate_0019,,candidate_0019,candidate_0019,0,doi|10.3390/icc2024-18171,19
20,candidate_0020,,candidate_0020,candidate_0020,0,doi|10.2116/analsci.31.831,20
21,candidate_0021,,candidate_0021,candidate_0021,0,doi|10.1016/j.foodchem.2005.07.032,21
22,candidate_0006,candidate_0006,candidate_0006,candidate_0006,0,doi|10.1021/jf990702b,6
23,candidate_0003,candidate_0003,candidate_0003,candidate_0003,0,doi|10.1016/s0308-8146(99)00228-9,3
24,candidate_0022,,candidate_0022,candidate_0022,0,doi|10.1021/jf0402429,24
25,candidate_0023,,candidate_0023,candidate_0023,0,doi|10.1016/j.jfca.2013.09.002,25
26,candidate_0024,,candidate_0024,candidate_0024,0,doi|10.1590/s1677-04202006000100003,26
