analyte,test_group,base_coffee_material_id,roast_batch_id,species,species_supported,harmonized_roast_category,harmonized_roast_category_supported,roast_metric_type,quantitative_metric_type_supported
caffeine,vg_001,acre_c1,acre_c1_medium_light,Coffea canephora,True,,True,roast_mass_loss,True
caffeine,vg_001,acre_c2,acre_c2_medium_light,Coffea canephora,True,,True,roast_mass_loss,True
caffeine,vg_001,acre_c3,acre_c3_medium_light,Coffea canephora,True,,True,roast_mass_loss,True
caffeine,vg_001,acre_c4,acre_c4_medium_light,Coffea canephora,True,,True,roast_mass_loss,True
caffeine,vg_001,acre_c5,acre_c5_medium_light,Coffea canephora,True,,True,roast_mass_loss,True
caffeine,vg_001,acre_c6,acre_c6_medium_light,Coffea canephora,True,,True,roast_mass_loss,True
caffeine,vg_001,acre_c7,acre_c7_medium_light,Coffea canephora,True,,True,roast_mass_loss,True
caffeine,vg_001,acre_c8,acre_c8_medium_light,Coffea canephora,True,,True,roast_mass_loss,True
caffeine,vg_001,acre_c9,acre_c9_medium_light,Coffea canephora,True,,True,roast_mass_loss,True
caffeine,vg_001,acre_c10,acre_c10_medium_light,Coffea canephora,True,,True,roast_mass_loss,True
caffeine,vg_001,acre_r1,acre_r1_medium_light,Coffea canephora,True,,True,roast_mass_loss,True
caffeine,vg_001,acre_r2,acre_r2_medium_light,Coffea canephora,True,,True,roast_mass_loss,True
caffeine,vg_001,acre_r3,acre_r3_medium_light,Coffea canephora,True,,True,roast_mass_loss,True
caffeine,vg_001,acre_r4,acre_r4_medium_light,Coffea canephora,True,,True,roast_mass_loss,True
caffeine,vg_001,acre_r5,acre_r5_medium_light,Coffea canephora,True,,True,roast_mass_loss,True
caffeine,vg_001,acre_r6,acre_r6_medium_light,Coffea canephora,True,,True,roast_mass_loss,True
caffeine,vg_001,acre_r7,acre_r7_medium_light,Coffea canephora,True,,True,roast_mass_loss,True
caffeine,vg_001,acre_r8,acre_r8_medium_light,Coffea canephora,True,,True,roast_mass_loss,True
caffeine,vg_001,acre_r9,acre_r9_medium_light,Coffea canephora,True,,True,roast_mass_loss,True
caffeine,vg_001,acre_r10,acre_r10_medium_light,Coffea canephora,True,,True,roast_mass_loss,True
caffeine,vg_001,acre_h1,acre_h1_medium_light,Coffea canephora,True,,True,roast_mass_loss,True
caffeine,vg_001,acre_h2,acre_h2_medium_light,Coffea canephora,True,,True,roast_mass_loss,True
caffeine,vg_001,acre_h3,acre_h3_medium_light,Coffea canephora,True,,True,roast_mass_loss,True
caffeine,vg_001,acre_h4,acre_h4_medium_light,Coffea canephora,True,,True,roast_mass_loss,True
caffeine,vg_001,acre_h5,acre_h5_medium_light,Coffea canephora,True,,True,roast_mass_loss,True
caffeine,vg_001,acre_h6,acre_h6_medium_light,Coffea canephora,True,,True,roast_mass_loss,True
caffeine,vg_001,acre_h7,acre_h7_medium_light,Coffea canephora,True,,True,roast_mass_loss,True
caffeine,vg_001,acre_h8,acre_h8_medium_light,Coffea canephora,True,,True,roast_mass_loss,True
caffeine,vg_001,acre_h9,acre_h9_medium_light,Coffea canephora,True,,True,roast_mass_loss,True
caffeine,vg_001,acre_h10,acre_h10_medium_light,Coffea canephora,True,,True,roast_mass_loss,True
caffeine,vg_002,dias_r000,dias_r000_light,Coffea arabica,False,light,False,roast_mass_loss,False
caffeine,vg_002,dias_r000,dias_r000_medium,Coffea arabica,False,medium,False,roast_mass_loss,False
caffeine,vg_002,dias_r000,dias_r000_dark,Coffea arabica,False,dark,False,roast_mass_loss,False
caffeine,vg_002,dias_r020,dias_r020_light,Blend,False,light,False,roast_mass_loss,False
caffeine,vg_002,dias_r020,dias_r020_medium,Blend,False,medium,False,roast_mass_loss,False
caffeine,vg_002,dias_r020,dias_r020_dark,Blend,False,dark,False,roast_mass_loss,False
caffeine,vg_002,dias_r030,dias_r030_light,Blend,False,light,False,roast_mass_loss,False
caffeine,vg_002,dias_r030,dias_r030_medium,Blend,False,medium,False,roast_mass_loss,False
caffeine,vg_002,dias_r030,dias_r030_dark,Blend,False,dark,False,roast_mass_loss,False
caffeine,vg_002,dias_r050,dias_r050_light,Blend,False,light,False,roast_mass_loss,False
caffeine,vg_002,dias_r050,dias_r050_medium,Blend,False,medium,False,roast_mass_loss,False
caffeine,vg_002,dias_r050,dias_r050_dark,Blend,False,dark,False,roast_mass_loss,False
caffeine,vg_002,dias_r100,dias_r100_light,Coffea canephora,True,light,False,roast_mass_loss,True
caffeine,vg_002,dias_r100,dias_r100_medium,Coffea canephora,True,medium,True,roast_mass_loss,True
caffeine,vg_002,dias_r100,dias_r100_dark,Coffea canephora,True,dark,False,roast_mass_loss,True
caffeine,vg_004,viencz_r1,viencz_r1_medium,Coffea canephora,True,medium,True,Agtron,False
caffeine,vg_004,viencz_r2,viencz_r2_medium,Coffea canephora,True,medium,True,Agtron,False
caffeine,vg_004,viencz_r3,viencz_r3_medium,Coffea canephora,True,medium,True,Agtron,False
caffeine,vg_004,viencz_r4,viencz_r4_medium,Coffea canephora,True,medium,True,Agtron,False
caffeine,vg_004,viencz_r5,viencz_r5_medium,Coffea canephora,True,medium,True,Agtron,False
caffeine,vg_004,viencz_r6,viencz_r6_medium,Coffea canephora,True,medium,True,Agtron,False
caffeine,vg_004,viencz_r7,viencz_r7_medium,Coffea canephora,True,medium,True,Agtron,False
caffeine,vg_004,viencz_r8,viencz_r8_medium,Coffea canephora,True,medium,True,Agtron,False
caffeine,vg_004,viencz_r9,viencz_r9_medium,Coffea canephora,True,medium,True,Agtron,False
caffeine,vg_004,viencz_r10,viencz_r10_medium,Coffea canephora,True,medium,True,Agtron,False
caffeine,vg_004,viencz_r11,viencz_r11_medium,Coffea canephora,True,medium,True,Agtron,False
caffeine,vg_004,viencz_r12,viencz_r12_medium,Coffea canephora,True,medium,True,Agtron,False
caffeine,vg_004,viencz_r13,viencz_r13_medium,Coffea canephora,True,medium,True,Agtron,False
