row_id,condition_id,source_csv,source_row,source_sha256,source_figure,source_pdf_page,powder,flow_mL_s,mass_g,support,ey_unit,strength_unit,ey_bar_status,strength_bar_status,rounding,inclusion,exclusion_reason,identity_residual_7p5g_ey_pp,identity_residual_15g_ey_pp
mo2-E-q2-r01,E-q2,puckworks/data/mo2023_2/figs6_9_yield_strength.csv,1,4413a5c7bdfd42b1e86f7770c682e04848e7e861c3e318dba4cfe97ad36633d3,7,29,E,2,6.0,measured tabulated coordinate; no extrapolation,percent (denominator unresolved),cumulative mass percent,digitized SD,digitized SD,"mass integer g, response .001 percentage point; digitization bound not established",SOURCE_AUDIT_ONLY,BLOCKED_SOURCE_CONTRACT,-0.8381999999999987,6.487400000000001
mo2-E-q2-r02,E-q2,puckworks/data/mo2023_2/figs6_9_yield_strength.csv,2,4413a5c7bdfd42b1e86f7770c682e04848e7e861c3e318dba4cfe97ad36633d3,7,29,E,2,12.0,measured tabulated coordinate; no extrapolation,percent (denominator unresolved),cumulative mass percent,digitized SD,zero digitized entry; uncertainty unknown,"mass integer g, response .001 percentage point; digitization bound not established",SOURCE_AUDIT_ONLY,BLOCKED_SOURCE_CONTRACT,-0.1258000000000017,9.580599999999999
mo2-E-q2-r03,E-q2,puckworks/data/mo2023_2/figs6_9_yield_strength.csv,3,4413a5c7bdfd42b1e86f7770c682e04848e7e861c3e318dba4cfe97ad36633d3,7,29,E,2,22.0,measured tabulated coordinate; no extrapolation,percent (denominator unresolved),cumulative mass percent,digitized SD,digitized SD,"mass integer g, response .001 percentage point; digitization bound not established",SOURCE_AUDIT_ONLY,BLOCKED_SOURCE_CONTRACT,0.2133333333333347,11.506666666666668
mo2-E-q2-r04,E-q2,puckworks/data/mo2023_2/figs6_9_yield_strength.csv,4,4413a5c7bdfd42b1e86f7770c682e04848e7e861c3e318dba4cfe97ad36633d3,7,29,E,2,33.0,measured tabulated coordinate; no extrapolation,percent (denominator unresolved),cumulative mass percent,digitized SD,digitized SD,"mass integer g, response .001 percentage point; digitization bound not established",SOURCE_AUDIT_ONLY,BLOCKED_SOURCE_CONTRACT,0.008000000000002672,12.394000000000002
mo2-E-q2-r05,E-q2,puckworks/data/mo2023_2/figs6_9_yield_strength.csv,5,4413a5c7bdfd42b1e86f7770c682e04848e7e861c3e318dba4cfe97ad36633d3,7,29,E,2,51.0,measured tabulated coordinate; no extrapolation,percent (denominator unresolved),cumulative mass percent,digitized SD,digitized SD,"mass integer g, response .001 percentage point; digitization bound not established",SOURCE_AUDIT_ONLY,BLOCKED_SOURCE_CONTRACT,-0.16280000000000072,12.4716
mo2-E-q2-r06,E-q2,puckworks/data/mo2023_2/figs6_9_yield_strength.csv,6,4413a5c7bdfd42b1e86f7770c682e04848e7e861c3e318dba4cfe97ad36633d3,7,29,E,2,83.0,measured tabulated coordinate; no extrapolation,percent (denominator unresolved),cumulative mass percent,digitized SD,digitized SD,"mass integer g, response .001 percentage point; digitization bound not established",SOURCE_AUDIT_ONLY,BLOCKED_SOURCE_CONTRACT,-0.23153333333333848,15.99773333333333
mo2-E-q3-r07,E-q3,puckworks/data/mo2023_2/figs6_9_yield_strength.csv,7,4413a5c7bdfd42b1e86f7770c682e04848e7e861c3e318dba4cfe97ad36633d3,7,29,E,3,5.0,measured tabulated coordinate; no extrapolation,percent (denominator unresolved),cumulative mass percent,digitized SD,digitized SD,"mass integer g, response .001 percentage point; digitization bound not established",SOURCE_AUDIT_ONLY,BLOCKED_SOURCE_CONTRACT,1.033333333333335,6.8066666666666675
mo2-E-q3-r08,E-q3,puckworks/data/mo2023_2/figs6_9_yield_strength.csv,8,4413a5c7bdfd42b1e86f7770c682e04848e7e861c3e318dba4cfe97ad36633d3,7,29,E,3,10.0,measured tabulated coordinate; no extrapolation,percent (denominator unresolved),cumulative mass percent,digitized SD,digitized SD,"mass integer g, response .001 percentage point; digitization bound not established",SOURCE_AUDIT_ONLY,BLOCKED_SOURCE_CONTRACT,-0.01766666666666694,8.237666666666666
mo2-E-q3-r09,E-q3,puckworks/data/mo2023_2/figs6_9_yield_strength.csv,9,4413a5c7bdfd42b1e86f7770c682e04848e7e861c3e318dba4cfe97ad36633d3,7,29,E,3,20.0,measured tabulated coordinate; no extrapolation,percent (denominator unresolved),cumulative mass percent,digitized SD,zero digitized entry; uncertainty unknown,"mass integer g, response .001 percentage point; digitization bound not established",SOURCE_AUDIT_ONLY,BLOCKED_SOURCE_CONTRACT,-0.08133333333333326,10.469333333333333
mo2-E-q3-r10,E-q3,puckworks/data/mo2023_2/figs6_9_yield_strength.csv,10,4413a5c7bdfd42b1e86f7770c682e04848e7e861c3e318dba4cfe97ad36633d3,7,29,E,3,31.0,measured tabulated coordinate; no extrapolation,percent (denominator unresolved),cumulative mass percent,zero digitized entry; uncertainty unknown,zero digitized entry; uncertainty unknown,"mass integer g, response .001 percentage point; digitization bound not established",SOURCE_AUDIT_ONLY,BLOCKED_SOURCE_CONTRACT,0.3363999999999976,12.358199999999998
