candidate,selected_deep_start,deep_outlet_rmse_mg_g,deep_cumulative_max_ey_pp,deep_endpoint_ey_pp,deep_early_rmse_mg_g,deep_post_wash_rmse_mg_g,shallow_outlet_rmse_mg_g,shallow_cumulative_max_ey_pp,shallow_endpoint_ey_pp,shallow_early_rmse_mg_g,shallow_post_wash_rmse_mg_g,parameters
dose_uniform_0,1,5.49478797888639,2.9008345445428714,2.7544559630341507,,6.8717511745799325,1.6894075484693876,3.8523727615196672,3.325586413000244,,2.202161916899299,"[0.034722590366793864, 0.030295027741509474, 0.7409457449316083]"
dose_uniform_0.5,1,5.696354204418798,2.9110964601911005,2.7161210445148,,7.124474930022209,6.667271224271019,3.8492935300474893,3.8492935300474893,,9.160097508686295,"[0.029968658649404026, 0.031090786943243482, 0.7723156908163296]"
dose_uniform_1,0,5.953805539554315,3.3738441565949158,2.7217289808584324,,7.388609042619759,14.140032626079048,10.804883391385403,4.438315716510255,,19.219710701279364,"[0.024850526250025453, 0.03222058548922545, 0.8047190837752044]"
dose_linear_0.5,0,5.635274332486397,2.879632188880497,2.700245097178456,,7.061882031929143,3.680572551221564,3.6654514225777404,3.6654514225777404,,5.1839376471618825,"[0.03121886510347127, 0.03074551386932496, 0.7624653862619485]"
dose_linear_1,0,5.808181275064088,2.869727505127919,2.6516165845728983,,7.270573366934145,6.5966995989513,4.037744130569102,4.037744130569102,,9.085085007115225,"[0.0273564059499138, 0.03129144149057066, 0.7848407933857994]"
hydraulic_uniform_0,0,5.388204100935346,2.985259142576953,2.865030793653834,,6.696367951153305,2.8712077436488825,3.0850021204666733,3.0850021204666733,,3.9938753613331546,"[0.03856995278699557, 0.030119468239492294, 0.7207417509518821]"
hydraulic_uniform_0.5,0,5.523572243341193,2.7588483771198313,2.570779585956748,,6.84184361571917,5.544206318834059,3.64095482248498,3.64095482248498,,7.771516067769915,"[0.029480585961595914, 0.029769326748866603, 0.7645638940026185]"
hydraulic_uniform_1,0,5.762300368160345,3.3616155200278235,2.3491592763245057,,6.987435393338388,8.514213994988364,5.154539429158622,4.406700071985888,,11.829658567420804,"[0.019373520539822726, 0.02978943196427238, 0.8123070031769946]"
hydraulic_linear_0.5,1,5.550894889588802,2.9398364127124705,2.780457362533477,,6.938957916326372,4.018949446307553,3.4958560278726347,3.4958560278726347,,5.605900658427264,"[0.0340012001469923, 0.03064630409441067, 0.7491019457297002]"
hydraulic_linear_1,0,5.7719108308713425,2.9069563022920564,2.6982752787606876,,7.216430510349501,5.250939982068849,3.967260680415071,3.967260680415071,,7.281186315461156,"[0.02875229569253318, 0.03133358861833405, 0.7792691499199327]"
N_M,0,6.127837909801781,4.248557587306783,2.962434768495963,,7.574156008308838,8.702432711549536,11.073055223253004,6.617373915234877,,9.651131150723833,"[0.2958300091544557, 0.8191516046524396, 53.816040762710635, 53.91849093478155]"
N_T,0,6.127837909801781,4.248557587306783,2.962434768495963,,7.574156008308838,8.762495563351365,6.476556151280666,6.476556151280666,,12.339836510077344,"[0.2958300091544557, 0.8191516046524396, 53.816040762710635, 53.91849093478155]"
