rate_scale,best_c_s0,profiled_sse
0.15,8.75272,0.312664
0.171613,8.442168,0.293622
0.196339,8.147209,0.271221
0.224629,7.868936,0.246889
0.256994,7.607987,0.222091
0.294023,7.364566,0.198156
0.336387,7.138539,0.176115
0.384855,6.92949,0.156632
0.440306,6.736815,0.140011
0.503747,6.559807,0.12625
0.576329,6.397713,0.115112
0.659369,6.24979,0.106253
0.754374,6.115349,0.099274
0.863067,5.99375,0.093808
0.987421,5.884414,0.089533
1.129692,5.786784,0.086193
1.292463,5.70032,0.083591
1.478686,5.624459,0.081584
1.691742,5.558603,0.080059
1.935495,5.502103,0.07893
2.214369,5.454264,0.078133
2.533424,5.414349,0.077597
2.89845,5.381588,0.077269
3.31607,5.355194,0.077099
3.793863,5.33437,0.077041
4.340498,5.318333,0.077054
4.965895,5.306315,0.077113
5.681401,5.297588,0.077188
6.5,5.291472,0.077267
