variety,solute,grind,joint_shared_mape_pct,independent_mape_pct
Arabica,caffeine,O,3.2,2.8
Arabica,caffeine,C,6.6,3.6
Arabica,caffeine,F,3.6,2.2
Arabica,trigonelline,O,2.4,2.2
Arabica,trigonelline,C,5.9,3.6
Arabica,trigonelline,F,2.5,2.1
Arabica,5CQA,O,6.9,4.6
Arabica,5CQA,C,11.9,6.6
Arabica,5CQA,F,3.8,2.9
Robusta,caffeine,O,5.9,4.9
Robusta,caffeine,C,7.6,5.4
Robusta,caffeine,F,7.4,6.6
Robusta,trigonelline,O,4.4,3.9
Robusta,trigonelline,C,6.4,5.1
Robusta,trigonelline,F,7.2,6.8
Robusta,5CQA,O,12.8,11.9
Robusta,5CQA,C,8.6,6.4
Robusta,5CQA,F,8.0,7.1
