variety,solute,T_degC,p_bar,meas,pred_blind,signed_resid_blind_pct,pred_matched,signed_resid_matched_pct
Arabica,caffeine,88.0,6.0,5.19,4.528195588441396,-12.75,5.2577375196256275,1.31
Arabica,caffeine,88.0,9.0,5.44,4.530108191906955,-16.73,5.259958995406125,-3.31
Arabica,caffeine,88.0,12.0,4.77,4.522065824552765,-5.2,5.250620958805515,10.08
Arabica,caffeine,93.4,6.0,5.45,4.562203886161032,-16.29,5.297225374751424,-2.8
Arabica,caffeine,93.4,9.0,5.27,4.563248958216724,-13.41,5.298438523932838,0.54
Arabica,caffeine,93.4,12.0,5.4,4.55456188450441,-15.66,5.28834985530303,-2.07
Arabica,caffeine,98.0,6.0,5.1,4.589328524524084,-10.01,5.328720002073049,4.48
Arabica,caffeine,98.0,9.0,5.2,4.589465562871882,-11.74,5.328879605724543,2.48
Arabica,caffeine,98.0,12.0,5.34,4.580107367589031,-14.23,5.318015338237775,-0.41
Arabica,trigonelline,88.0,6.0,3.47,2.5062338362887115,-27.77,4.767227271937084,37.38
Arabica,trigonelline,88.0,9.0,3.54,2.4685814622720823,-30.27,4.695606272562772,32.64
Arabica,trigonelline,88.0,12.0,3.28,2.4354572913452914,-25.75,4.632600808989435,41.24
Arabica,trigonelline,93.4,6.0,3.55,2.49842410106648,-29.62,4.752372555533563,33.87
Arabica,trigonelline,93.4,9.0,3.41,2.460101994253297,-27.86,4.679477659539392,37.23
Arabica,trigonelline,93.4,12.0,3.55,2.4260442253090195,-31.66,4.614694774303741,29.99
Arabica,trigonelline,98.0,6.0,3.36,2.491543624588442,-25.85,4.739283934655097,41.05
Arabica,trigonelline,98.0,9.0,3.39,2.452610836736187,-27.65,4.665226091125007,37.62
Arabica,trigonelline,98.0,12.0,3.52,2.4177557877099534,-31.31,4.598929122806418,30.65
Arabica,5CQA,88.0,6.0,5.44,2.972147316020855,-45.36,,
Arabica,5CQA,88.0,9.0,5.95,2.9153954004776614,-51.0,,
Arabica,5CQA,88.0,12.0,5.21,2.8645804618946715,-45.02,,
Arabica,5CQA,93.4,6.0,5.74,2.973738451096532,-48.19,,
Arabica,5CQA,93.4,9.0,5.89,2.91497876069604,-50.51,,
Arabica,5CQA,93.4,12.0,6.01,2.862359027613362,-52.37,,
Arabica,5CQA,98.0,6.0,5.2,2.974295705584768,-42.8,,
Arabica,5CQA,98.0,9.0,5.24,2.913885699092211,-44.39,,
Arabica,5CQA,98.0,12.0,5.71,2.859814264695541,-49.92,,
Arabica,tds,88.0,6.0,11.52,9.908152277042422,-13.99,,
Arabica,tds,88.0,9.0,10.87,9.770859266322226,-10.11,,
Arabica,tds,88.0,12.0,10.65,9.639627538592052,-9.49,,
Arabica,tds,93.4,6.0,10.84,10.016366774090736,-7.6,,
Arabica,tds,93.4,9.0,10.73,9.875432074639932,-7.96,,
Arabica,tds,93.4,12.0,10.5,9.740104364539858,-7.24,,
Arabica,tds,98.0,6.0,11.61,10.102704168673423,-12.98,,
Arabica,tds,98.0,9.0,10.93,9.958880650754194,-8.88,,
Arabica,tds,98.0,12.0,10.9,9.82029410786449,-9.91,,
Robusta,caffeine,88.0,6.0,8.54,4.528195588441396,-46.98,7.790173103939689,-8.78
Robusta,caffeine,88.0,9.0,8.35,4.530108191906955,-45.75,7.79346384413067,-6.67
Robusta,caffeine,88.0,12.0,6.98,4.522065824552765,-35.21,7.779628723404957,11.46
Robusta,caffeine,93.4,6.0,7.46,4.562203886161032,-38.84,7.848679616491016,5.21
Robusta,caffeine,93.4,9.0,7.88,4.563248958216724,-42.09,7.850478055902636,-0.37
Robusta,caffeine,93.4,12.0,7.46,4.55456188450441,-38.95,7.835529471994354,5.03
Robusta,caffeine,98.0,6.0,7.48,4.589328524524084,-38.65,7.895343031795096,5.55
