lag_s,rung1_const,rung3_static,rung4_phi_of_t,flexible_cubic
1,0.9579,0.9579,0.9687,0.9041
2,0.913,0.913,0.9009,0.7983
3,0.8661,0.8661,0.7983,0.6802
4,0.8182,0.8182,0.6731,0.5509
5,0.7681,0.7681,0.5267,0.4115
6,0.716,0.716,0.3693,0.2719
7,0.6618,0.6618,0.2086,0.1397
8,0.6066,0.6066,0.0536,0.0144
9,0.5505,0.5505,-0.092,-0.1054
10,0.4934,0.4934,-0.2172,-0.2036
11,0.4382,0.4382,-0.3241,-0.2982
12,0.3833,0.3833,-0.4045,-0.3706
13,0.3298,0.3298,-0.4645,-0.438
14,0.2763,0.2763,-0.498,-0.4772
15,0.2241,0.2241,-0.5103,-0.4912
16,0.1745,0.1745,-0.5024,-0.4796
17,0.1291,0.1291,-0.4851,-0.4663
18,0.0867,0.0867,-0.4573,-0.4415
19,0.048,0.048,-0.4237,-0.4135
20,0.0122,0.0122,-0.383,-0.3748
