sample_id,coffee_species,temperature_C,pressure_bar,grind_category,observable,mean,unit,rsd_percent,sd_reconstructed,n_reported,n_qualification,source_table,source_doi,provenance_status
A1,Arabica,93.4,9,O,total_solids,10.03,g/100 mL,2.9,0.29087,2,article says analyses were carried out almost in duplicate (n=2); verify any exceptions before inferential use,Table 2,10.3390/app13042688,verified_against_unicam_author_pdf_2026-07-13
A1,Arabica,93.4,9,O,total_lipids,0.45,g/100 mL,6.6,0.0297,2,article says analyses were carried out almost in duplicate (n=2); verify any exceptions before inferential use,Table 3,10.3390/app13042688,verified_against_unicam_author_pdf_2026-07-13
A2,Arabica,93.4,6,O,total_solids,9.65,g/100 mL,2.6,0.2509,2,article says analyses were carried out almost in duplicate (n=2); verify any exceptions before inferential use,Table 2,10.3390/app13042688,verified_against_unicam_author_pdf_2026-07-13
A2,Arabica,93.4,6,O,total_lipids,0.53,g/100 mL,14.8,0.07844,2,article says analyses were carried out almost in duplicate (n=2); verify any exceptions before inferential use,Table 3,10.3390/app13042688,verified_against_unicam_author_pdf_2026-07-13
A3,Arabica,93.4,12,O,total_solids,10.42,g/100 mL,1,0.1042,2,article says analyses were carried out almost in duplicate (n=2); verify any exceptions before inferential use,Table 2,10.3390/app13042688,verified_against_unicam_author_pdf_2026-07-13
A3,Arabica,93.4,12,O,total_lipids,0.55,g/100 mL,16.9,0.09295,2,article says analyses were carried out almost in duplicate (n=2); verify any exceptions before inferential use,Table 3,10.3390/app13042688,verified_against_unicam_author_pdf_2026-07-13
A4,Arabica,88,9,O,total_solids,9.69,g/100 mL,4.7,0.45543,2,article says analyses were carried out almost in duplicate (n=2); verify any exceptions before inferential use,Table 2,10.3390/app13042688,verified_against_unicam_author_pdf_2026-07-13
A4,Arabica,88,9,O,total_lipids,0.59,g/100 mL,19.2,0.11328,2,article says analyses were carried out almost in duplicate (n=2); verify any exceptions before inferential use,Table 3,10.3390/app13042688,verified_against_unicam_author_pdf_2026-07-13
A5,Arabica,88,6,O,total_solids,9.59,g/100 mL,2.4,0.23016,2,article says analyses were carried out almost in duplicate (n=2); verify any exceptions before inferential use,Table 2,10.3390/app13042688,verified_against_unicam_author_pdf_2026-07-13
A5,Arabica,88,6,O,total_lipids,0.38,g/100 mL,17.4,0.06612,2,article says analyses were carried out almost in duplicate (n=2); verify any exceptions before inferential use,Table 3,10.3390/app13042688,verified_against_unicam_author_pdf_2026-07-13
A6,Arabica,88,12,O,total_solids,9.94,g/100 mL,5.4,0.53676,2,article says analyses were carried out almost in duplicate (n=2); verify any exceptions before inferential use,Table 2,10.3390/app13042688,verified_against_unicam_author_pdf_2026-07-13
A6,Arabica,88,12,O,total_lipids,0.47,g/100 mL,15.8,0.07426,2,article says analyses were carried out almost in duplicate (n=2); verify any exceptions before inferential use,Table 3,10.3390/app13042688,verified_against_unicam_author_pdf_2026-07-13
A7,Arabica,98,12,O,total_solids,9.87,g/100 mL,10.7,1.05609,2,article says analyses were carried out almost in duplicate (n=2); verify any exceptions before inferential use,Table 2,10.3390/app13042688,verified_against_unicam_author_pdf_2026-07-13
A7,Arabica,98,12,O,total_lipids,0.39,g/100 mL,16,0.0624,2,article says analyses were carried out almost in duplicate (n=2); verify any exceptions before inferential use,Table 3,10.3390/app13042688,verified_against_unicam_author_pdf_2026-07-13
A8,Arabica,98,9,O,total_solids,9.8,g/100 mL,3.2,0.3136,2,article says analyses were carried out almost in duplicate (n=2); verify any exceptions before inferential use,Table 2,10.3390/app13042688,verified_against_unicam_author_pdf_2026-07-13
A8,Arabica,98,9,O,total_lipids,0.41,g/100 mL,12.3,0.05043,2,article says analyses were carried out almost in duplicate (n=2); verify any exceptions before inferential use,Table 3,10.3390/app13042688,verified_against_unicam_author_pdf_2026-07-13
A9,Arabica,98,6,O,total_solids,9.38,g/100 mL,1.9,0.17822,2,article says analyses were carried out almost in duplicate (n=2); verify any exceptions before inferential use,Table 2,10.3390/app13042688,verified_against_unicam_author_pdf_2026-07-13
A9,Arabica,98,6,O,total_lipids,0.38,g/100 mL,18.1,0.06878,2,article says analyses were carried out almost in duplicate (n=2); verify any exceptions before inferential use,Table 3,10.3390/app13042688,verified_against_unicam_author_pdf_2026-07-13
A10,Arabica,96,9,O,total_solids,9.57,g/100 mL,0.4,0.03828,2,article says analyses were carried out almost in duplicate (n=2); verify any exceptions before inferential use,Table 2,10.3390/app13042688,verified_against_unicam_author_pdf_2026-07-13
A10,Arabica,96,9,O,total_lipids,0.3,g/100 mL,14.5,0.0435,2,article says analyses were carried out almost in duplicate (n=2); verify any exceptions before inferential use,Table 3,10.3390/app13042688,verified_against_unicam_author_pdf_2026-07-13
