# Source: Angeloni et al. Appl. Sci. 13 (2023) 2688 -- transcribed from article tables (no repository). Joined to Table 1 conditions. on_grid = calibration 3x3 grid (T in {88;93.4;98} C x p in {6;9;12} bar); off_grid = the 12 validation points.
sample,variety,T_degC,p_bar,granulometry,on_grid,TR,TA,AA,CA,3CQA,5CQA,CF,FA,3_5diCQA,totCQA,totOA
A1,Arabica,93.4,9,O,True,3.41,3.45,7.27,16.18,2.95,5.89,5.27,0.27,0.3,9.13,26.89
A2,Arabica,93.4,6,O,True,3.55,3.53,6.98,17.92,3.05,5.74,5.45,0.32,0.32,9.11,28.43
A3,Arabica,93.4,12,O,True,3.55,3.56,7.94,17.4,3.11,6.01,5.4,0.29,0.32,9.44,28.89
A4,Arabica,88,9,O,True,3.54,3.54,7.55,16.56,2.94,5.95,5.44,0.3,0.3,9.2,27.66
A5,Arabica,88,6,O,True,3.47,3.47,7.75,14.86,2.86,5.44,5.19,0.3,0.3,8.59,26.07
A6,Arabica,88,12,O,True,3.28,3.29,5.34,15.58,2.69,5.21,4.77,0.3,0.28,8.17,24.21
A7,Arabica,98,12,O,True,3.52,3.53,4.52,11.25,3.02,5.71,5.34,0.34,0.31,9.04,19.31
A8,Arabica,98,9,O,True,3.39,3.38,6.11,14.08,2.82,5.24,5.2,0.28,0.3,8.36,23.57
A9,Arabica,98,6,O,True,3.36,3.35,7.02,13.65,2.81,5.2,5.1,0.28,0.3,8.31,24.02
A10,Arabica,96,9,O,False,3.19,3.19,6.5,13.01,2.66,5,4.85,0.27,0.28,7.94,22.7
A11,Arabica,91,8,O,False,3.86,3.84,4.67,8.89,3.18,5.93,5.8,0.32,0.32,9.42,17.4
A12,Arabica,93.4,9,C,True,3.13,3.17,6.83,12.98,2.47,4.53,4.76,0.25,0.27,7.26,22.98
A13,Arabica,93.4,6,C,True,3.37,3.38,10.97,16.04,2.58,4.79,5,0.27,0.27,7.65,30.39
A14,Arabica,93.4,12,C,True,3.53,3.53,7.12,10.73,2.73,5,5.24,0.27,0.29,8.02,21.38
A15,Arabica,98,9,C,True,3.2,3.21,3.8,6.32,2.44,4.62,4.85,0.25,0.27,7.32,13.33
A16,Arabica,98,12,C,True,3.12,3.11,8.04,10.5,2.37,4.37,4.61,0.23,0.25,7,21.65
A17,Arabica,98,6,C,True,3.19,3.18,5.92,13.1,2.45,5.76,4.79,0.23,0.21,8.42,22.19
A18,Arabica,88,9,C,True,3.23,3.21,11.69,15.9,2.43,4.51,4.71,0.25,0.25,7.19,30.8
A19,Arabica,88,12,C,True,2.99,2.98,7.55,13.53,2.26,4.14,4.41,0.23,0.23,6.64,24.07
A20,Arabica,88,6,C,True,3.39,3.37,4.57,11.46,2.55,4.77,5,0.24,0.27,7.59,19.4
A21,Arabica,89,10,C,False,3.32,3.31,13.09,16.42,2.53,4.83,4.82,0.27,0.26,7.62,32.81
A22,Arabica,97,7,C,False,3,3.01,6.64,10.19,2.37,4.43,4.45,0.24,0.25,7.05,19.84
A23,Arabica,93.4,9,F,True,3.48,3.5,5.42,11.4,2.97,5.51,5.43,0.3,0.32,8.8,20.32
A24,Arabica,93.4,6,F,True,3.54,3.54,4.47,7.94,2.96,5.64,5.53,0.32,0.32,8.93,15.95
A25,Arabica,93.4,12,F,True,3.49,3.48,8.04,16.56,2.93,5.5,5.44,0.31,0.32,8.75,28.08
A26,Arabica,98,12,F,True,3.49,3.49,5.53,18.06,2.99,5.64,5.5,0.33,0.33,8.95,27.09
A27,Arabica,98,6,F,True,3.71,3.72,7.07,20.49,3.2,5.99,5.98,0.33,0.32,9.51,31.28
A28,Arabica,98,9,F,True,3.48,3.49,13.28,17.08,2.98,5.54,5.41,0.32,0.31,8.84,33.86
A29,Arabica,88,9,F,True,3.38,3.35,9.53,16.36,2.87,5.3,5.65,0.3,0.3,8.47,29.24
A30,Arabica,88,12,F,True,3.46,3.45,5.53,16.51,2.96,5.53,5.49,0.29,0.3,8.8,25.49
A31,Arabica,88,6,F,True,3.7,3.69,6.25,18.78,3.15,5.91,5.83,0.34,0.33,9.38,28.73
