# Source: Angeloni et al. Appl. Sci. 13 (2023) 2688 -- transcribed from article tables (no repository). Joined to Table 1 conditions. on_grid = calibration 3x3 grid (T in {88;93.4;98} C x p in {6;9;12} bar); off_grid = the 12 validation points.
sample,variety,T_degC,p_bar,granulometry,on_grid,total_lipids_g_100mL,RSD_pct
A1,Arabica,93.4,9,O,True,0.45,6.6
A2,Arabica,93.4,6,O,True,0.53,14.8
A3,Arabica,93.4,12,O,True,0.55,16.9
A4,Arabica,88,9,O,True,0.59,19.2
A5,Arabica,88,6,O,True,0.38,17.4
A6,Arabica,88,12,O,True,0.47,15.8
A7,Arabica,98,12,O,True,0.39,16
A8,Arabica,98,9,O,True,0.41,12.3
A9,Arabica,98,6,O,True,0.38,18.1
A10,Arabica,96,9,O,False,0.3,14.5
A11,Arabica,91,8,O,False,0.29,19.2
A12,Arabica,93.4,9,C,True,0.33,11.5
A13,Arabica,93.4,6,C,True,0.34,9
A14,Arabica,93.4,12,C,True,0.44,12.1
A15,Arabica,98,9,C,True,0.43,17.9
A16,Arabica,98,12,C,True,0.52,8.3
A17,Arabica,98,6,C,True,0.55,12.9
A18,Arabica,88,9,C,True,0.29,3.5
A19,Arabica,88,12,C,True,0.65,1.1
A20,Arabica,88,6,C,True,0.43,18.2
A21,Arabica,89,10,C,False,0.36,0
A22,Arabica,97,7,C,False,0.35,12.1
A23,Arabica,93.4,9,F,True,0.52,12.2
A24,Arabica,93.4,6,F,True,0.45,8.7
A25,Arabica,93.4,12,F,True,0.45,2.1
A26,Arabica,98,12,F,True,0.41,12.8
A27,Arabica,98,6,F,True,0.68,4.6
A28,Arabica,98,9,F,True,0.69,18.2
A29,Arabica,88,9,F,True,0.66,19.5
A30,Arabica,88,12,F,True,0.47,8.4
A31,Arabica,88,6,F,True,0.62,17.8
A32,Arabica,90,8,F,False,0.59,4.8
A33,Arabica,95,11,F,False,0.47,14.8
R1,Robusta,93.4,9,O,True,0.07,16.8
R2,Robusta,93.4,12,O,True,0.11,17.1
R3,Robusta,93.4,6,O,True,0.14,15.7
R4,Robusta,88,9,O,True,0.06,13.1
R5,Robusta,88,12,O,True,0.11,12
R6,Robusta,88,6,O,True,0.08,8.8
R7,Robusta,98,9,O,True,0.1,6.4
R8,Robusta,98,12,O,True,0.1,9.6
R9,Robusta,98,6,O,True,0.06,4.2
R10,Robusta,96,9,O,False,0.03,19
R11,Robusta,91,8,O,False,0.07,6.5
R12,Robusta,93.4,9,C,True,0.11,20
R13,Robusta,93.4,12,C,True,0.1,8.5
R14,Robusta,93.4,6,C,True,0.12,19.9
R15,Robusta,88,9,C,True,0.07,5.2
R16,Robusta,88,12,C,True,0.11,18.7
R17,Robusta,88,6,C,True,0.08,16.9
R18,Robusta,98,9,C,True,0.09,19
R19,Robusta,98,12,C,True,0.08,1.8
R20,Robusta,98,6,C,True,0.04,14.2
R21,Robusta,97,7,C,False,0.06,0.6
R22,Robusta,89,10,C,False,0.09,10.4
R23,Robusta,93.4,9,F,True,0.09,13.1
R24,Robusta,93.4,12,F,True,0.07,15.3
R25,Robusta,93.4,6,F,True,0.07,18
R26,Robusta,88,9,F,True,0.02,16.2
R27,Robusta,88,12,F,True,0.09,12.1
R28,Robusta,88,6,F,True,0.07,17.4
R29,Robusta,98,6,F,True,0.05,11.5
R30,Robusta,98,9,F,True,0.05,1.3
R31,Robusta,98,12,F,True,0.08,9.4
R32,Robusta,95,11,F,False,0.09,5.4
R33,Robusta,90,8,F,False,0.09,7.9
