# Source: Angeloni et al. Appl. Sci. 13 (2023) 2688 -- transcribed from article tables (no repository). Joined to Table 1 conditions. on_grid = calibration 3x3 grid (T in {88;93.4;98} C x p in {6;9;12} bar); off_grid = the 12 validation points.
sample,variety,T_degC,p_bar,granulometry,on_grid,TS_g_100mL,RSD_pct
A1,Arabica,93.4,9,O,True,10.03,2.9
A2,Arabica,93.4,6,O,True,9.65,2.6
A3,Arabica,93.4,12,O,True,10.42,1
A4,Arabica,88,9,O,True,9.69,4.7
A5,Arabica,88,6,O,True,9.59,2.4
A6,Arabica,88,12,O,True,9.94,5.4
A7,Arabica,98,12,O,True,9.87,10.7
A8,Arabica,98,9,O,True,9.8,3.2
A9,Arabica,98,6,O,True,9.38,1.9
A10,Arabica,96,9,O,False,9.57,0.4
A11,Arabica,91,8,O,False,10.21,4.5
A12,Arabica,93.4,9,C,True,8.79,2.2
A13,Arabica,93.4,6,C,True,10.08,11.2
A14,Arabica,93.4,12,C,True,10.38,14.4
A15,Arabica,98,9,C,True,9.15,8.9
A16,Arabica,98,12,C,True,9.38,0.9
A17,Arabica,98,6,C,True,9.49,4.5
A18,Arabica,88,9,C,True,9.59,6.8
A19,Arabica,88,12,C,True,9.05,1.2
A20,Arabica,88,6,C,True,9.79,0.9
A21,Arabica,89,10,C,False,8.8,6.4
A22,Arabica,97,7,C,False,9.22,1.2
A23,Arabica,93.4,9,F,True,10.73,5
A24,Arabica,93.4,6,F,True,10.84,7.6
A25,Arabica,93.4,12,F,True,10.5,2.3
A26,Arabica,98,12,F,True,10.9,9.9
A27,Arabica,98,6,F,True,11.61,2.3
A28,Arabica,98,9,F,True,10.93,3.5
A29,Arabica,88,9,F,True,10.87,6.2
A30,Arabica,88,12,F,True,10.65,0.6
A31,Arabica,88,6,F,True,11.52,5.6
A32,Arabica,90,8,F,False,11.42,4.5
A33,Arabica,95,11,F,False,10.31,1.9
R1,Robusta,93.4,9,O,True,9.78,17.9
R2,Robusta,93.4,12,O,True,10.12,16.9
R3,Robusta,93.4,6,O,True,10.15,18.8
R4,Robusta,88,9,O,True,10.31,9.7
R5,Robusta,88,12,O,True,10.72,9.1
R6,Robusta,88,6,O,True,11.2,0.9
R7,Robusta,98,9,O,True,11.19,3.8
R8,Robusta,98,12,O,True,9.63,14
R9,Robusta,98,6,O,True,10.88,3.7
R10,Robusta,96,9,O,False,12.09,16.9
R11,Robusta,91,8,O,False,9.83,14.5
R12,Robusta,93.4,9,C,True,9.46,3.6
R13,Robusta,93.4,12,C,True,8.62,17.1
R14,Robusta,93.4,6,C,True,10.86,0.7
R15,Robusta,88,9,C,True,9.69,4.7
R16,Robusta,88,12,C,True,11.03,5.6
R17,Robusta,88,6,C,True,9.13,2.7
R18,Robusta,98,9,C,True,9.53,1.8
R19,Robusta,98,12,C,True,8.85,19.4
R20,Robusta,98,6,C,True,11.3,8
R21,Robusta,97,7,C,False,10.88,11
R22,Robusta,89,10,C,False,8.53,9.6
R23,Robusta,93.4,9,F,True,12.55,3.5
R24,Robusta,93.4,12,F,True,10.05,18.3
R25,Robusta,93.4,6,F,True,11.95,6.7
R26,Robusta,88,9,F,True,11.63,18.6
R27,Robusta,88,12,F,True,11.28,3.1
R28,Robusta,88,6,F,True,10.36,3.5
R29,Robusta,98,6,F,True,12.37,8.3
R30,Robusta,98,9,F,True,11.23,0.3
R31,Robusta,98,12,F,True,11.73,13.7
R32,Robusta,95,11,F,False,10.9,13.8
R33,Robusta,90,8,F,False,11.19,3.7
