sample_label,origin,species_common,species_scientific,roast_profile,compound,compound_code,mean,sd,unit,basis,n_measurements,source_doi,source_table,source_url,license,notes
Mix Mexico,Mexico,Arabica,Coffea arabica L.,medium,Caffeine,CF,8491.40,64.22,mg/kg,roasted coffee powder,3,10.1038/s41598-026-43923-9,Table 2,https://www.nature.com/articles/s41598-026-43923-9,CC BY 4.0,Values transcribed exactly from article Table 2; mean ± SD.
Mix Rwanda,Rwanda,Arabica,Coffea arabica L.,medium,Caffeine,CF,8615.33,84.20,mg/kg,roasted coffee powder,3,10.1038/s41598-026-43923-9,Table 2,https://www.nature.com/articles/s41598-026-43923-9,CC BY 4.0,Values transcribed exactly from article Table 2; mean ± SD.
Mix Nicaragua,Nicaragua,Robusta,Coffea canephora Pierre ex A. Froehner,hard,Caffeine,CF,15258.71,57.04,mg/kg,roasted coffee powder,3,10.1038/s41598-026-43923-9,Table 2,https://www.nature.com/articles/s41598-026-43923-9,CC BY 4.0,Values transcribed exactly from article Table 2; mean ± SD.
Mix Indonesia,Indonesia,Robusta,Coffea canephora Pierre ex A. Froehner,hard,Caffeine,CF,16607.39,12.48,mg/kg,roasted coffee powder,3,10.1038/s41598-026-43923-9,Table 2,https://www.nature.com/articles/s41598-026-43923-9,CC BY 4.0,Values transcribed exactly from article Table 2; mean ± SD.
Mix Mexico,Mexico,Arabica,Coffea arabica L.,medium,"3,5-diCGA","3,5-diCGA",195.23,1.21,mg/kg,roasted coffee powder,3,10.1038/s41598-026-43923-9,Table 2,https://www.nature.com/articles/s41598-026-43923-9,CC BY 4.0,Values transcribed exactly from article Table 2; mean ± SD.
Mix Rwanda,Rwanda,Arabica,Coffea arabica L.,medium,"3,5-diCGA","3,5-diCGA",201.66,0.53,mg/kg,roasted coffee powder,3,10.1038/s41598-026-43923-9,Table 2,https://www.nature.com/articles/s41598-026-43923-9,CC BY 4.0,Values transcribed exactly from article Table 2; mean ± SD.
Mix Nicaragua,Nicaragua,Robusta,Coffea canephora Pierre ex A. Froehner,hard,"3,5-diCGA","3,5-diCGA",310.24,1.18,mg/kg,roasted coffee powder,3,10.1038/s41598-026-43923-9,Table 2,https://www.nature.com/articles/s41598-026-43923-9,CC BY 4.0,Values transcribed exactly from article Table 2; mean ± SD.
Mix Indonesia,Indonesia,Robusta,Coffea canephora Pierre ex A. Froehner,hard,"3,5-diCGA","3,5-diCGA",329.10,1.09,mg/kg,roasted coffee powder,3,10.1038/s41598-026-43923-9,Table 2,https://www.nature.com/articles/s41598-026-43923-9,CC BY 4.0,Values transcribed exactly from article Table 2; mean ± SD.
Mix Mexico,Mexico,Arabica,Coffea arabica L.,medium,5-CGA,5-CGA,675.62,3.95,mg/kg,roasted coffee powder,3,10.1038/s41598-026-43923-9,Table 2,https://www.nature.com/articles/s41598-026-43923-9,CC BY 4.0,Values transcribed exactly from article Table 2; mean ± SD.
Mix Rwanda,Rwanda,Arabica,Coffea arabica L.,medium,5-CGA,5-CGA,722.17,3.27,mg/kg,roasted coffee powder,3,10.1038/s41598-026-43923-9,Table 2,https://www.nature.com/articles/s41598-026-43923-9,CC BY 4.0,Values transcribed exactly from article Table 2; mean ± SD.
