compound,unit,basis,Mexico_Arabica_mean,Mexico_Arabica_sd,Rwanda_Arabica_mean,Rwanda_Arabica_sd,Nicaragua_Robusta_mean,Nicaragua_Robusta_sd,Indonesia_Robusta_mean,Indonesia_Robusta_sd
Caffeine,mg/kg,roasted coffee powder,8491.40,64.22,8615.33,84.20,15258.71,57.04,16607.39,12.48
"3,5-diCGA",mg/kg,roasted coffee powder,195.23,1.21,201.66,0.53,310.24,1.18,329.10,1.09
5-CGA,mg/kg,roasted coffee powder,675.62,3.95,722.17,3.27,980.82,1.58,1050.11,2.21
3-CGA,mg/kg,roasted coffee powder,206.34,0.40,218.64,1.61,300.11,0.29,315.08,1.83
Trigonelline,mg/kg,roasted coffee powder,321.67,8.96,305.83,7.26,227.18,10.85,220.58,10.55
Ferulic acid,mg/kg,roasted coffee powder,28.35,0.36,34.96,2.49,32.31,0.73,33.29,2.42
Tartaric acid,mg/kg,roasted coffee powder,41.24,0.95,40.00,0.80,43.72,1.55,42.18,1.38
Citric acid,mg/kg,roasted coffee powder,134.41,6.19,125.17,4.10,258.96,1.96,280.93,3.56
Acetic acid,mg/kg,roasted coffee powder,403.66,1.14,456.24,4.53,671.21,2.01,693.39,7.04
Lipids,% w/w,dry-weight basis,11.00,1.35,12.30,1.84,7.10,1.56,10.20,2.83
