particle_diameter_um,volume_percent_Gs_2.5,volume_percent_Gs_2.0,volume_percent_Gs_1.5,volume_percent_Gs_1.0
1.025,0.094,0.094,0.094,0.094
1.037,0.094,0.094,0.094,0.094
1.05,0.094,0.094,0.094,0.094
1.063,0.094,0.094,0.094,0.094
1.076,0.094,0.094,0.094,0.094
1.089,0.094,0.094,0.094,0.094
1.103,0.094,0.094,0.094,0.094
1.116,0.094,0.094,0.094,0.094
1.13,0.094,0.094,0.094,0.094
1.144,0.094,0.094,0.094,0.094
1.158,0.094,0.094,0.094,0.094
1.172,0.094,0.094,0.094,0.094
1.186,0.094,0.094,0.094,0.094
1.201,0.094,0.094,0.094,0.094
1.216,0.094,0.094,0.094,0.094
1.231,0.094,0.094,0.094,0.094
1.246,0.094,0.094,0.094,0.094
1.261,0.094,0.094,0.094,0.094
1.276,0.094,0.094,0.094,0.094
1.292,0.094,0.094,0.094,0.094
1.308,0.094,0.094,0.094,0.094
1.324,0.094,0.094,0.094,0.094
1.34,0.094,0.094,0.094,0.094
1.357,0.094,0.094,0.094,0.094
1.373,0.094,0.094,0.094,0.094
1.39,0.094,0.094,0.094,0.094
1.407,0.094,0.094,0.094,0.094
1.425,0.094,0.094,0.094,0.094
1.442,0.094,0.094,0.094,0.094
1.46,0.094,0.094,0.094,0.094
1.478,0.094,0.094,0.094,0.094
1.496,0.094,0.094,0.094,0.094
1.514,0.094,0.094,0.094,0.094
1.533,0.094,0.094,0.094,0.094
1.552,0.094,0.094,0.094,0.094
1.571,0.094,0.094,0.094,0.094
1.59,0.094,0.094,0.094,0.094
1.61,0.094,0.094,0.094,0.094
1.629,0.094,0.094,0.094,0.094
1.649,0.094,0.094,0.094,0.094
1.67,0.094,0.094,0.094,0.094
1.69,0.094,0.094,0.094,0.094
1.711,0.094,0.094,0.094,0.094
1.732,0.094,0.094,0.094,0.094
1.753,0.094,0.094,0.094,0.094
1.775,0.094,0.094,0.094,0.094
1.796,0.094,0.094,0.094,0.094
1.819,0.094,0.094,0.094,0.094
1.841,0.094,0.094,0.094,0.094
1.863,0.094,0.094,0.094,0.094
1.886,0.094,0.094,0.094,0.094
1.909,0.094,0.094,0.094,0.094
1.933,0.094,0.094,0.094,0.094
1.957,0.094,0.094,0.094,0.094
1.981,0.188,0.188,0.188,0.188
2.005,0.188,0.188,0.188,0.188
2.03,0.188,0.188,0.188,0.188
2.055,0.094,0.094,0.094,0.094
2.08,0.094,0.094,0.094,0.094
2.105,0.094,0.094,0.094,0.094
2.131,0.094,0.094,0.094,0.094
2.157,0.094,0.094,0.094,0.094
2.184,0.094,0.094,0.094,0.094
2.211,0.094,0.094,0.094,0.094
2.238,0.094,0.094,0.094,0.094
2.265,0.094,0.094,0.094,0.094
2.293,0.094,0.094,0.094,0.094
2.321,0.094,0.094,0.094,0.094
2.35,0.094,0.094,0.094,0.094
2.379,0.094,0.094,0.094,0.094
2.408,0.094,0.094,0.094,0.094
2.437,0.094,0.094,0.094,0.094
2.467,0.094,0.094,0.094,0.094
2.498,0.094,0.094,0.094,0.094
2.528,0.094,0.094,0.094,0.094
2.559,0.094,0.094,0.094,0.094
2.591,0.094,0.094,0.094,0.094
2.623,0.094,0.094,0.094,0.094
2.655,0.094,0.094,0.094,0.094
2.687,0.094,0.094,0.094,0.094
2.72,0.094,0.094,0.094,0.094
2.754,0.094,0.094,0.094,0.094
2.788,0.094,0.094,0.094,0.094
2.822,0.094,0.094,0.094,0.094
2.856,0.094,0.094,0.094,0.094
2.892,0.094,0.094,0.094,0.094
2.927,0.094,0.094,0.094,0.094
2.963,0.188,0.188,0.188,0.188
2.999,0.188,0.188,0.188,0.188
3.036,0.188,0.188,0.188,0.188
3.073,0.094,0.094,0.094,0.094
3.111,0.094,0.094,0.094,0.094
3.149,0.094,0.094,0.094,0.094
3.188,0.094,0.094,0.094,0.094
3.227,0.094,0.094,0.094,0.094
3.267,0.094,0.094,0.094,0.094
3.307,0.094,0.094,0.094,0.094
3.348,0.094,0.094,0.094,0.094
3.389,0.094,0.094,0.094,0.094
3.43,0.094,0.094,0.094,0.094
3.472,0.094,0.094,0.094,0.094
3.515,0.094,0.094,0.094,0.094
3.558,0.094,0.094,0.094,0.094
3.602,0.094,0.094,0.094,0.094
3.646,0.094,0.094,0.094,0.094
3.691,0.094,0.094,0.094,0.094
3.736,0.094,0.094,0.094,0.094
3.782,0.094,0.094,0.094,0.094
3.829,0.094,0.094,0.094,0.094
3.876,0.094,0.094,0.094,0.094
3.923,0.188,0.188,0.188,0.188
3.971,0.188,0.188,0.188,0.188
4.02,0.188,0.188,0.188,0.188
4.069,0.188,0.188,0.188,0.188
4.119,0.094,0.094,0.094,0.094
4.17,0.094,0.094,0.094,0.094
4.221,0.094,0.094,0.094,0.094
4.273,0.094,0.094,0.094,0.094
4.326,0.094,0.094,0.094,0.094
4.379,0.094,0.094,0.094,0.094
4.432,0.094,0.094,0.094,0.094
4.487,0.094,0.094,0.094,0.094
4.542,0.094,0.094,0.094,0.094
4.598,0.094,0.094,0.094,0.094
4.654,0.094,0.094,0.094,0.094
4.711,0.094,0.094,0.094,0.094
4.769,0.094,0.094,0.094,0.094
4.828,0.094,0.094,0.094,0.094
4.887,0.188,0.188,0.188,0.188
4.947,0.188,0.188,0.188,0.188
5.008,0.188,0.188,0.188,0.188
5.069,0.188,0.188,0.188,0.188
5.132,0.094,0.094,0.094,0.094
5.195,0.094,0.094,0.094,0.094
5.258,0.094,0.094,0.094,0.094
5.323,0.094,0.094,0.094,0.094
5.388,0.094,0.094,0.094,0.094
5.454,0.094,0.094,0.094,0.094
5.521,0.094,0.094,0.094,0.094
5.589,0.094,0.094,0.094,0.094
5.658,0.094,0.094,0.094,0.094
5.727,0.094,0.094,0.094,0.094
5.798,0.094,0.094,0.094,0.094
5.869,0.094,0.094,0.094,0.094
5.941,0.188,0.188,0.188,0.188
6.014,0.188,0.188,0.188,0.188
6.088,0.188,0.188,0.188,0.188
6.162,0.094,0.094,0.094,0.094
6.238,0.094,0.094,0.094,0.094
6.315,0.094,0.094,0.094,0.094
6.392,0.094,0.094,0.094,0.094
6.471,0.094,0.094,0.094,0.094
6.55,0.094,0.094,0.094,0.094
6.631,0.094,0.094,0.094,0.094
6.712,0.094,0.094,0.094,0.094
6.794,0.094,0.094,0.094,0.094
6.878,0.188,0.188,0.188,0.188
6.962,0.188,0.188,0.188,0.188
7.048,0.188,0.188,0.188,0.188
7.134,0.188,0.188,0.188,0.188
7.222,0.094,0.094,0.094,0.094
7.311,0.094,0.094,0.094,0.094
7.4,0.094,0.094,0.094,0.094
7.491,0.094,0.094,0.094,0.094
7.583,0.094,0.094,0.094,0.094
7.676,0.094,0.094,0.094,0.094
7.771,0.113,0.113,0.113,0.113
7.866,0.188,0.188,0.188,0.188
7.963,0.188,0.188,0.188,0.188
8.06,0.188,0.188,0.188,0.188
8.159,0.188,0.188,0.188,0.188
8.26,0.169,0.169,0.169,0.169
8.361,0.169,0.169,0.169,0.169
8.464,0.188,0.188,0.188,0.188
8.568,0.188,0.188,0.188,0.188
8.673,0.206,0.206,0.206,0.206
8.779,0.206,0.206,0.206,0.206
8.887,0.206,0.206,0.206,0.206
8.996,0.225,0.225,0.225,0.225
9.107,0.225,0.225,0.225,0.225
9.219,0.244,0.244,0.244,0.244
9.332,0.244,0.244,0.244,0.244
9.446,0.281,0.281,0.281,0.281
9.562,0.281,0.281,0.281,0.281
9.68,0.3,0.3,0.3,0.3
9.799,0.338,0.338,0.338,0.338
9.919,0.338,0.338,0.338,0.338
10.041,0.338,0.338,0.338,0.338
10.164,0.338,0.338,0.338,0.338
10.289,0.375,0.375,0.375,0.375
10.415,0.375,0.375,0.375,0.375
10.543,0.375,0.375,0.375,0.375
10.673,0.394,0.394,0.394,0.394
10.804,0.413,0.413,0.413,0.413
10.936,0.432,0.432,0.432,0.432
11.071,0.432,0.432,0.432,0.432
11.206,0.432,0.432,0.432,0.432
11.344,0.469,0.469,0.469,0.469
11.483,0.469,0.469,0.469,0.469
11.624,0.488,0.488,0.488,0.488
11.767,0.488,0.488,0.488,0.488
11.912,0.507,0.507,0.507,0.507
12.058,0.525,0.525,0.525,0.525
12.206,0.525,0.525,0.525,0.525
12.356,0.544,0.544,0.544,0.544
12.508,0.563,0.563,0.563,0.563
12.661,0.582,0.582,0.582,0.582
12.817,0.582,0.582,0.582,0.582
12.974,0.582,0.582,0.582,0.582
13.133,0.619,0.619,0.619,0.619
13.295,0.619,0.619,0.619,0.619
13.458,0.638,0.638,0.638,0.638
13.623,0.638,0.638,0.638,0.638
13.79,0.675,0.675,0.675,0.675
13.96,0.675,0.675,0.675,0.675
14.131,0.675,0.675,0.675,0.675
14.305,0.694,0.694,0.694,0.694
14.48,0.713,0.713,0.713,0.713
14.658,0.732,0.732,0.732,0.732
14.838,0.732,0.732,0.732,0.732
15.02,0.769,0.769,0.769,0.769
15.205,0.769,0.769,0.769,0.769
15.391,0.788,0.788,0.788,0.788
15.58,0.788,0.788,0.788,0.788
15.772,0.826,0.826,0.826,0.826
15.965,0.826,0.826,0.826,0.826
16.161,0.844,0.844,0.844,0.844
16.36,0.863,0.863,0.863,0.863
16.561,0.882,0.882,0.882,0.882
16.764,0.882,0.882,0.882,0.882
16.97,0.919,0.919,0.919,0.919
17.178,0.919,0.919,0.919,0.919
17.389,0.938,0.938,0.938,0.938
17.603,0.957,0.957,0.957,0.957
17.819,0.976,0.976,0.976,0.976
18.038,0.976,0.994,0.994,0.994
18.259,0.994,1.032,1.032,1.032
18.483,0.788,1.107,1.107,1.107
18.71,0.788,1.051,1.051,1.163
18.94,0.788,1.163,1.163,1.201
19.173,0.826,1.088,1.088,1.313
19.408,0.826,1.126,1.126,1.37
19.646,0.863,1.126,1.126,1.37
19.888,0.863,1.163,1.163,1.388
20.132,0.863,1.182,1.182,1.445
20.379,0.901,1.182,1.182,1.463
20.629,0.901,1.201,1.201,1.482
20.883,0.919,1.22,1.22,1.52
21.139,0.938,1.257,1.257,1.557
21.399,0.938,1.257,1.257,1.576
21.661,0.976,1.295,1.295,1.595
21.927,0.976,1.332,1.332,1.632
22.197,1.013,1.332,1.332,1.67
22.469,1.013,1.37,1.37,1.707
22.745,1.032,1.388,1.388,1.745
23.024,1.051,1.407,1.407,1.764
23.307,1.069,1.445,1.445,1.801
23.593,1.088,1.463,1.463,1.839
23.883,1.107,1.501,1.501,1.876
24.176,1.126,1.538,1.538,1.914
24.473,1.144,1.576,1.576,1.951
24.774,1.163,1.595,1.595,1.989
25.078,1.201,1.614,1.614,2.026
25.386,1.22,1.651,1.651,2.083
25.698,1.238,1.689,1.689,2.139
26.013,1.257,1.726,1.726,2.176
26.333,1.276,1.764,1.764,2.214
26.656,1.313,1.801,1.801,2.251
26.983,1.332,1.82,1.82,2.308
27.314,1.351,1.857,1.857,2.364
27.65,1.37,1.895,1.895,2.402
27.989,1.407,1.932,1.932,2.458
28.333,1.426,1.97,1.97,2.514
28.681,1.445,2.026,2.026,2.552
29.033,1.482,2.064,2.064,2.608
29.39,1.501,2.101,2.101,2.664
29.751,1.52,2.139,2.139,2.72
30.116,1.557,2.176,2.176,2.758
30.486,1.595,2.214,2.214,2.814
30.86,1.614,2.251,2.251,2.871
31.239,1.632,2.289,2.289,2.927
31.623,1.67,2.345,2.345,2.983
32.011,1.689,2.383,2.383,3.021
32.404,1.707,2.42,2.42,3.096
32.802,1.745,2.477,2.477,3.133
33.205,1.782,2.514,2.514,3.208
33.612,1.801,2.57,2.57,3.246
34.025,1.82,2.608,2.608,3.321
34.443,1.857,2.645,2.645,3.358
34.866,1.895,2.683,2.683,3.433
35.294,1.932,2.72,2.72,3.471
35.727,1.932,2.777,2.777,3.546
36.166,1.97,2.814,2.814,3.602
36.61,2.008,2.871,2.871,3.659
37.06,2.045,2.908,2.908,3.734
37.515,2.045,2.964,2.964,3.771
37.975,2.083,3.002,3.002,3.846
38.442,2.12,3.039,3.039,3.884
38.914,2.158,3.077,3.077,3.959
39.392,2.176,3.114,3.114,3.996
39.875,2.195,3.171,3.171,4.071
40.365,2.233,3.227,3.227,4.109
40.861,2.27,3.265,3.265,4.184
41.362,2.289,3.302,3.302,4.24
41.87,2.308,3.34,3.34,4.296
42.384,2.345,3.396,3.396,4.353
42.905,2.383,3.433,3.433,4.409
43.432,2.402,3.471,3.471,4.465
43.965,2.42,3.508,3.508,4.522
44.505,2.458,3.546,3.546,4.559
45.051,2.477,3.546,3.583,4.615
45.604,2.495,3.527,3.771,4.672
46.164,2.533,3.527,3.809,4.728
46.731,2.552,3.565,3.846,4.765
47.305,2.57,3.602,3.884,4.803
47.886,2.589,3.621,3.921,4.841
48.474,2.608,3.659,3.959,4.897
49.069,2.627,3.696,3.977,4.934
49.672,2.664,3.715,3.996,4.972
50.282,2.664,3.715,4.015,4.991
50.899,2.664,3.734,4.015,4.991
51.524,2.664,3.734,4.015,4.991
52.157,2.664,3.715,4.015,4.991
52.797,2.664,3.715,4.015,4.972
53.446,2.627,3.696,3.977,4.916
54.102,2.608,3.659,3.959,4.878
54.766,2.57,3.621,3.902,4.822
55.439,2.552,3.621,3.865,4.765
56.119,2.514,3.621,3.677,4.672
56.809,2.477,3.621,3.621,4.597
57.506,2.439,3.565,3.621,4.522
58.212,2.402,3.377,3.621,4.465
58.927,2.383,3.358,3.621,4.428
59.651,2.364,3.302,3.602,4.39
60.383,2.345,3.302,3.602,4.353
61.125,2.345,3.283,3.583,4.353
61.875,2.345,3.283,3.583,4.353
62.635,2.345,3.283,3.602,4.39
63.404,2.345,3.265,3.602,4.39
64.183,2.364,3.265,3.602,4.428
64.971,2.364,3.265,3.602,4.428
65.769,2.364,3.265,3.621,4.465
66.576,2.364,3.265,3.621,4.465
67.394,2.364,3.265,3.621,4.465
68.221,2.364,3.227,3.602,4.465
69.059,2.364,3.227,3.602,4.465
69.907,2.326,3.208,3.583,4.447
70.765,2.326,3.171,3.565,4.409
71.634,2.308,3.133,3.546,4.371
72.514,2.27,3.133,3.508,4.353
73.404,2.251,3.096,3.471,4.296
74.306,2.233,3.058,3.433,4.24
75.218,2.195,3.021,3.396,4.203
76.142,2.176,2.983,3.358,4.165
77.077,2.158,2.946,3.321,4.128
78.023,2.12,2.908,3.283,4.071
78.981,2.101,2.908,3.265,4.034
79.951,2.101,2.871,3.246,4.015
80.933,2.064,2.852,3.227,3.996
81.926,2.064,2.814,3.227,3.977
82.932,2.064,2.814,3.208,3.977
83.951,2.045,2.777,3.189,3.959
84.982,2.045,2.777,3.189,3.959
86.025,2.045,2.739,3.189,3.959
87.081,2.045,2.739,3.189,3.959
88.151,2.045,2.739,3.189,3.959
89.233,2.045,2.702,3.189,3.959
90.329,2.045,2.702,3.189,3.977
91.438,2.064,2.683,3.189,3.977
92.561,2.064,2.664,3.189,3.977
93.697,2.064,2.664,3.189,4.015
94.848,2.064,2.664,3.189,4.015
96.013,2.064,2.664,3.208,4.034
97.192,2.064,2.649,3.227,4.071
98.385,2.064,2.649,3.235,4.105
99.593,2.064,2.653,3.242,4.139
100.816,2.064,2.657,3.25,4.173
102.054,2.064,2.66,3.257,4.206
103.307,2.064,2.664,3.265,4.24
104.576,2.064,2.664,3.265,4.278
105.86,2.064,2.664,3.265,4.334
107.16,2.064,2.702,3.302,4.371
108.476,2.064,2.702,3.302,4.428
109.808,2.064,2.702,3.34,4.484
111.156,2.064,2.739,3.34,4.54
112.521,2.064,2.739,3.377,4.597
113.903,2.064,2.777,3.396,4.672
115.301,2.064,2.795,3.433,4.728
116.717,2.064,2.814,3.49,4.803
118.15,2.064,2.833,3.527,4.859
119.601,2.064,2.871,3.565,4.916
121.07,2.064,2.908,3.621,4.991
122.556,2.064,2.908,3.677,5.066
124.061,2.064,2.946,3.734,5.141
125.585,2.064,2.983,3.79,5.197
127.127,2.064,3.021,3.865,5.272
128.688,2.064,3.058,3.94,5.347
130.268,2.083,3.077,4.034,5.422
131.867,2.083,3.133,4.109,5.516
133.487,2.101,3.189,4.203,5.591
135.126,2.101,3.246,4.278,5.685
136.785,2.12,3.283,4.371,5.797
138.465,2.139,3.358,4.484,5.891
140.165,2.158,3.433,4.578,6.023
141.886,2.195,3.508,4.69,6.135
143.628,2.233,3.602,4.803,6.266
145.392,2.27,3.677,4.916,6.417
147.177,2.289,3.771,5.047,6.548
148.984,2.326,3.884,5.159,6.698
150.814,2.402,3.977,5.291,6.829
152.666,2.439,4.09,5.441,6.979
154.54,2.477,4.203,5.572,7.129
156.438,2.533,4.315,5.704,7.317
158.359,2.57,4.428,5.854,7.467
160.304,2.645,4.54,5.985,7.636
162.272,2.683,4.672,6.135,7.805
164.265,2.758,4.784,6.285,7.974
166.282,2.795,4.916,6.435,8.143
168.323,2.871,5.028,6.585,8.33
170.39,2.908,5.141,6.735,8.537
172.483,2.983,5.253,6.886,8.724
174.601,3.021,5.385,7.036,8.931
176.744,3.096,5.497,7.186,9.137
178.915,3.152,5.629,7.336,9.325
181.112,3.208,5.76,7.505,9.55
183.336,3.265,5.891,7.655,9.775
185.587,3.358,6.023,7.824,9.962
187.866,3.433,6.173,7.992,10.169
190.173,3.527,6.323,8.18,10.375
192.508,3.602,6.473,8.368,10.563
194.872,3.715,6.679,8.555,10.75
197.265,3.827,6.848,8.762,10.938
199.687,3.94,7.054,9.006,11.107
202.139,4.071,7.261,9.231,11.257
204.621,4.184,7.486,9.475,11.388
207.133,4.315,7.711,9.756,11.557
209.677,4.484,7.955,10.019,11.707
212.252,4.615,8.199,10.281,11.82
214.858,4.784,8.48,10.544,11.951
217.496,4.953,8.743,10.807,12.101
220.167,5.159,9.024,11.069,12.214
222.87,5.366,9.287,11.295,12.364
225.607,5.572,9.568,11.52,12.495
228.377,5.797,9.869,11.745,12.627
231.182,6.041,10.15,11.932,12.777
234.02,6.285,10.469,12.12,12.927
236.894,6.529,10.788,12.289,13.077
239.803,6.811,11.107,12.458,13.265
242.748,7.092,11.426,12.608,13.415
245.728,7.392,11.745,12.608,13.583
248.746,7.674,12.345,12.57,13.752
251.8,7.992,12.57,12.57,13.884
254.892,8.293,12.795,12.795,14.015
258.022,8.612,13.039,13.039,14.109
