t_over_tnu,theta=0.000,theta=0.002,theta=0.003,theta=0.004,theta=0.005,theta=0.006
0.5,10.0,,,,9.796,
0.75,10.013,9.885,,,9.796,
1.0,10.013,9.885,,,9.159,
1.25,10.0,9.898,,,9.822,
1.5,10.019,9.885,,9.834,9.771,
1.75,10.025,,9.86,9.822,9.745,
2.0,10.006,,9.866,,9.707,9.293
2.25,9.994,,,9.815,9.65,8.911
2.5,10.013,9.885,,9.777,9.586,8.344
2.75,10.013,9.873,9.783,9.739,9.389,7.72
3.0,10.025,9.86,9.783,9.688,9.134,7.159
3.25,10.0,9.854,9.764,9.567,8.675,6.624
3.5,10.038,9.873,9.732,9.478,8.293,6.115
3.75,9.994,9.841,9.707,9.395,7.885,5.65
4.0,10.006,9.854,9.701,9.299,7.605,5.025
4.25,9.968,9.834,9.682,9.153,7.446,4.446
4.5,9.994,9.847,9.637,9.038,7.331,3.975
4.75,10.057,9.86,9.58,8.917,7.197,3.701
5.0,10.019,9.866,9.573,8.879,6.975,3.389
5.25,10.006,9.841,9.573,8.841,6.732,3.127
5.5,10.0,9.828,9.548,8.777,6.395,2.943
5.75,10.032,9.841,9.58,8.745,6.217,2.847
6.0,10.032,9.86,9.605,8.732,6.064,2.847
6.25,9.987,9.809,9.573,8.701,5.987,2.72
6.5,9.981,9.822,9.541,8.707,5.892,2.554
6.75,10.006,9.841,9.548,8.707,5.866,2.357
7.0,10.032,9.841,9.548,8.739,5.822,2.172
7.25,10.045,9.834,9.573,8.758,5.873,2.038
7.5,10.013,9.834,9.554,8.701,5.885,1.917
7.75,10.013,9.828,9.554,8.713,5.898,1.828
8.0,10.019,9.834,9.567,8.732,5.898,1.764
8.25,10.0,9.841,9.561,8.713,5.898,1.758
8.5,10.0,9.86,9.573,8.72,5.885,1.752
8.75,10.0,9.841,9.573,8.72,5.822,1.739
9.0,9.987,9.815,9.58,8.726,5.815,1.72
9.25,9.994,9.847,9.554,8.694,5.828,1.656
9.5,10.006,9.847,9.548,8.682,5.809,1.605
9.75,10.032,9.86,9.573,8.662,5.815,1.611
10.0,10.013,9.86,9.567,8.707,5.847,1.624
10.25,9.994,9.847,9.554,8.739,5.834,1.529
10.5,10.0,9.834,9.58,8.732,5.834,1.369
10.75,10.0,9.828,9.567,8.752,5.866,1.159
11.0,9.994,9.834,9.567,8.758,5.847,1.134
11.25,10.032,9.854,9.529,8.726,5.834,1.14
11.5,10.025,9.847,9.535,8.701,5.822,1.115
11.75,10.025,9.841,9.561,8.694,5.822,1.006
12.0,10.025,9.854,9.573,8.707,5.834,1.0
12.25,10.019,9.854,9.567,8.72,5.847,1.006
12.5,10.025,9.86,9.567,8.701,5.834,1.013
12.75,10.025,9.86,9.567,8.701,5.828,1.019
