t_over_tnu,theta=0.0020,theta=0.0050,theta=0.0056,theta=0.0058
0.5,,,,0.00067
1.0,,,,0.001366
1.5,,,,0.002551
2.0,,,,0.003701
2.5,,0.005965,0.006036,0.004833
3.0,0.007203,0.006802,0.006708,0.005847
3.5,0.007911,0.00751,0.007362,0.006578
4.0,0.008795,0.008309,0.007928,0.007265
4.5,0.009573,0.009019,0.008524,0.00784
5.0,0.010201,0.009697,0.009087,0.008317
5.5,0.0108,0.010269,0.009573,0.008771
6.0,0.011248,0.010717,0.009986,0.009137
6.5,0.011669,0.011183,0.010405,0.009556
7.0,0.01205,0.011661,0.010894,0.009939
7.5,,0.012129,0.011351,0.010307
8.0,,0.01258,0.011767,0.010646
8.5,,0.013005,0.012209,0.010953
9.0,,0.013441,0.012663,0.011271
9.5,,0.013795,0.013029,0.011519
10.0,0.012946,0.014199,0.013456,0.011829
10.5,0.013135,0.014597,0.013889,0.012132
11.0,0.013226,0.014995,0.014358,0.012404
11.5,0.013312,0.015364,0.014774,0.012628
12.0,0.013376,0.015647,0.015198,0.01281
12.5,0.013465,,0.015635,0.013005
13.0,0.013536,,0.015977,0.013182
13.5,,0.016048,0.016392,0.013385
14.0,,0.016236,0.016826,0.013606
14.5,0.01343,0.016543,0.017242,0.013836
15.0,0.0135,0.016732,0.017651,0.014055
15.5,0.0135,0.016873,0.018005,0.014267
16.0,0.0135,0.017003,0.018409,0.0145
16.5,0.013477,0.017121,0.018795,0.014739
17.0,0.013465,0.017233,0.019152,0.014977
17.5,0.01343,0.017333,0.019515,0.015257
18.0,0.01343,0.017427,0.019842,0.015508
18.5,0.013382,0.017486,0.02014,0.015765
19.0,0.013359,0.017545,0.020387,0.016012
19.5,0.013332,0.017604,0.020682,0.016295
20.0,0.013288,0.017675,0.020989,0.016555
20.5,0.013244,0.017701,0.02123,0.016844
21.0,0.013217,0.017746,0.021496,0.017144
21.5,0.013173,0.017834,0.021761,0.017454
22.0,0.013135,,0.022003,0.017734
22.5,0.013076,,0.022192,0.017993
23.0,0.01304,0.017781,0.022451,0.018312
23.5,0.012993,0.017816,0.022663,0.01863
24.0,0.012934,0.017825,0.022884,0.018931
24.5,0.012899,0.017816,0.023088,0.019243
25.0,0.012864,0.017757,0.023253,0.019491
25.5,0.012802,0.017861,0.023442,0.019815
26.0,0.012746,0.017816,0.02363,0.020128
26.5,0.012695,0.017781,0.023795,0.020443
27.0,0.012639,0.017769,0.023949,0.020776
27.5,0.012589,0.017746,0.024123,0.021098
28.0,0.012533,0.017746,0.024267,0.021437
28.5,0.012486,0.017699,0.024385,0.021708
29.0,0.012439,0.017675,0.024521,0.022044
29.5,0.01238,0.01764,0.024644,0.022368
30.0,0.012333,0.017604,0.024768,0.022699
30.5,0.012297,0.017581,0.02488,0.023041
31.0,0.012218,0.017533,0.024989,0.023353
31.5,0.012156,0.01751,0.025104,0.023677
32.0,0.012121,0.017463,0.025175,0.023949
32.5,0.012068,0.01741,0.025264,0.024273
33.0,0.012003,0.017392,0.025352,0.024574
33.5,0.011961,0.01733,0.02544,0.024892
34.0,0.011908,0.017298,0.0256,0.025211
34.5,0.011861,0.01725,,0.025458
35.0,0.011811,0.017197,,0.025785
35.5,0.011743,0.017168,0.025611,0.026213
36.0,0.011696,0.017109,0.025741,0.026581
36.5,0.011649,0.017062,0.025777,0.026897
37.0,0.011581,0.01702,0.025812,0.027201
37.5,0.011531,0.016967,0.025871,0.02751
38.0,0.011472,0.01692,0.025883,0.027793
38.5,0.011422,0.016861,0.0259,0.028076
39.0,0.011378,0.016826,0.025953,0.028359
39.5,0.011316,0.016755,0.025962,0.028678
40.0,0.01126,0.016684,0.025989,0.028972
40.5,0.011213,0.016673,0.025989,0.02922
41.0,0.011165,0.016614,0.026007,0.029518
41.5,0.011118,0.016555,0.026024,0.029833
42.0,0.011059,0.01649,0.026024,0.030119
42.5,0.011,0.016449,0.026024,0.030423
43.0,0.010953,0.016392,0.026024,0.030712
43.5,0.010906,0.016331,0.026024,0.031001
44.0,0.010859,0.016272,0.026012,0.031237
44.5,0.010812,0.016224,0.026033,0.031534
45.0,0.010753,0.016177,0.026024,0.031791
45.5,0.010714,0.016101,0.025989,0.032047
46.0,0.01067,0.016059,0.025989,0.032357
46.5,0.010608,0.016003,0.025953,0.032596
47.0,0.010552,0.015941,0.025953,0.032852
47.5,0.010529,0.015894,0.02593,0.033076
48.0,0.010458,0.015835,0.0259,0.033303
48.5,0.010434,0.015788,0.025883,0.033583
49.0,0.010387,0.01572,0.025856,0.033816
49.5,0.010316,0.01567,0.025812,0.034055
50.0,0.010293,0.015623,0.025812,0.034291
50.5,0.010246,0.015552,0.025759,0.034515
51.0,0.010175,0.015493,0.025741,0.034774
51.5,0.010139,0.015437,0.025706,0.034833
52.0,0.010104,0.015375,0.02567,0.035046
52.5,0.010042,0.015322,0.025626,0.035284
53.0,0.01001,0.015269,0.0256,0.03547
53.5,0.009962,0.01521,0.025576,0.035682
54.0,0.009918,0.015154,0.02552,0.035904
54.5,0.009892,0.015128,0.02547,0.036107
55.0,0.009821,0.015057,0.025458,0.036302
55.5,0.009786,0.014986,0.025387,0.036532
56.0,0.009741,0.014942,0.025343,0.0367
56.5,0.009679,0.01488,0.025317,0.036897
57.0,0.009668,0.014845,0.025258,0.037062
57.5,0.009609,0.014774,0.025219,0.037239
58.0,0.009562,0.014715,0.025175,0.037428
58.5,0.009538,0.014668,0.025122,0.037593
59.0,0.009479,0.014621,0.025057,0.037782
59.5,0.009467,0.014562,0.025034,0.037923
60.0,0.009396,0.014509,0.024963,0.038088
60.5,0.009385,0.014444,0.024927,0.038253
61.0,0.009326,0.014402,0.024874,0.038415
61.5,0.009267,0.014349,0.024821,0.038572
62.0,0.009237,0.014296,0.024768,0.038725
62.5,0.009184,0.014231,0.024715,0.038866
63.0,0.009161,0.014196,0.024668,0.038996
63.5,0.009113,0.014137,0.024618,0.039141
64.0,0.009078,0.014066,0.024574,0.039291
64.5,0.009043,0.014022,0.024512,0.039424
65.0,0.009007,0.013972,0.024456,0.03955
65.5,0.008972,0.013916,0.024397,0.039689
66.0,0.008925,0.013866,0.024326,0.03981
66.5,0.008901,0.013842,0.024291,0.039928
67.0,0.008875,0.013783,0.024229,0.040043
67.5,0.00883,0.013724,0.024173,0.040175
68.0,0.008795,0.01366,0.024123,0.04029
68.5,0.00876,0.01363,0.024055,0.0404
69.0,0.008701,0.013571,0.024019,0.040494
69.5,0.008689,0.013527,0.023955,0.040609
70.0,0.008618,0.013489,0.023902,0.040706
70.5,0.008609,0.01343,0.02384,0.040803
71.0,0.008547,0.013359,0.023772,0.040907
71.5,0.008547,0.013323,0.023725,0.040998
72.0,0.008488,0.013276,0.023666,0.041107
72.5,0.008477,0.013229,0.023618,0.04119
73.0,0.008441,0.013173,0.023557,0.041255
73.5,0.008406,0.013135,0.023477,0.041343
74.0,0.00837,0.013085,0.023433,0.041423
74.5,0.008335,0.01304,0.023371,0.041496
75.0,0.008291,0.012996,0.023318,0.041573
75.5,0.008264,0.012934,0.023265,0.04165
76.0,0.008241,0.012911,0.023206,0.041673
76.5,0.008194,0.012864,0.023141,0.041706
77.0,0.008182,0.012793,0.023076,0.041732
77.5,0.008123,0.012757,0.023026,0.041767
78.0,0.008111,0.012722,0.02297,
78.5,0.008064,0.012675,0.022911,
79.0,0.008043,0.012634,0.022858,
79.5,0.008017,0.01258,0.022781,
80.0,0.007972,0.012536,0.022725,
80.5,0.007946,0.012498,0.022687,
81.0,0.007911,0.012448,0.022619,
81.5,0.007887,0.012404,0.022557,
82.0,0.00784,0.012368,0.022498,
82.5,0.00784,0.012324,0.022451,
83.0,0.007781,0.012286,0.022392,
83.5,0.007769,0.012227,0.022336,
84.0,0.007745,0.01218,0.022274,
84.5,0.007698,0.012156,0.022221,
85.0,0.007687,0.012085,0.022144,0.042581
85.5,0.007639,0.012073,0.022109,0.042581
86.0,0.007628,0.012014,0.022044,0.042625
86.5,0.007592,0.011979,0.021979,0.042652
87.0,0.007557,0.011944,0.02192,0.042652
87.5,0.007545,0.011897,0.021861,0.042687
88.0,0.00751,0.011873,0.021826,0.042723
88.5,0.007486,0.01182,0.021761,0.042723
89.0,0.007474,0.011802,0.021708,0.042758
89.5,0.007424,0.011731,0.021646,0.042758
90.0,0.007415,0.01172,0.021578,0.042782
90.5,0.007371,0.011661,0.021522,0.042793
91.0,0.007345,0.011613,0.021472,0.042793
91.5,0.007321,0.01159,0.021425,0.042829
92.0,0.007283,0.011546,0.021363,0.042838
92.5,0.007274,0.011519,0.021307,0.0429
93.0,0.00723,0.011475,0.021248,0.042829
93.5,0.007203,0.011448,0.021201,0.042864
94.0,0.007185,0.011378,0.021142,0.042864
94.5,0.007156,0.011366,0.021071,0.042864
95.0,0.007132,0.011307,0.021048,0.042864
95.5,0.007115,0.011298,0.020992,0.042864
96.0,0.007085,0.011236,0.02093,0.042864
96.5,0.007061,0.01121,0.020868,0.042891
97.0,0.007026,0.011165,0.020812,0.042864
97.5,0.007003,0.011154,0.020776,0.042864
98.0,0.006991,0.011095,0.020709,0.042864
98.5,0.006979,0.011083,0.020659,0.042841
99.0,0.00692,0.011024,0.020594,0.042829
99.5,0.00692,0.011012,0.020552,0.042829
100.0,0.006885,0.010953,0.020505,0.042811
100.5,0.006861,0.01093,0.020434,0.042793
101.0,0.006849,0.010882,0.020399,0.042793
101.5,0.006832,0.010865,0.020346,0.042776
102.0,0.006778,0.010812,0.020293,0.042758
102.5,0.006778,0.010776,0.020222,0.042749
103.0,0.006767,0.010741,0.020175,0.042723
103.5,0.006734,0.010732,0.020125,0.042723
104.0,0.006708,0.01067,0.020081,0.042711
104.5,0.006672,0.01067,0.020022,0.042652
105.0,0.006655,0.010599,0.019975,0.042652
105.5,0.006637,0.010599,0.019927,0.042652
106.0,0.006628,0.010529,0.019868,0.042608
106.5,0.006602,0.010517,0.019809,0.042581
107.0,0.006566,0.01047,0.019762,0.042581
107.5,0.006566,0.010458,0.019727,0.042546
108.0,0.006531,0.010411,0.019656,0.04251
108.5,0.006504,0.010387,0.019612,0.04251
109.0,0.006495,0.010363,0.019585,0.042463
109.5,0.006478,0.010325,0.019515,0.04244
110.0,0.006436,0.010304,0.019467,0.042416
110.5,0.006425,0.010246,0.01942,0.042369
111.0,0.006416,0.010237,0.019373,0.042369
111.5,0.006366,0.010187,0.019302,0.042345
112.0,0.006354,0.010175,0.019267,0.042298
112.5,0.006354,0.010151,0.019232,0.042275
113.0,0.006336,0.010104,0.01917,0.042236
113.5,0.006283,0.01008,0.019125,0.042227
114.0,0.006283,0.010033,0.019078,0.042192
114.5,0.006265,0.010016,0.019019,0.042165
115.0,0.006248,0.009974,0.018984,0.042145
115.5,0.006221,0.009962,0.01894,0.042095
116.0,0.006212,0.009939,0.018878,0.042074
116.5,0.006212,0.009892,0.018831,0.042015
117.0,0.006159,0.009883,0.018789,0.041997
117.5,0.006142,0.009821,0.018736,0.041944
118.0,0.006133,0.009821,0.018701,0.041944
118.5,0.006106,0.009809,0.018654,0.041885
119.0,0.006089,0.009759,0.018595,0.041856
119.5,0.006071,0.009738,0.018536,0.041803
120.0,0.006047,0.009691,0.018524,0.041803
120.5,0.006036,0.009679,0.018462,0.041732
