t_over_tnu,theta=0.0020,theta=0.0050,theta=0.0056,theta=0.0058
0.5,,,,9.968
0.75,,10.095,,9.952
1.0,,10.085,,9.889
1.25,,10.042,,9.841
1.5,,9.979,,9.761
1.75,,9.947,9.883,9.639
2.0,,9.915,9.851,9.432
2.25,10.0,9.825,9.634,9.103
2.5,9.958,9.745,9.438,8.716
2.75,9.936,9.645,9.321,8.292
3.0,9.931,9.379,8.881,7.878
3.25,9.92,8.928,8.101,7.146
3.5,9.926,8.408,7.549,6.371
3.75,9.926,8.196,7.082,5.947
4.0,9.883,7.958,6.621,5.416
4.25,9.862,7.586,5.905,4.854
4.5,9.857,7.464,5.645,4.334
4.75,9.862,7.22,5.475,4.0
5.0,9.883,7.019,5.416,3.825
5.25,9.873,6.897,5.199,3.576
5.5,9.851,6.684,4.907,3.332
5.75,9.83,6.499,4.668,3.204
6.0,9.862,6.366,4.451,3.066
6.25,9.862,6.35,4.154,2.976
6.5,9.851,6.313,4.106,2.912
6.75,9.857,6.244,3.931,2.753
7.0,9.851,6.175,3.772,2.653
7.25,9.851,6.106,3.698,2.584
7.5,9.851,6.133,3.618,2.424
7.75,9.841,6.149,3.56,2.292
8.0,9.841,6.149,3.496,2.138
8.25,9.873,6.122,3.512,1.958
8.5,9.873,6.138,3.507,1.905
8.75,9.841,6.138,3.454,1.782
9.0,9.836,6.138,3.374,1.682
9.25,9.846,6.143,3.342,1.623
9.5,9.851,6.154,3.321,1.613
9.75,9.841,6.17,3.316,1.618
10.0,9.836,6.164,3.289,1.639
10.25,9.836,6.159,3.294,1.629
10.5,9.83,6.143,3.326,1.576
10.75,9.841,6.138,3.279,1.469
11.0,9.873,6.138,3.263,1.438
11.25,9.873,6.117,3.183,1.225
11.5,9.867,6.122,3.151,1.098
11.75,9.857,6.138,3.156,1.003
12.0,9.851,6.138,3.156,0.96
12.25,9.83,6.127,3.146,0.96
12.5,9.836,6.122,3.098,0.992
12.75,9.846,6.117,3.103,0.992
13.0,9.867,6.122,3.119,1.008
13.25,9.857,6.122,3.13,0.997
13.5,9.841,6.159,3.125,0.981
13.75,9.82,6.159,3.125,0.96
14.0,9.836,6.133,3.13,0.971
14.25,9.867,6.133,3.141,0.971
14.5,9.883,6.138,3.135,0.96
14.75,9.83,6.159,3.172,0.95
15.0,9.82,6.18,3.178,0.971
15.25,9.836,6.17,3.162,0.971
15.5,9.862,6.138,3.135,0.971
15.75,9.873,6.127,3.103,0.928
16.0,9.862,6.127,3.103,0.934
16.25,9.867,6.138,3.109,0.934
16.5,9.862,6.143,3.13,0.939
16.75,9.857,6.138,3.13,0.95
17.0,9.851,6.117,3.114,0.939
17.25,9.846,6.133,3.109,0.955
17.5,9.883,6.149,3.034,0.944
17.75,9.851,6.164,2.96,0.944
18.0,9.841,6.143,2.838,0.944
18.25,9.862,6.127,2.806,0.939
18.5,9.867,6.133,2.801,0.939
18.75,9.825,6.138,2.806,0.934
19.0,9.836,6.117,2.828,0.918
19.25,9.851,6.101,2.833,0.923
19.5,9.851,6.106,2.828,0.928
19.75,9.846,6.127,2.833,0.928
20.0,9.862,6.159,2.844,0.928
20.25,9.873,6.149,2.817,0.939
20.5,9.873,6.149,2.806,0.928
20.75,9.878,6.149,2.801,0.95
21.0,9.851,6.127,2.801,0.934
21.25,9.825,6.133,2.828,0.918
21.5,9.825,6.149,2.849,0.934
21.75,9.841,6.149,2.838,0.96
22.0,9.836,6.149,2.828,0.955
22.25,9.867,6.191,2.817,0.912
22.5,9.857,6.17,2.822,0.912
22.75,9.851,6.106,2.859,0.944
23.0,9.862,6.095,2.859,0.95
23.25,9.857,6.101,2.87,0.95
23.5,9.846,6.117,2.833,0.96
23.75,9.841,6.138,2.812,0.971
24.0,9.846,6.17,2.828,0.95
24.25,9.851,6.17,2.828,0.95
24.5,9.846,6.133,2.865,0.955
24.75,9.851,6.117,2.838,0.95
25.0,9.862,6.122,2.828,0.912
25.25,9.841,6.127,2.817,0.897
25.5,9.841,6.117,2.817,0.875
25.75,9.851,6.133,2.817,0.939
26.0,9.851,6.143,2.828,0.939
26.25,9.846,6.138,2.828,0.939
26.5,9.851,6.09,2.817,0.939
26.75,9.841,6.074,2.838,0.939
27.0,9.841,6.032,2.822,0.944
27.25,9.873,6.011,2.822,0.955
27.5,9.857,6.011,2.828,0.95
27.75,9.851,6.021,2.828,0.95
28.0,9.862,6.016,2.812,0.966
28.25,9.867,6.011,2.828,0.96
28.5,9.851,6.032,2.785,0.955
28.75,9.862,6.021,2.796,0.939
29.0,9.873,6.021,2.817,0.939
29.25,9.867,6.027,2.817,0.944
29.5,9.878,6.037,2.833,0.955
29.75,9.878,6.074,2.865,0.95
30.0,9.841,6.09,2.844,0.928
30.25,9.841,6.095,2.817,0.928
30.5,9.841,6.08,2.828,0.944
30.75,9.873,6.032,2.812,0.939
31.0,9.862,6.0,2.828,0.928
31.25,9.867,6.011,2.828,0.934
31.5,9.841,6.021,2.817,0.95
31.75,9.841,6.042,2.828,0.939
32.0,9.841,6.021,2.838,0.902
32.25,9.862,6.021,2.828,0.891
32.5,9.883,6.037,2.796,0.897
32.75,9.883,6.032,2.796,0.897
33.0,9.857,6.0,2.812,0.897
33.25,9.873,6.0,2.817,0.881
33.5,9.867,6.011,2.812,0.918
33.75,9.857,6.064,2.812,0.918
34.0,9.883,6.095,2.828,0.928
34.25,9.862,6.095,2.817,0.912
34.5,9.862,6.08,2.801,0.87
34.75,9.82,6.085,2.822,0.875
35.0,9.841,6.085,2.828,0.897
35.25,9.857,6.053,2.833,0.897
35.5,9.873,6.064,2.828,0.912
35.75,9.867,6.064,2.817,0.87
36.0,9.878,6.005,2.854,0.881
36.25,9.862,6.0,2.859,0.886
36.5,9.878,6.021,2.859,0.907
36.75,9.873,6.032,2.828,0.912
37.0,9.846,6.053,2.822,0.886
37.25,9.857,6.085,2.806,0.886
37.5,9.862,6.074,2.796,0.875
37.75,9.873,6.032,2.806,0.875
38.0,9.857,5.984,2.844,0.875
38.25,9.83,6.048,2.812,0.87
38.5,9.851,6.064,2.806,0.838
38.75,9.841,6.064,2.87,0.865
39.0,9.836,6.042,2.881,0.859
39.25,9.841,6.0,2.891,0.865
39.5,9.851,5.989,2.881,0.854
39.75,9.851,6.0,2.833,0.875
40.0,9.851,6.0,2.828,0.865
40.25,9.851,6.032,2.865,0.87
40.5,9.846,6.032,2.849,0.865
40.75,9.846,6.005,2.87,0.87
41.0,9.862,6.0,2.891,0.854
41.25,9.841,6.0,2.891,0.87
41.5,9.836,6.069,2.881,0.897
41.75,9.846,6.08,2.886,0.902
42.0,9.841,6.058,2.87,0.891
42.25,9.83,6.011,2.87,0.854
42.5,9.846,6.011,2.844,0.859
42.75,9.851,6.011,2.833,0.881
43.0,9.846,6.042,2.801,0.891
