t_over_tnu,Db=0.005,Db=0.010,Db=0.020,Db=0.050,Db=0.100
0.5,,,,,0.000906
1.0,,,,,0.001542
1.5,,,,,0.002675
2.0,,,,,0.003842
2.5,,,,0.003559,0.004903
3.0,,,,,0.005859
3.5,,,0.006,0.006319,0.006837
4.0,,,0.006549,,0.007504
4.5,,,0.007274,0.00738,0.008123
5.0,,0.007645,0.00784,0.008087,0.008636
5.5,,,0.008347,0.008536,0.009172
6.0,,0.008512,0.008777,0.009078,0.009626
6.5,,0.008937,0.009196,0.009444,0.010069
7.0,,0.00955,0.009738,0.009962,0.010576
7.5,,0.009998,0.010139,0.010405,0.010988
8.0,,0.010281,0.010505,0.010741,0.011366
8.5,0.010564,0.01067,0.010918,0.011183,0.011731
9.0,0.010918,0.010977,0.011213,0.011531,0.012073
9.5,0.01113,0.011271,0.011555,0.01182,0.012439
10.0,0.011413,0.01159,0.011849,0.012168,0.012781
10.5,0.011838,0.011908,0.012191,0.012492,0.013093
11.0,0.012026,0.012227,0.01251,0.012828,0.013453
11.5,0.012392,0.012651,0.012922,0.013241,0.013831
12.0,0.012687,0.012917,0.013235,0.013571,0.01419
12.5,0.013017,0.013241,0.013571,0.013913,0.014526
13.0,0.013323,0.013553,0.013889,0.014243,0.014862
13.5,0.01363,0.013889,0.014243,0.014609,0.015198
14.0,0.013925,0.01419,0.014544,0.014933,0.015517
14.5,0.014208,0.014479,0.014856,0.015246,0.015812
15.0,0.014526,0.014798,0.015175,0.015588,0.016142
15.5,0.014792,0.015075,0.015464,0.015853,0.016437
16.0,0.015022,0.015316,0.015717,0.01613,0.01672
16.5,0.015269,0.01557,0.015994,0.016419,0.017003
17.0,0.015529,0.015835,0.01626,0.016696,0.01725
17.5,0.0158,0.016101,0.016543,0.016967,0.017551
18.0,0.016048,0.016378,0.016802,0.017239,0.017828
18.5,0.016366,0.016708,0.017144,0.017569,0.018206
19.0,0.016631,0.016967,0.01741,0.017887,0.018489
19.5,0.016908,0.01725,0.01771,0.018158,0.018783
20.0,0.01718,0.017533,0.017993,0.018453,0.01909
20.5,0.017463,0.01784,0.0183,0.018783,0.019397
21.0,0.017763,0.018117,0.018612,0.01909,0.019709
21.5,0.018041,0.018406,0.018913,0.019385,0.020045
22.0,0.018383,0.018795,0.019267,0.019762,0.020399
22.5,0.018666,0.01909,0.019603,0.020081,0.020735
23.0,0.018972,0.019385,0.019904,0.020399,0.021083
23.5,0.019285,0.019709,0.020204,0.020717,0.02139
24.0,0.019585,0.02001,0.020529,0.021048,0.021708
24.5,0.019921,0.020346,0.020859,0.021407,0.022044
25.0,0.020187,0.020623,0.021189,0.021696,0.02238
25.5,0.020576,0.021024,0.021567,0.022121,0.022781
26.0,0.020859,0.021354,0.02192,0.022451,0.023123
26.5,0.021189,0.021673,0.022239,0.022793,0.023453
27.0,0.021478,0.021973,0.022557,0.023088,0.023742
27.5,0.021814,0.022286,0.022887,0.023442,0.024114
28.0,0.022133,0.022628,0.023212,0.023795,0.024485
28.5,0.022439,0.022958,0.02356,0.024161,0.024821
29.0,0.022769,0.023282,0.023884,0.024468,0.025157
29.5,0.023088,0.023607,0.02422,0.02481,0.025494
30.0,0.023477,0.023984,0.024633,0.025222,0.025894
30.5,0.02376,0.024308,0.024963,0.025564,0.026254
31.0,0.02409,0.024633,0.025293,0.025859,0.026578
31.5,0.024397,0.024963,0.025635,0.026219,0.026891
32.0,0.024703,0.025281,0.02593,0.026543,0.027251
32.5,0.025034,0.025582,0.026254,0.026873,0.027563
33.0,0.02534,0.025918,0.026602,0.027227,0.027923
33.5,0.025718,0.026307,0.026979,0.027616,0.028312
34.0,0.026042,0.026643,0.027333,0.027935,0.028642
34.5,0.026343,0.026944,0.02764,0.028265,0.028961
35.0,0.026626,0.027262,0.02797,0.028607,0.029297
35.5,0.026956,0.027593,0.028288,0.028925,0.029609
36.0,0.027262,0.027899,0.028589,0.029244,0.029951
36.5,0.027581,0.028194,0.028902,0.029574,0.03027
37.0,0.027946,0.02856,0.029279,0.029939,0.030635
37.5,0.028235,0.028872,0.02958,0.030287,0.030959
38.0,0.028524,0.029149,0.02988,0.030576,0.031237
38.5,0.028784,0.029421,0.030128,0.030836,0.03149
