t_over_tnu,Dr=0.0005,Dr=0.0010,Dr=0.0050,Dr=0.0200
0.5,,,,0.019632
1.0,,0.002399,0.009798,0.034308
1.5,,0.004651,0.020597,0.056167
2.0,,0.006918,0.02913,0.073217
2.5,,0.009017,0.036544,0.085671
3.0,0.005754,0.010717,0.042518,0.094479
3.5,0.006458,0.012463,0.048125,0.101526
4.0,0.007086,0.013658,0.051526,0.105156
4.5,0.007745,0.0147,0.054436,0.107776
5.0,0.008143,0.015634,0.056765,0.109752
5.5,0.008634,0.016385,0.058664,0.110962
6.0,0.009062,0.017105,0.060257,0.111774
6.5,0.009491,0.017825,0.061667,0.112371
7.0,0.00992,0.018621,0.063107,0.112862
7.5,0.010257,0.019265,0.06421,0.113015
8.0,0.010594,0.019816,0.065129,0.113137
8.5,0.010947,0.020368,0.06591,0.113199
9.0,0.011207,0.020827,0.06663,0.113137
9.5,0.011544,0.021287,0.067289,0.113107
10.0,0.01182,0.021838,0.067917,0.112953
10.5,0.012096,0.02239,0.068575,0.113199
11.0,0.012433,0.022849,0.069142,0.112892
11.5,0.01277,0.023401,0.069755,0.112739
12.0,0.013107,0.02386,0.070184,0.112555
12.5,0.013382,0.02435,0.070705,0.112463
13.0,0.013704,0.024779,0.071195,0.112279
13.5,0.013964,0.02527,0.071562,0.112157
14.0,0.014256,0.025607,0.07193,0.112004
14.5,0.014516,0.026097,0.072359,0.111881
15.0,0.014853,0.026587,0.072727,0.111728
15.5,0.015083,0.026939,0.072987,0.11159
16.0,0.015312,0.027322,0.073248,0.111391
16.5,0.015588,0.027629,0.073493,0.111176
17.0,0.015803,0.028058,0.073768,0.111085
17.5,0.016094,0.028364,0.073998,0.110901
18.0,0.016354,0.028824,0.074228,0.110717
18.5,0.016661,0.029191,0.074534,0.110564
19.0,0.016967,0.029651,0.074779,0.110441
19.5,0.017212,0.029988,0.075055,0.110227
20.0,0.017426,0.030386,0.075239,0.110074
20.5,0.017763,0.030784,0.075453,0.109951
21.0,0.018024,0.031121,0.075699,0.109706
21.5,0.018315,0.03155,0.075882,0.109583
22.0,0.018683,0.03201,0.076127,0.109369
22.5,0.018943,0.032408,0.076342,0.109246
23.0,0.019265,0.032868,0.076495,0.109032
23.5,0.01954,0.033189,0.076664,0.108879
24.0,0.019847,0.033603,0.076863,0.108695
24.5,0.020184,0.033971,0.077031,0.108511
25.0,0.02046,0.034369,0.0772,0.108358
25.5,0.020827,0.03489,0.077384,0.108113
26.0,0.021103,0.035211,0.077537,0.10796
26.5,0.021409,0.035625,0.07769,0.107745
27.0,0.021746,0.036039,0.077812,0.107546
27.5,0.022053,0.036391,0.077935,0.107377
28.0,0.02239,0.03682,0.078042,0.107178
28.5,0.022665,0.037157,0.07818,0.10701
29.0,0.022987,0.037555,0.078318,0.106765
29.5,0.023309,0.037953,0.078395,0.106581
30.0,0.023676,0.038382,0.078548,0.106366
30.5,0.023998,0.03875,0.078594,0.106167
31.0,0.024289,0.039118,0.078732,0.105968
31.5,0.024596,0.039439,0.078778,0.1058
32.0,0.024933,0.039853,0.078915,0.1056
32.5,0.025193,0.040129,0.078915,0.105432
33.0,0.025545,0.040558,0.079038,0.105202
33.5,0.025944,0.040956,0.079099,0.104988
34.0,0.02625,0.041324,0.079099,0.104743
34.5,0.026495,0.04163,0.079191,0.104559
35.0,0.026847,0.041967,0.079283,0.104375
35.5,0.027138,0.042304,0.079283,0.104161
36.0,0.027445,0.042656,0.079283,0.103961
36.5,0.027751,0.042947,0.079344,0.103732
37.0,0.028088,0.043315,0.079375,0.103456
37.5,0.028364,0.043621,0.079375,0.103318
38.0,0.02864,0.043897,0.079375,0.10315
38.5,0.028869,0.044127,0.079375,0.102904
39.0,0.029099,0.044357,0.079528,0.102751
39.5,0.029329,0.044586,0.079421,0.102537
40.0,0.029559,0.044877,0.079375,0.102384
40.5,0.029835,0.045092,0.079314,0.102169
