pressure_bar,time_s,discharge_ml_s
3,2.4,0.0
3,2.8,1.0
3,3.2,3.0
3,3.6,6.5
3,4.0,10.5
3,4.3,13.0
3,4.6,14.0
3,4.9,13.8
3,5.2,13.0
3,5.5,12.3
3,5.8,10.5
3,6.1,8.5
3,6.5,6.5
3,7.0,4.8
3,7.5,4.0
3,8.0,3.8
3,8.5,3.8
3,9.0,3.7
3,9.5,3.6
3,10.0,3.4
3,10.5,2.8
3,11.0,1.8
3,11.5,1.0
3,12.0,0.7
3,12.5,0.6
5,2.4,0.0
5,2.7,2.0
5,3.0,6.0
5,3.3,11.0
5,3.6,16.5
5,3.8,19.5
5,3.9,20.5
5,4.1,20.0
5,4.3,18.5
5,4.6,16.0
5,4.9,13.0
5,5.2,11.0
5,5.5,9.5
5,6.0,8.0
5,6.5,6.5
5,7.0,5.0
5,7.5,4.0
5,8.0,3.2
5,8.5,2.5
5,9.0,1.9
5,9.5,1.4
5,10.0,1.0
5,10.5,0.7
5,11.0,0.5
5,11.5,0.4
5,12.0,0.3
7,2.4,0.0
7,2.6,3.0
7,2.8,8.0
7,3.0,13.0
7,3.2,16.0
7,3.3,16.5
7,3.5,15.5
7,3.8,13.0
7,4.1,10.0
7,4.4,7.5
7,4.7,6.0
7,5.0,5.3
7,5.4,4.9
7,5.7,4.8
7,6.0,4.2
7,6.5,3.8
7,7.0,3.5
7,7.5,3.4
7,8.0,3.5
