time_s,discharge_ml_s,segment
2.4,0.0,1
2.8,0.5,1
3.2,1.5,1
3.5,3.0,1
3.8,6.0,1
4.0,10.0,1
4.1,13.5,1
4.2,16.7,1
4.3,16.9,1
4.5,17.2,1
4.7,17.3,1
4.9,17.0,1
5.1,16.0,1
5.3,13.5,1
5.5,10.5,1
5.7,8.5,1
6.0,7.0,1
6.3,6.2,1
6.7,5.4,1
7.0,4.9,1
7.5,4.2,1
8.0,3.7,1
8.3,3.4,1
8.5,2.9,1
9.0,2.6,1
9.5,2.5,1
10.0,2.3,1
10.3,1.8,1
10.5,1.0,1
10.6,0.0,1
11.0,0.0,2
11.1,2.5,2
11.3,3.2,2
11.6,3.4,2
12.0,3.4,2
12.5,3.3,2
13.0,3.1,2
13.5,2.9,2
14.0,2.95,2
14.5,3.05,2
14.8,2.9,2
14.9,1.0,2
15.0,0.0,2
15.5,0.0,3
15.55,3.7,3
15.8,4.5,3
16.0,5.5,3
16.3,7.5,3
16.6,10.0,3
16.9,12.5,3
17.2,13.8,3
17.5,14.3,3
17.7,14.4,3
17.9,14.3,3
18.2,13.5,3
18.5,11.5,3
18.8,9.0,3
19.1,7.0,3
19.4,5.5,3
19.7,4.5,3
20.0,4.0,3
20.5,3.6,3
21.0,3.3,3
21.5,3.1,3
22.0,3.0,3
22.3,2.9,3
22.6,2.5,3
23.0,2.0,3
23.5,1.6,3
24.0,1.3,3
24.5,1.0,3
25.0,0.8,3
25.5,0.6,3
26.0,0.5,3
