series,p0,q
beta1,0.00,0.000
beta1,0.05,0.040
beta1,0.10,0.080
beta1,0.15,0.125
beta1,0.20,0.165
beta1,0.25,0.205
beta1,0.28,0.225
beta1,0.31,0.235
beta1,0.34,0.228
beta1,0.37,0.213
beta1,0.40,0.198
beta1,0.43,0.190
beta1,0.46,0.183
beta1,0.50,0.178
beta1,0.55,0.175
beta1,0.60,0.173
beta2,0.00,0.000
beta2,0.05,0.040
beta2,0.10,0.078
beta2,0.15,0.118
beta2,0.18,0.140
beta2,0.21,0.153
beta2,0.23,0.150
beta2,0.25,0.140
beta2,0.28,0.132
beta2,0.31,0.127
beta2,0.35,0.121
beta2,0.40,0.117
beta2,0.45,0.114
beta2,0.50,0.116
beta2,0.55,0.119
beta2,0.60,0.121
