series,q,beta
beta1,0.00,1.000
beta1,0.05,0.985
beta1,0.10,0.965
beta1,0.15,0.940
beta1,0.20,0.915
beta1,0.25,0.890
beta1,0.28,0.875
beta1,0.30,0.860
beta1,0.31,0.800
beta1,0.32,0.680
beta1,0.33,0.500
beta1,0.34,0.330
beta1,0.35,0.200
beta1,0.36,0.110
beta1,0.37,0.060
beta1,0.38,0.030
beta1,0.40,0.010
beta1,0.42,0.000
beta2,0.00,1.000
beta2,0.05,0.975
beta2,0.10,0.945
beta2,0.15,0.905
beta2,0.18,0.880
beta2,0.20,0.860
beta2,0.21,0.790
beta2,0.22,0.660
beta2,0.23,0.480
beta2,0.24,0.310
beta2,0.25,0.180
beta2,0.26,0.100
beta2,0.27,0.050
beta2,0.28,0.020
beta2,0.30,0.000
