t_s,s_fit_mm,w_fit_mm,H_fit_mm,s_data_mm,s_data_err_mm,w_data_mm,w_data_err_mm,H_data_mm,H_data_err_mm
0.8,0.024,0.008,0.0,,,,,,
0.82,0.143,0.046,0.0,,,,,,
0.84,0.242,0.084,0.006,,,,,,
0.86,0.312,0.123,0.022,,,,,,
0.88,0.369,0.161,0.042,,,,,,
0.9,0.419,0.199,0.064,,,,,,
0.92,0.465,0.238,0.088,,,,,,
0.94,0.506,0.276,0.113,,,,,,
0.96,0.545,0.314,0.139,,,,,,
0.98,0.582,0.353,0.165,,,,,,
1.0,0.617,0.391,0.192,2.005,0.13,1.2,0.086,0.57,0.093
1.02,0.65,0.429,0.22,,,,,,
1.04,0.682,0.467,0.248,,,,,,
1.06,0.714,0.506,0.276,,,,,,
1.08,0.744,0.544,0.304,,,,,,
1.1,0.773,0.582,0.333,,,,,,
1.12,0.802,0.62,0.362,,,,,,
1.14,0.83,0.659,0.391,,,,,,
1.16,0.858,0.697,0.421,,,,,,
1.18,0.885,0.735,0.45,,,,,,
1.2,0.911,0.773,0.48,,,,,,
1.22,0.938,0.812,0.51,,,,,,
1.24,0.963,0.85,0.54,,,,,,
1.26,0.989,0.888,0.57,,,,,,
1.28,1.014,0.926,0.6,,,,,,
1.3,1.039,0.964,0.63,,,,,,
1.32,1.063,1.003,0.66,,,,,,
1.34,1.087,1.041,0.691,,,,,,
1.36,1.112,1.079,0.721,,,,,,
1.38,1.135,1.117,0.751,,,,,,
1.4,1.159,1.155,0.782,,,,,,
1.42,1.183,1.193,0.812,,,,,,
1.44,1.206,1.231,0.843,,,,,,
1.46,1.229,1.27,0.874,,,,,,
1.48,1.252,1.308,0.904,,,,,,
1.5,1.275,1.346,0.935,,,,,,
1.52,1.298,1.384,0.966,,,,,,
1.54,1.321,1.422,0.997,,,,,,
1.56,1.343,1.46,1.027,,,,,,
1.58,1.366,1.498,1.058,,,,,,
1.6,1.388,1.536,1.089,,,,,,
1.62,1.41,1.574,1.12,,,,,,
1.64,1.433,1.612,1.151,,,,,,
1.66,1.455,1.65,1.182,,,,,,
1.68,1.477,1.688,1.213,,,,,,
1.7,1.499,1.726,1.243,,,,,,
1.72,1.521,1.764,1.274,,,,,,
1.74,1.543,1.802,1.305,,,,,,
1.76,1.565,1.84,1.336,,,,,,
1.78,1.587,1.878,1.367,,,,,,
1.8,1.609,1.916,1.398,,,,,,
1.82,1.631,1.954,1.429,,,,,,
1.84,1.652,1.992,1.46,,,,,,
1.86,1.674,2.03,1.491,,,,,,
1.88,1.696,2.068,1.522,,,,,,
1.9,1.718,2.106,1.553,,,,,,
1.92,1.739,2.144,1.584,,,,,,
1.94,1.761,2.181,1.614,,,,,,
1.96,1.783,2.219,1.645,,,,,,
1.98,1.804,2.257,1.676,,,,,,
2.0,1.826,2.295,1.707,1.623,1.146,1.761,0.2,0.994,0.155
2.02,1.848,2.333,1.738,,,,,,
2.04,1.87,2.371,1.769,,,,,,
2.06,1.891,2.409,1.8,,,,,,
2.08,1.913,2.446,1.83,,,,,,
2.1,1.935,2.484,1.861,,,,,,
2.12,1.956,2.522,1.892,,,,,,
2.14,1.978,2.56,1.923,,,,,,
2.16,2.0,2.597,1.953,,,,,,
2.18,2.022,2.635,1.984,,,,,,
2.2,2.043,2.673,2.015,,,,,,
2.22,2.065,2.711,2.046,,,,,,
2.24,2.087,2.748,2.076,,,,,,
2.26,2.109,2.786,2.107,,,,,,
2.28,2.131,2.824,2.138,,,,,,
2.3,2.153,2.861,2.168,,,,,,
2.32,2.175,2.899,2.199,,,,,,
2.34,2.197,2.937,2.229,,,,,,
2.36,2.219,2.974,2.26,,,,,,
2.38,2.241,3.012,2.29,,,,,,
2.4,2.263,3.049,2.321,,,,,,
2.42,2.285,3.087,2.351,,,,,,
2.44,2.307,3.125,2.382,,,,,,
2.46,2.329,3.162,2.412,,,,,,
2.48,2.352,3.2,2.442,,,,,,
2.5,2.374,3.237,2.473,,,,,,
2.52,2.396,3.275,2.503,,,,,,
2.54,2.419,3.312,2.533,,,,,,
2.56,2.441,3.35,2.564,,,,,,
2.58,2.464,3.387,2.594,,,,,,
2.6,2.486,3.425,2.624,,,,,,
2.62,2.509,3.462,2.654,,,,,,
2.64,2.531,3.5,2.684,,,,,,
2.66,2.554,3.537,2.714,,,,,,
2.68,2.577,3.574,2.745,,,,,,
2.7,2.6,3.612,2.775,,,,,,
2.72,2.623,3.649,2.805,,,,,,
2.74,2.646,3.686,2.835,,,,,,
2.76,2.669,3.724,2.864,,,,,,
2.78,2.692,3.761,2.894,,,,,,
2.8,2.715,3.798,2.924,,,,,,
2.82,2.738,3.836,2.954,,,,,,
2.84,2.761,3.873,2.984,,,,,,
2.86,2.784,3.91,3.013,,,,,,
2.88,2.808,3.947,3.043,,,,,,
2.9,2.831,3.984,3.073,,,,,,
2.92,2.855,4.022,3.102,,,,,,
2.94,2.878,4.059,3.132,,,,,,
2.96,2.902,4.096,3.161,,,,,,
2.98,2.926,4.133,3.191,,,,,,
