t_s,Q_norm,p_h_norm
0.8,0.99177,0.08282
0.82,0.99177,0.08282
0.84,0.66452,0.08288
0.86,0.5195,0.08305
0.88,0.44302,0.08327
0.9,0.39431,0.0835
0.92,0.36003,0.08376
0.94,0.33436,0.08403
0.96,0.31431,0.08432
0.98,0.29815,0.08461
1.0,0.28481,0.08491
1.02,0.27361,0.08522
1.04,0.26405,0.08553
1.06,0.2558,0.08585
1.08,0.24861,0.08618
1.1,0.24229,0.08651
1.12,0.23668,0.08685
1.14,0.23169,0.08719
1.16,0.22721,0.08754
1.18,0.22318,0.08789
1.2,0.21953,0.08825
1.22,0.21622,0.08861
1.24,0.21321,0.08897
1.26,0.21046,0.08934
1.28,0.20794,0.08971
1.3,0.20564,0.09009
1.32,0.20352,0.09047
1.34,0.20156,0.09086
1.36,0.19976,0.09125
1.38,0.1981,0.09164
1.4,0.19657,0.09204
1.42,0.19515,0.09245
1.44,0.19384,0.09285
1.46,0.19263,0.09326
1.48,0.19151,0.09368
1.5,0.19047,0.0941
1.52,0.18951,0.09452
1.54,0.18862,0.09495
1.56,0.1878,0.09538
1.58,0.18704,0.09582
1.6,0.18634,0.09626
1.62,0.1857,0.0967
1.64,0.18511,0.09715
1.66,0.18456,0.0976
1.68,0.18407,0.09806
1.7,0.18361,0.09852
1.72,0.1832,0.09899
1.74,0.18282,0.09946
1.76,0.18249,0.09994
1.78,0.18218,0.10042
1.8,0.18191,0.1009
1.82,0.18168,0.10139
1.84,0.18147,0.10189
1.86,0.18129,0.10238
1.88,0.18114,0.10289
1.9,0.18101,0.1034
1.92,0.18091,0.10391
1.94,0.18084,0.10443
1.96,0.18079,0.10495
1.98,0.18076,0.10548
2.0,0.18075,0.10602
2.02,0.18076,0.10656
2.04,0.1808,0.1071
2.06,0.18085,0.10765
2.08,0.18092,0.10821
2.1,0.18101,0.10877
2.12,0.18112,0.10934
2.14,0.18124,0.10991
2.16,0.18139,0.11049
2.18,0.18154,0.11107
2.2,0.18172,0.11166
2.22,0.18191,0.11225
2.24,0.18211,0.11286
2.26,0.18233,0.11346
2.28,0.18256,0.11408
2.3,0.18281,0.1147
2.32,0.18307,0.11532
2.34,0.18334,0.11596
2.36,0.18363,0.11659
2.38,0.18393,0.11724
2.4,0.18424,0.11789
2.42,0.18456,0.11855
2.44,0.1849,0.11922
2.46,0.18525,0.11989
2.48,0.18561,0.12057
2.5,0.18598,0.12126
2.52,0.18636,0.12195
2.54,0.18676,0.12265
2.56,0.18716,0.12336
2.58,0.18758,0.12408
2.6,0.18801,0.1248
2.62,0.18845,0.12553
2.64,0.1889,0.12627
2.66,0.18936,0.12702
2.68,0.18983,0.12777
2.7,0.19031,0.12854
2.72,0.1908,0.12931
2.74,0.1913,0.13009
2.76,0.19182,0.13088
2.78,0.19234,0.13167
2.8,0.19287,0.13248
2.82,0.19341,0.13329
2.84,0.19397,0.13412
2.86,0.19453,0.13495
2.88,0.1951,0.13579
2.9,0.19569,0.13664
2.92,0.19628,0.13751
2.94,0.19688,0.13838
2.96,0.1975,0.13926
2.98,0.19812,0.14015
3.0,0.19875,0.14105
3.02,0.1994,0.14196
3.04,0.20005,0.14288
3.06,0.20071,0.14381
3.08,0.20138,0.14475
3.1,0.20207,0.14571
3.12,0.20276,0.14667
3.14,0.20346,0.14765
3.16,0.20418,0.14864
3.18,0.2049,0.14964
3.2,0.20563,0.15065
3.22,0.20638,0.15167
