dry_solids_mass_fraction,dry_solids_percent_w_w,temperature_C,kinematic_viscosity_mm2_s,measurement_type,source_doi,source_table,license,notes
0.15,15,20,2.131,measured,10.1088/1755-1315/548/2/022040,Table 1,CC BY 3.0,Coffee extract for soluble-coffee processing; do not extrapolate below 15 wt% without validation.
0.20,20,20,3.151,measured,10.1088/1755-1315/548/2/022040,Table 1,CC BY 3.0,Coffee extract for soluble-coffee processing; do not extrapolate below 15 wt% without validation.
0.25,25,20,5.258,measured,10.1088/1755-1315/548/2/022040,Table 1,CC BY 3.0,Coffee extract for soluble-coffee processing; do not extrapolate below 15 wt% without validation.
0.30,30,20,9.272,measured,10.1088/1755-1315/548/2/022040,Table 1,CC BY 3.0,Coffee extract for soluble-coffee processing; do not extrapolate below 15 wt% without validation.
0.35,35,20,11.873,measured,10.1088/1755-1315/548/2/022040,Table 1,CC BY 3.0,Coffee extract for soluble-coffee processing; do not extrapolate below 15 wt% without validation.
0.40,40,20,26.49,measured,10.1088/1755-1315/548/2/022040,Table 1,CC BY 3.0,Coffee extract for soluble-coffee processing; do not extrapolate below 15 wt% without validation.
0.45,45,20,50.29,measured,10.1088/1755-1315/548/2/022040,Table 1,CC BY 3.0,Coffee extract for soluble-coffee processing; do not extrapolate below 15 wt% without validation.
0.50,50,20,85.2,measured,10.1088/1755-1315/548/2/022040,Table 1,CC BY 3.0,Coffee extract for soluble-coffee processing; do not extrapolate below 15 wt% without validation.
0.60,60,20,778.0,measured,10.1088/1755-1315/548/2/022040,Table 1,CC BY 3.0,Coffee extract for soluble-coffee processing; do not extrapolate below 15 wt% without validation.
0.70,70,20,20417.0,measured,10.1088/1755-1315/548/2/022040,Table 1,CC BY 3.0,Coffee extract for soluble-coffee processing; do not extrapolate below 15 wt% without validation.
0.15,15,40,1.333,measured,10.1088/1755-1315/548/2/022040,Table 1,CC BY 3.0,Coffee extract for soluble-coffee processing; do not extrapolate below 15 wt% without validation.
0.20,20,40,1.99,measured,10.1088/1755-1315/548/2/022040,Table 1,CC BY 3.0,Coffee extract for soluble-coffee processing; do not extrapolate below 15 wt% without validation.
0.25,25,40,3.053,measured,10.1088/1755-1315/548/2/022040,Table 1,CC BY 3.0,Coffee extract for soluble-coffee processing; do not extrapolate below 15 wt% without validation.
0.30,30,40,4.919,measured,10.1088/1755-1315/548/2/022040,Table 1,CC BY 3.0,Coffee extract for soluble-coffee processing; do not extrapolate below 15 wt% without validation.
0.35,35,40,7.378,measured,10.1088/1755-1315/548/2/022040,Table 1,CC BY 3.0,Coffee extract for soluble-coffee processing; do not extrapolate below 15 wt% without validation.
0.40,40,40,11.805,measured,10.1088/1755-1315/548/2/022040,Table 1,CC BY 3.0,Coffee extract for soluble-coffee processing; do not extrapolate below 15 wt% without validation.
0.45,45,40,25.339,measured,10.1088/1755-1315/548/2/022040,Table 1,CC BY 3.0,Coffee extract for soluble-coffee processing; do not extrapolate below 15 wt% without validation.
