Xw_pct,T_K,K_Pasn,n,source
49,274,1.062,0.88,telisromero2001_Table2
49,281,0.5593,0.88,telisromero2001_Table2
49,293,0.2,0.88,telisromero2001_Table2
49,297,0.1446,0.88,telisromero2001_Table2
49,305,0.07757,0.88,telisromero2001_Table2
49,318,0.03013,0.88,telisromero2001_Table2
49,332,0.01182,0.88,telisromero2001_Table2
49,341,0.00675,0.87,telisromero2001_Table2
49,353,0.00334,0.87,telisromero2001_Table2
58,274,0.2255,0.94,telisromero2001_Table2
58,281,0.1187,0.94,telisromero2001_Table2
58,293,0.04246,0.94,telisromero2001_Table2
58,297,0.0307,0.94,telisromero2001_Table2
58,305,0.01646,0.94,telisromero2001_Table2
58,318,0.0064,0.94,telisromero2001_Table2
58,332,0.00251,0.93,telisromero2001_Table2
58,341,0.00143,0.93,telisromero2001_Table2
58,353,0.00071,0.93,telisromero2001_Table2
64,274,0.08023,0.97,telisromero2001_Table2
64,281,0.04224,0.97,telisromero2001_Table2
64,293,0.01511,0.97,telisromero2001_Table2
64,297,0.01092,0.97,telisromero2001_Table2
64,305,0.00586,0.97,telisromero2001_Table2
64,318,0.00228,0.97,telisromero2001_Table2
64,332,0.00089,0.97,telisromero2001_Table2
64,341,0.00051,0.97,telisromero2001_Table2
64,353,0.00025,0.96,telisromero2001_Table2
