series,R_brew_digitized_g_per_g,R_brew_nominal,TDS_percent
99C,2.08,2,12.243
99C,2.12,2,12.919
99C,2.18,2,12.736
94C,2.97,3,7.066
80C,3.05,3,6.994
85C,3.06,3,6.542
99C,3.07,3,6.797
80C,3.13,3,6.606
94C,3.19,3,6.569
99C,3.47,3,6.466
94C,3.53,4,5.683
94C,3.99,4,5.354
99C,4.07,4,5.067
85C,4.12,4,5.262
94C,4.36,4,4.907
85C,4.55,5,4.583
99C,5.0,5,3.895
99C,5.07,5,4.1
99C,5.24,5,3.744
85C,5.27,5,3.74
80C,5.29,5,3.704
99C,6.03,6,3.337
99C,6.27,6,3.258
99C,10.16,10,1.9
85C,10.34,10,1.909
94C,10.57,10,1.897
94C,12.94,13,1.499
94C,13.45,13,1.456
99C_wide_grind,15.04,15,1.436
99C_wide_grind,15.04,15,1.234
99C_wide_grind,15.32,15,1.382
80C,15.39,15,1.218
85C,15.69,15,1.473
94C,16.9,17,1.154
94C,17.3,17,1.171
94C,19.76,20,0.982
80C,19.91,20,0.998
85C,19.99,20,0.971
99C,20.21,20,1.006
85C,24.92,25,0.799
80C,25.04,25,0.833
99C,25.37,25,0.774
