series,measurement,R_brew_digitized_g_per_g,R_brew_nominal,E_percent
99C,equilibrium,2.07,2,28.88
99C,equilibrium,2.11,2,31.21
99C,equilibrium,2.18,2,31.66
99C,equilibrium,2.97,3,21.72
85C,equilibrium,3.03,3,22.29
99C_wide_grind,equilibrium,3.03,3,22.72
85C,equilibrium,3.06,3,21.15
99C,equilibrium,3.11,3,22.81
99C,equilibrium,3.46,3,23.87
94C,equilibrium,3.52,4,21.2
80C,equilibrium,3.94,4,22.63
99C,equilibrium,4.05,4,21.45
85C,equilibrium,4.11,4,22.46
99C,equilibrium,4.13,4,21.99
94C,equilibrium,4.42,4,22.39
80C,equilibrium,4.43,4,22.11
85C,equilibrium,4.55,5,21.77
99C,equilibrium,4.94,5,21.05
99C,equilibrium,4.99,5,20.19
99C,equilibrium,5.05,5,21.76
99C,equilibrium,5.15,5,21.19
99C,equilibrium,5.25,5,20.34
85C,equilibrium,5.29,5,20.44
99C,equilibrium,6.02,6,20.79
99C,equilibrium,6.26,6,21.02
85C,equilibrium,9.83,10,16.62
85C,equilibrium,9.93,10,19.42
80C,equilibrium,10.0,10,16.61
80C,equilibrium,10.01,10,20.36
80C,equilibrium,10.03,10,17.27
85C,equilibrium,10.05,10,17.29
99C,equilibrium,10.06,10,19.88
99C,equilibrium,10.22,10,17.99
99C,equilibrium,10.25,10,19.61
94C,equilibrium,10.36,10,20.58
80C,equilibrium,10.52,10,20.61
94C,equilibrium,10.55,10,17.59
94C,equilibrium,10.6,10,19.67
85C,equilibrium,10.61,10,20.38
94C,equilibrium,10.64,10,20.88
94C,equilibrium,12.93,13,19.66
80C,equilibrium,12.96,13,19.58
80C,equilibrium,12.96,13,17.53
94C,equilibrium,12.99,13,17.89
94C,equilibrium,13.45,13,19.77
99C,equilibrium,14.9,15,19.76
99C_wide_grind,equilibrium,15.04,15,18.81
80C,equilibrium,15.05,15,20.59
99C_wide_grind,equilibrium,15.05,15,20.02
99C_wide_grind,equilibrium,15.06,15,23.13
85C,equilibrium,15.1,15,21.09
85C,equilibrium,15.1,15,22.82
80C,equilibrium,15.11,15,21.19
80C,equilibrium,15.11,15,22.68
85C,equilibrium,15.15,15,20.51
85C,equilibrium,15.15,15,22.28
99C_wide_grind,equilibrium,15.2,15,19.58
99C_wide_grind,equilibrium,15.25,15,21.84
99C_wide_grind,equilibrium,15.36,15,19.07
99C_wide_grind,equilibrium,15.37,15,20.46
99C_wide_grind,equilibrium,15.41,15,23.3
85C,equilibrium,15.46,15,19.37
99C_wide_grind,equilibrium,15.68,15,22.35
99C_wide_grind,equilibrium,15.72,15,22.95
94C,equilibrium,16.91,17,20.3
94C,equilibrium,16.91,17,19.65
80C,equilibrium,16.91,17,19.91
80C,equilibrium,17.01,17,18.54
94C,equilibrium,17.31,17,20.48
94C,equilibrium,19.75,20,19.49
80C,equilibrium,19.83,20,19.58
85C,equilibrium,20.01,20,20.16
94C,equilibrium,20.13,20,19.24
80C,equilibrium,20.22,20,18.78
99C,equilibrium,20.31,20,20.22
80C,equilibrium,20.35,20,19.44
99C,equilibrium,25.01,25,20.13
80C,equilibrium,25.03,25,18.99
94C,equilibrium,25.04,25,21.73
85C,equilibrium,25.05,25,19.08
80C,equilibrium,25.1,25,21.3
99C,equilibrium,25.39,25,20.17
99C,equilibrium,25.41,25,20.94
99C,equilibrium,25.48,25,19.47
99C,oven_drying,2.07,2,4.43
99C,oven_drying,2.12,2,6.27
99C,oven_drying,2.16,2,5.54
94C,oven_drying,3.02,3,8.35
99C,oven_drying,3.03,3,9.86
99C,oven_drying,3.07,3,10.77
80C,oven_drying,3.08,3,8.58
94C,oven_drying,3.11,3,7.82
85C,oven_drying,3.11,3,8.94
99C,oven_drying,3.46,3,11.23
94C,oven_drying,3.53,4,10.39
85C,oven_drying,4.01,4,11.7
94C,oven_drying,4.03,4,11.61
99C,oven_drying,4.06,4,12.12
99C,oven_drying,4.11,4,12.63
94C,oven_drying,4.39,4,12.54
85C,oven_drying,4.56,5,13.25
85C,oven_drying,4.96,5,13.42
80C,oven_drying,5.05,5,13.41
99C,oven_drying,5.08,5,13.98
94C,oven_drying,5.15,5,13.0
99C,oven_drying,5.31,5,14.27
99C,oven_drying,6.12,6,15.04
99C_wide_grind,oven_drying,6.19,6,15.06
99C,oven_drying,10.01,10,17.99
94C,oven_drying,10.02,10,16.65
94C,oven_drying,10.57,10,16.95
80C,oven_drying,10.58,10,17.61
94C,oven_drying,12.93,13,17.12
94C,oven_drying,13.45,13,16.1
85C,oven_drying,14.95,15,18.38
85C,oven_drying,15.4,15,18.48
94C,oven_drying,16.91,17,18.77
94C,oven_drying,17.31,17,18.42
94C,oven_drying,19.99,20,19.73
94C,oven_drying,20.06,20,18.32
99C,oven_drying,20.18,20,20.7
85C,oven_drying,24.99,25,20.44
94C,oven_drying,25.04,25,20.9
80C,oven_drying,25.09,25,19.49
