panel,quantity,roast,R_brew_digitized_g_per_g,value
5A,TDS_percent,dark,12.6,1.829
5A,TDS_percent,decaf,12.69,1.674
5A,TDS_percent,dark,12.76,1.808
5A,TDS_percent,light,12.79,1.795
5A,TDS_percent,extra_dark,12.81,1.774
5A,TDS_percent,medium,12.93,1.75
5A,TDS_percent,dark,12.94,1.822
5A,TDS_percent,extra_dark,12.96,1.86
5A,TDS_percent,decaf,12.98,1.64
5A,TDS_percent,dark,12.98,1.845
5A,TDS_percent,extra_dark,13.16,1.749
5A,TDS_percent,light,13.38,1.66
5A,TDS_percent,extra_dark,13.42,1.71
5A,TDS_percent,decaf,13.56,1.622
5A,TDS_percent,medium,13.59,1.684
5A,TDS_percent,dark,13.7,1.721
5A,TDS_percent,extra_dark,13.81,1.669
5A,TDS_percent,decaf,13.86,1.6
5A,TDS_percent,medium,14.02,1.618
5A,TDS_percent,light,14.04,1.648
5A,TDS_percent,dark,14.18,1.627
5A,TDS_percent,light,14.44,1.68
5A,TDS_percent,dark,14.45,1.635
5A,TDS_percent,medium,14.72,1.56
5A,TDS_percent,light,14.78,1.537
5A,TDS_percent,medium,14.86,1.52
5A,TDS_percent,extra_dark,14.91,1.549
5A,TDS_percent,extra_dark,14.95,1.581
5A,TDS_percent,decaf,15.14,1.426
5A,TDS_percent,light,15.31,1.542
5A,TDS_percent,light,15.32,1.5
5A,TDS_percent,decaf,15.32,1.449
5A,TDS_percent,dark,16.11,1.484
5A,TDS_percent,extra_dark,16.12,1.47
5A,TDS_percent,extra_dark,16.4,1.441
5A,TDS_percent,decaf,16.49,1.308
5A,TDS_percent,medium,16.54,1.394
5A,TDS_percent,dark,16.56,1.429
5A,TDS_percent,decaf,16.64,1.33
5A,TDS_percent,light,16.7,1.359
5A,TDS_percent,decaf,16.81,1.311
5A,TDS_percent,light,16.87,1.376
5A,TDS_percent,medium,16.94,1.36
5A,TDS_percent,extra_dark,17.64,1.317
5A,TDS_percent,dark,17.8,1.341
5A,TDS_percent,decaf,17.82,1.24
5A,TDS_percent,dark,17.93,1.359
5A,TDS_percent,extra_dark,17.97,1.331
5A,TDS_percent,medium,18.07,1.283
5A,TDS_percent,extra_dark,18.12,1.319
5A,TDS_percent,light,18.25,1.307
5A,TDS_percent,light,18.62,1.309
5A,TDS_percent,light,18.92,1.309
5A,TDS_percent,decaf,19.8,1.129
5A,TDS_percent,extra_dark,19.86,1.196
5A,TDS_percent,extra_dark,19.95,1.21
5A,TDS_percent,decaf,20.14,1.092
5A,TDS_percent,extra_dark,20.21,1.189
5A,TDS_percent,medium,20.44,1.138
5A,TDS_percent,dark,20.52,1.2
5A,TDS_percent,decaf,20.53,1.099
5A,TDS_percent,dark,20.54,1.219
5A,TDS_percent,medium,20.61,1.152
5A,TDS_percent,decaf,20.62,1.079
5A,TDS_percent,light,20.68,1.168
5A,TDS_percent,light,20.75,1.189
5A,TDS_percent,dark,21.04,1.17
5A,TDS_percent,dark,21.35,1.159
5B,E_percent,decaf,12.71,21.57
5B,E_percent,dark,12.75,23.58
5B,E_percent,extra_dark,12.82,23.06
5B,E_percent,extra_dark,12.83,23.23
