analyte,material,replicate,time_s_nominal,time_s_measured,C_over_Cinf,source_panel,replicate_confidence
Quinic acid,Omega_A,1,5.51,5.5,0.1594,inset,high
Quinic acid,Omega_A,1,7.38,7.37,0.1773,inset,high
Quinic acid,Omega_A,1,9.25,9.24,0.2691,inset,high
Quinic acid,Omega_A,1,11.12,11.1,0.2487,inset,high
Quinic acid,Omega_A,1,12.99,12.97,0.2794,inset,high
Quinic acid,Omega_A,1,14.86,14.87,0.3087,inset,low
Quinic acid,Omega_A,1,16.73,16.71,0.3278,inset,high
Quinic acid,Omega_A,1,18.6,18.58,0.3176,inset,high
Quinic acid,Omega_A,1,20.47,20.51,0.3483,inset,high
Quinic acid,Omega_A,1,22.34,22.38,0.3381,inset,high
Quinic acid,Omega_A,1,24.2,24.25,0.3789,inset,high
Quinic acid,Omega_A,1,26.08,26.11,0.3993,inset,high
Quinic acid,Omega_A,1,27.94,27.98,0.3993,inset,high
Quinic acid,Omega_A,1,29.82,29.85,0.407,inset,high
Quinic acid,Omega_A,1,31.68,31.72,0.4172,inset,high
Quinic acid,Omega_A,1,60,59.76,0.5279,main,low
Quinic acid,Omega_A,1,180,180.32,0.7581,main,medium
Quinic acid,Omega_A,1,300,299.65,0.798,main,low
Quinic acid,Omega_A,1,600,600.43,0.9975,main,low
Quinic acid,Omega_A,2,5.51,5.5,0.1492,inset,high
Quinic acid,Omega_A,2,7.38,7.37,0.2079,inset,high
Quinic acid,Omega_A,2,9.25,9.24,0.2487,inset,high
Quinic acid,Omega_A,2,11.12,11.1,0.2794,inset,high
Quinic acid,Omega_A,2,12.99,12.97,0.2972,inset,high
Quinic acid,Omega_A,2,14.86,14.84,0.3176,inset,medium
Quinic acid,Omega_A,2,16.73,16.71,0.3585,inset,high
Quinic acid,Omega_A,2,18.6,18.58,0.3891,inset,high
Quinic acid,Omega_A,2,20.47,20.44,0.3789,inset,high
Quinic acid,Omega_A,2,22.34,22.31,0.4274,inset,high
Quinic acid,Omega_A,2,24.2,24.18,0.4274,inset,high
Quinic acid,Omega_A,2,26.08,26.11,0.578,inset,high
Quinic acid,Omega_A,2,27.94,27.98,0.4274,inset,high
Quinic acid,Omega_A,2,29.82,29.85,0.458,inset,high
Quinic acid,Omega_A,2,31.68,31.72,0.4682,inset,high
Quinic acid,Omega_A,2,33.56,33.32,0.4759,inset,low
Quinic acid,Omega_A,2,60,59.14,0.6676,main,low
Quinic acid,Omega_A,2,300,299.65,0.999,main,medium
Quinic acid,Omega_A,2,600,599.81,0.9775,main,medium
Quinic acid,Omega_A,3,4.7,4.67,0.1454,inset,high
Quinic acid,Omega_A,3,6.56,6.53,0.1862,inset,high
Quinic acid,Omega_A,3,8.44,8.47,0.2347,inset,high
Quinic acid,Omega_A,3,10.31,10.34,0.2653,inset,high
Quinic acid,Omega_A,3,12.18,12.2,0.2959,inset,high
Quinic acid,Omega_A,3,14.04,14.07,0.3266,inset,high
Quinic acid,Omega_A,3,15.92,15.94,0.3776,inset,high
Quinic acid,Omega_A,3,17.79,17.81,0.3853,inset,high
Quinic acid,Omega_A,3,19.66,19.68,0.4057,inset,high
Quinic acid,Omega_A,3,21.52,21.54,0.4159,inset,high
Quinic acid,Omega_A,3,23.4,23.48,0.4261,inset,high
Quinic acid,Omega_A,3,25.26,25.35,0.4567,inset,high
Quinic acid,Omega_A,3,27.14,27.15,0.4669,inset,high
Quinic acid,Omega_A,3,29.01,29.08,0.4771,inset,high
Quinic acid,Omega_A,3,30.88,30.95,0.4848,inset,high
Quinic acid,Omega_A,3,32.75,32.35,0.518,inset,high
Quinic acid,Omega_A,3,180,179.39,0.9476,main,low
Quinic acid,Omega_A,3,300,299.95,0.9369,main,low
