replicate,marker,time_s,C_over_Cinf,digitized_from,note
1,square,5.5,0.123,inset,
1,square,7.4,0.175,inset,
1,square,9.3,0.225,inset,
1,square,11.1,0.255,inset,
1,square,13.0,0.275,inset,
1,square,14.9,0.305,inset,
1,square,16.8,0.327,inset,
1,square,18.6,0.337,inset,
1,square,20.6,0.357,inset,
1,square,22.4,0.367,inset,
1,square,24.3,0.378,inset,
1,square,26.2,0.387,inset,
1,square,28.0,0.397,inset,
1,square,29.9,0.417,inset,
1,square,31.8,0.427,inset,
1,square,33.4,0.429,inset,
1,square,61.2,0.539,main,overlapped with Rep3 triangle; centres unresolvable within ~1 px
1,square,180.0,0.811,main,
1,square,300.0,0.923,main,
1,square,600.0,1.0,main,all three replicates coincident at this point
2,diamond,5.5,0.076,inset,
2,diamond,7.4,0.126,inset,
2,diamond,9.3,0.185,inset,
2,diamond,11.1,0.215,inset,
2,diamond,13.0,0.245,inset,
2,diamond,14.9,0.275,inset,
2,diamond,16.8,0.295,inset,
2,diamond,18.6,0.315,inset,
2,diamond,20.5,0.337,inset,
2,diamond,22.4,0.347,inset,
2,diamond,24.3,0.367,inset,
2,diamond,26.1,0.364,inset,
2,diamond,28.0,0.387,inset,
2,diamond,29.9,0.397,inset,
2,diamond,31.8,0.404,inset,
2,diamond,33.4,0.417,inset,
2,diamond,60.6,0.58,main,
2,diamond,179.4,0.799,main,
2,diamond,299.7,0.911,main,
2,diamond,600.0,1.0,main,all three replicates coincident at this point
3,triangle,4.8,0.057,inset,
3,triangle,6.6,0.097,inset,
3,triangle,8.5,0.157,inset,
3,triangle,10.4,0.197,inset,
3,triangle,12.3,0.226,inset,
3,triangle,14.2,0.256,inset,
3,triangle,16.0,0.286,inset,
3,triangle,17.9,0.316,inset,
3,triangle,19.8,0.328,inset,
3,triangle,21.7,0.348,inset,
3,triangle,23.5,0.356,inset,
3,triangle,25.4,0.366,inset,
3,triangle,27.3,0.378,inset,
3,triangle,29.1,0.386,inset,
3,triangle,31.0,0.398,inset,
3,triangle,32.5,0.405,inset,
3,triangle,60.6,0.539,main,overlapped with Rep1 square; centres unresolvable within ~1 px
3,triangle,180.0,0.786,main,
3,triangle,300.0,0.948,main,
3,triangle,600.0,1.0,main,all three replicates coincident at this point
