analyte,material,replicate,time_s_nominal,time_s_measured,C_over_Cinf,source_panel,replicate_confidence
Citric acid,Omega_A,1,7.38,7.35,0.3573,inset,high
Citric acid,Omega_A,1,9.25,9.25,0.4295,inset,high
Citric acid,Omega_A,1,11.12,11.08,0.4175,inset,high
Citric acid,Omega_A,1,12.99,13.04,0.4391,inset,high
Citric acid,Omega_A,1,14.86,14.87,0.4584,inset,high
Citric acid,Omega_A,1,16.73,16.76,0.4777,inset,high
Citric acid,Omega_A,1,18.6,18.59,0.4801,inset,high
Citric acid,Omega_A,1,20.47,20.55,0.4897,inset,high
Citric acid,Omega_A,1,22.34,22.38,0.4873,inset,high
Citric acid,Omega_A,1,24.21,24.21,0.521,inset,high
Citric acid,Omega_A,1,26.08,26.17,0.5282,inset,high
Citric acid,Omega_A,1,27.95,28.0,0.5379,inset,high
Citric acid,Omega_A,1,29.82,29.9,0.5379,inset,high
Citric acid,Omega_A,1,31.69,31.79,0.5499,inset,high
Citric acid,Omega_A,1,33.56,33.31,0.5692,inset,high
Citric acid,Omega_A,1,60,60.26,0.6406,main,medium
Citric acid,Omega_A,1,180,179.68,0.8375,main,high
Citric acid,Omega_A,1,300,300.33,0.8985,main,high
Citric acid,Omega_A,2,5.51,5.49,0.3296,inset,low
Citric acid,Omega_A,2,7.38,7.32,0.3777,inset,high
Citric acid,Omega_A,2,9.25,9.21,0.4187,inset,high
Citric acid,Omega_A,2,11.12,11.11,0.4379,inset,high
Citric acid,Omega_A,2,12.99,12.94,0.4596,inset,high
Citric acid,Omega_A,2,14.86,14.84,0.4789,inset,high
Citric acid,Omega_A,2,16.73,16.73,0.4981,inset,high
Citric acid,Omega_A,2,18.6,18.56,0.5198,inset,high
Citric acid,Omega_A,2,20.47,20.46,0.5198,inset,high
Citric acid,Omega_A,2,22.34,22.35,0.5487,inset,high
Citric acid,Omega_A,2,24.21,24.25,0.5487,inset,high
Citric acid,Omega_A,2,26.08,26.14,0.6282,inset,high
Citric acid,Omega_A,2,27.95,28.04,0.5583,inset,high
Citric acid,Omega_A,2,29.82,29.87,0.5704,inset,high
Citric acid,Omega_A,2,31.69,31.76,0.58,inset,high
Citric acid,Omega_A,2,33.56,33.34,0.5896,inset,high
Citric acid,Omega_A,2,60,59.34,0.718,main,medium
Citric acid,Omega_A,2,300,299.41,0.9681,main,medium
Citric acid,Omega_A,3,4.7,4.7,0.3272,inset,high
Citric acid,Omega_A,3,6.57,6.53,0.3561,inset,high
Citric acid,Omega_A,3,8.44,8.42,0.4066,inset,high
Citric acid,Omega_A,3,10.31,10.32,0.4355,inset,high
Citric acid,Omega_A,3,12.18,12.15,0.4572,inset,high
Citric acid,Omega_A,3,14.05,14.05,0.4765,inset,high
Citric acid,Omega_A,3,15.92,15.94,0.5054,inset,high
Citric acid,Omega_A,3,17.79,17.84,0.5246,inset,high
Citric acid,Omega_A,3,19.66,19.67,0.5367,inset,high
Citric acid,Omega_A,3,21.53,21.56,0.5463,inset,high
Citric acid,Omega_A,3,23.4,23.46,0.5463,inset,high
Citric acid,Omega_A,3,25.27,25.35,0.568,inset,high
Citric acid,Omega_A,3,27.14,27.18,0.5872,inset,high
Citric acid,Omega_A,3,29.01,29.08,0.5872,inset,high
Citric acid,Omega_A,3,30.88,30.97,0.5872,inset,high
Citric acid,Omega_A,3,32.75,32.36,0.6065,inset,high
Citric acid,Omega_A,3,60,60.26,0.7086,main,low
Citric acid,Omega_A,3,180,179.68,0.918,main,medium
Citric acid,Omega_A,3,300,300.33,0.9462,main,medium
Citric acid,Omega_A,3,600,600.11,0.9978,main,high
