analyte,material,replicate,time_s_nominal,time_s_measured,C_over_Cinf,source_panel,replicate_confidence
Malic acid,Omega_A,1,5.52,5.51,0.3673,inset,low
Malic acid,Omega_A,1,7.39,7.36,0.4015,inset,low
Malic acid,Omega_A,1,9.26,9.27,0.488,inset,high
Malic acid,Omega_A,1,11.13,11.11,0.4721,inset,low
Malic acid,Omega_A,1,13.0,12.96,0.5108,inset,low
Malic acid,Omega_A,1,14.87,14.87,0.5381,inset,high
Malic acid,Omega_A,1,16.74,16.77,0.5586,inset,low
Malic acid,Omega_A,1,18.61,18.62,0.5381,inset,high
Malic acid,Omega_A,1,20.48,20.53,0.5768,inset,low
Malic acid,Omega_A,1,22.35,22.37,0.57,inset,high
Malic acid,Omega_A,1,26.09,26.13,0.6292,inset,high
Malic acid,Omega_A,1,27.96,28.04,0.6292,inset,high
Malic acid,Omega_A,1,29.83,29.82,0.6314,inset,low
Malic acid,Omega_A,1,31.7,31.79,0.6314,inset,low
Malic acid,Omega_A,1,33.57,33.28,0.6884,inset,high
Malic acid,Omega_A,1,60,59.88,0.7272,main,medium
Malic acid,Omega_A,1,180,179.79,0.8889,main,high
Malic acid,Omega_A,1,300,299.69,0.8982,main,high
Malic acid,Omega_A,1,600,599.15,0.9978,main,medium
Malic acid,Omega_A,2,9.26,9.27,0.4493,inset,high
Malic acid,Omega_A,2,14.87,14.87,0.5199,inset,high
Malic acid,Omega_A,2,18.61,18.62,0.5791,inset,high
Malic acid,Omega_A,2,22.35,22.37,0.6201,inset,high
Malic acid,Omega_A,2,24.22,24.22,0.6087,inset,low
Malic acid,Omega_A,2,26.09,26.13,0.6884,inset,high
Malic acid,Omega_A,2,27.96,28.04,0.6087,inset,high
Malic acid,Omega_A,2,33.57,33.34,0.6497,inset,high
Malic acid,Omega_A,2,60,59.88,0.7816,main,medium
Malic acid,Omega_A,2,300,299.69,0.9978,main,high
Malic acid,Omega_A,2,600,599.77,0.9682,main,high
Malic acid,Omega_A,3,4.71,4.77,0.3753,inset,high
Malic acid,Omega_A,3,6.58,6.55,0.3958,inset,high
Malic acid,Omega_A,3,8.45,8.46,0.4459,inset,high
Malic acid,Omega_A,3,10.32,10.31,0.4755,inset,high
Malic acid,Omega_A,3,12.19,12.22,0.4982,inset,high
Malic acid,Omega_A,3,14.06,14.06,0.5256,inset,high
Malic acid,Omega_A,3,15.93,15.97,0.5665,inset,high
Malic acid,Omega_A,3,17.8,17.88,0.5779,inset,high
Malic acid,Omega_A,3,19.67,19.72,0.5961,inset,high
Malic acid,Omega_A,3,21.54,21.57,0.6053,inset,high
Malic acid,Omega_A,3,23.41,23.48,0.6053,inset,high
Malic acid,Omega_A,3,25.28,25.32,0.6258,inset,high
Malic acid,Omega_A,3,27.15,27.23,0.6371,inset,high
Malic acid,Omega_A,3,29.02,29.08,0.6462,inset,high
Malic acid,Omega_A,3,30.89,30.99,0.6554,inset,high
Malic acid,Omega_A,3,32.76,32.36,0.6758,inset,high
Malic acid,Omega_A,3,180,180.09,0.9566,main,low
Malic acid,Omega_A,3,300,300.0,0.9674,main,high
