panel,replicate,time_s,C_t_over_C_inf,quality
inset,3,4.71,0.033,clean
inset,2,5.51,0.058,clean
inset,1,5.53,0.108,clean
inset,3,6.57,0.083,clean
inset,2,7.38,0.117,clean
inset,1,7.39,0.176,clean
inset,3,8.47,0.153,clean
inset,1,9.25,0.267,clean
inset,2,9.27,0.188,clean
inset,3,10.34,0.203,clean
inset,1,11.15,0.307,clean
inset,2,11.15,0.217,clean
inset,3,12.21,0.233,clean
inset,2,13.01,0.246,clean
inset,1,13.02,0.338,clean
inset,3,14.11,0.274,clean
inset,1,14.90,0.387,clean
inset,2,14.91,0.287,clean
inset,3,15.99,0.312,clean
inset,1,16.78,0.357,clean
inset,2,16.78,0.317,clean
inset,3,17.87,0.344,clean
inset,2,18.66,0.337,clean
inset,1,18.66,0.377,clean
inset,3,19.75,0.362,clean
inset,2,20.56,0.357,clean
inset,3,20.60,0.386,clean
inset,3,21.61,0.373,clean
inset,1,22.41,0.408,clean
inset,2,22.42,0.377,clean
inset,3,23.52,0.392,clean
inset,1,24.26,0.417,clean
inset,2,24.28,0.387,clean
inset,3,25.39,0.412,clean
inset,2,26.19,0.408,clean
inset,1,26.21,0.435,clean
inset,3,27.26,0.426,clean
inset,1,28.04,0.447,clean
inset,2,28.06,0.417,clean
inset,3,29.15,0.443,clean
inset,2,29.93,0.437,clean
inset,1,29.94,0.469,clean
inset,2,31.00,0.452,clean
inset,2,31.82,0.448,clean
inset,1,31.83,0.478,clean
inset,3,32.42,0.463,clean
inset,1,33.37,0.487,clean
inset,2,33.41,0.457,clean
main,2,4.74,0.038,partial_or_overlapping
main,3,5.41,0.109,clean_dense_cluster
main,2,5.66,0.060,partial_or_overlapping
main,3,6.58,0.087,partial_or_overlapping
main,3,7.26,0.179,clean_dense_cluster
main,2,7.59,0.121,partial_or_overlapping
main,3,8.73,0.157,partial_or_overlapping
main,1,9.03,0.270,clean_dense_cluster
main,2,9.24,0.190,partial_or_overlapping
main,3,10.67,0.208,partial_or_overlapping
main,3,10.73,0.311,clean_dense_cluster
main,2,11.19,0.222,partial_or_overlapping
main,3,12.03,0.237,partial_or_overlapping
main,3,12.82,0.340,clean_dense_cluster
main,2,13.37,0.251,partial_or_overlapping
main,2,14.16,0.277,partial_or_overlapping
main,2,14.55,0.392,clean_dense_cluster
main,3,15.20,0.360,partial_or_overlapping
main,2,15.37,0.292,partial_or_overlapping
main,3,16.10,0.317,partial_or_overlapping
main,2,17.23,0.379,partial_or_overlapping
main,2,18.22,0.347,partial_or_overlapping
main,2,18.69,0.338,partial_or_overlapping
main,2,19.15,0.390,partial_or_overlapping
main,1,19.64,0.366,partial_or_overlapping
main,2,20.63,0.358,partial_or_overlapping
main,3,21.53,0.377,partial_or_overlapping
main,3,23.67,0.398,partial_or_overlapping
main,2,24.15,0.388,partial_or_overlapping
main,2,24.51,0.440,partial_or_overlapping
main,3,25.49,0.416,partial_or_overlapping
main,2,27.25,0.427,partial_or_overlapping
main,2,28.56,0.469,partial_or_overlapping
main,3,29.05,0.446,partial_or_overlapping
main,2,29.93,0.438,partial_or_overlapping
main,2,30.36,0.480,partial_or_overlapping
main,2,31.16,0.456,partial_or_overlapping
main,3,32.62,0.468,partial_or_overlapping
main,1,33.56,0.491,clean_dense_cluster
main,1,60.00,0.617,clean
main,3,60.11,0.628,clean
main,2,60.12,0.651,clean
main,1,180.33,0.912,clean
main,2,180.35,0.881,clean
main,3,180.43,0.898,clean
main,3,300.42,1.002,partial_or_overlapping
main,2,300.42,0.988,partial_or_overlapping
main,1,300.43,0.978,partial_or_overlapping
main,2,600.67,0.981,partial_or_overlapping
main,1,600.76,0.998,partial_or_overlapping
main,3,600.76,0.998,partial_or_overlapping
