Roast Batch #,Green Mass (g),Roast Time (mm:ss),Final Bean Temp (C),Roast Mass (g),% Weight Loss,Agtron Color Score
1,1827,9:33,220,1599,12.5,45.2
2,1855,9:47,222,1609,13.3,43.3
3,1818,9:49,222,1578,13.2,45.5
4,1818,9:52,225,1570,13.6,41.9
5,1836,9:49,225,1588,13.5,42.6
6,1855,10:04,225,1568,15.5,39.9
7,1818,9:58,225,1596,12.2,42.8
8,1836,9:56,225,1578,14.1,42.0
9,1818,9:55,225,1571,13.6,42.2
10,1818,9:51,225,1575,13.4,42.3
11,1818,9:59,224,1565,13.9,40.8
12,1818,9:41,225,1569,13.7,43.0
13,1818,*,225,1565,13.9,41.6
14,1818,9:47,225,1572,13.5,43.3
15,1818,9:39,225,1574,13.4,42.7
16,1818,9:51,225,1578,13.2,42.4
17,1818,9:54,225,1564,14.0,40.9
18,1818,*,225,1566,13.9,42.3
19,1818,9:52,224,1572,13.5,43.3
20,1818,9:48,225,1567,13.8,42.4
21,1818,9:49,225,1569,13.7,44.0
22,1818,9:55,224,1568,13.8,42.8
23,1818,10:00,224,1555,14.5,41.3
24,1818,9:59,225,1560,14.2,41.9
25,1818,9:45,225,1562,14.1,43.5
26,1818,9:59,225,1562,14.1,43.0
27,1818,10:02,225,1564,14.0,42.5
28,1818,11:27,235,1495,17.8,27.5
29,1818,11:07,235,1502,17.4,27.7
30,1818,11:11,235,1501,17.4,27.4
31,1818,11:12,235,1503,17.3,28.4
32,1818,11:06,235,1513,16.8,28.7
33,1818,*,225,1546,15.0,40.4
34,1818,9:58,225,1559,14.2,41.6
35,1818,9:52,225,1559,14.2,42.4
