Sample ID,Caffeine 180s avg (mg per L),Caffeine 180s sd (mg per L),Caffeine 300s avg (mg per L),Caffeine 300s sd (mg per L),Caffeine 600s avg (mg per L),Caffeine 600s sd (mg per L),3-CGA 180s avg (mg per L),3-CGA 180s sd (mg per L),3-CGA 300s avg (mg per L),3-CGA 300s sd (mg per L),3-CGA 600s avg (mg per L),3-CGA 600s sd (mg per L),Citric Acid 180s avg (mg per L),Citric Acid 180s sd (mg per L),Citric Acid 300s avg (mg per L),Citric Acid 300s sd (mg per L),Citric Acid 600s avg (mg per L),Citric Acid 600s sd (mg per L),Malic Acid 180s avg (mg per L),Malic Acid 180s sd (mg per L),Malic Acid 300s avg (mg per L),Malic Acid 300s sd (mg per L),Malic Acid 600s avg (mg per L),Malic Acid 600s sd (mg per L),Quinic Acid 180s avg (mg per L),Quinic Acid 180s sd (mg per L),Quinic Acid 300s avg (mg per L),Quinic Acid 300s sd (mg per L),Quinic Acid 600s avg (mg per L),Quinic Acid 600s sd (mg per L)
Omega_A,346,13,383,4,384,13,164,5,189,10,204,6,135,9,142,12,151,20,54,2,55,2,57,5,195,16,201,22,222,48
Omega_B,340,3,349,5,351,6,179,2,191,2,197,3,144,23,150,16,148,10,61,9,59,4,61,7,172,20,181,11,169,4
Omega_C,355,8,359,6,360,5,204,5,212,4,214,4,147,17,148,11,149,20,62,6,59,5,62,6,175,22,172,14,172,25
Omega_D,349,6,358,6,359,4,87,1,90,2,92,2,104,5,107,4,108,6,39,0.1,39,1,39,0.2,142,6,144,4,143,7
Omega_E,339,2,357,2,372,15,169,1,184,2,193,2,104,4,107,4,108,2,48,4,46,1,45,1,141,10,149,18,139,8
Omega_F,353,1,362,1,363,2,175,1,185,1,188,1,126,4,128,2,130,4,48,3,52,4,50,7,145,5,143,4,142,7
Omega_G,357,4,360,3,359,2,186,11,191,11,191,12,133,12,135,12,131,9,43,6,44,6,45,8,158,14,154,6,150,12
Omega_H,340,1,353,2,355,2,180,1,190,1,195,1,107,2,113,8,115,1,44,2,49,0.5,47,1,128,2,142,12,141,2
Omega_I,360,15,371,15,372,15,198,0.3,209,0.2,212,2,136,6,138,6,140,7,55,4,56,4,53,1,143,9,143,6,142,9
Omega_J,356,9,353,2,352,2,194,3,197,2,196,2,131,3,134,13,118,1,57,3,57,7,55,5,155,2,164,18,163,0.5
Omega_K,346,2,356,2,358,0.1,179,1,187,1,190,0.4,110,6,113,7,117,11,50,6,53,3,54,3,149,3,149,12,158,22
Omega_L,353,10,356,1,355,1,184,1,192,1,193,1,131,9,131,6,132,10,55,3,52,3,51,7,163,5,158,11,160,13
Omega_M,344,2,347,2,346,2,185,1,188,1,187,1,130,12,128,7,131,13,52,5,52,1,53,4,144,11,141,3,145,13
Omega_N,349,1,357,2,357,1,78,4,82,5,82,4,104,12,108,17,107,15,37,2,37,2,36,2,138,10,151,12,139,12
Omega_O,352,2,356,3,356,2,80,2,83,1,82,1,104,2,108,11,105,8,37,1,37,2,36,2,135,6,139,7,135,9
Omega_P,354,3,357,4,357,4,78,1,79,1,79,1,100,5,102,6,101,6,36,1,36,1,35,1,134,5,139,9,134,8
Omega_Q,337,2,344,3,344,3,192,1,199,1,200,2,118,2,120,8,119,6,52,3,52,2,52,2,126,5,125,4,127,3
Omega_R,332,3,341,2,342,2,184,1,190,1,191,2,115,8,115,9,119,9,48,2,46,4,49,3,124,5,128,3,129,9
Omega_S,350,7,351,1,349,1,180,1,184,0.4,182,0.5,133,15,133,1,137,10,53,4,51,1,52,2,173,13,156,11,175,18
Omega_T,309,19,323,21,332,29,169,11,182,12,191,14,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Omega_U,346,3,347,3,348,3,190,3,194,3,195,3,145,31,148,22,154,45,60,6,58,6,58,6,145,29,141,19,152,37
