Sample ID,Dx50 Air (um),Dx50 Liquid (um),"D[4,3] Air (um)","D[4,3] Liquid (um)","D[3,2] Air (um)","D[3,2] Liquid (um)",Vol Fraction <186um Air,Vol Fraction <186um Liquid
Omega_A,1455,1818,1575,1849,1355,495,0.0,0.02
Omega_B,1023,1318,1117,1435,966,427,0.0,0.04
Omega_C,777,852,823,919,739,270,0.0,0.05
Omega_D,1015,1224,1113,1351,962,338,0.0,0.04
Omega_E,1187,1371,1297,1391,723,271,0.03,0.06
Omega_F,877,966,929,1086,533,252,0.04,0.11
Omega_G,719,685,745,725,460,175,0.04,0.15
Omega_H,1110,1262,1212,1420,569,275,0.04,0.09
Omega_I,884,925,942,1190,518,262,0.05,0.09
Omega_J,669,641,690,701,395,201,0.05,0.06
Omega_K,1093,1318,1197,1422,565,262,0.04,0.1
Omega_L,883,990,943,1077,498,210,0.05,0.1
Omega_M,691,676,717,670,399,188,0.06,0.11
Omega_N,874,1035,922,1205,512,279,0.05,0.06
Omega_O,863,1051,913,1192,439,232,0.06,0.09
Omega_P,801,1056,844,1195,381,236,0.07,0.11
Omega_Q,628,508,677,656,212,50,0.17,0.31
Omega_R,633,503,695,689,210,48,0.16,0.33
Omega_S,638,472,684,640,211,44,0.16,0.34
Omega_T,892,1151,979,1245,370,221,0.09,0.11
Omega_U,694,762,731,875,309,98,0.1,0.15
Omega_V,648,681,686,683,615,224,0.0,0.08
Omega_W,*,40,*,97,*,16,*,0.82
Omega_X,*,34,*,68,*,15,*,0.91
