Sample ID,"D[4,3] Vol Mean (um)","D[3,2] Surface Mean (um)",Volume Fraction <186um
Omega_A,1540,460,0.02
Omega_B,1080,392,0.04
Omega_C,782,260,0.05
Omega_D,1068,321,0.04
Omega_E,1249,399,0.06
Omega_F,866,244,0.11
Omega_G,669,172,0.15
Omega_H,1155,306,0.09
Omega_I,899,286,0.09
Omega_J,687,340,0.06
Omega_K,1120,256,0.1
Omega_L,889,244,0.1
Omega_M,680,232,0.11
Omega_N,909,307,0.06
Omega_O,877,283,0.09
Omega_P,809,253,0.11
Omega_Q,558,50,0.31
Omega_R,556,48,0.33
Omega_S,537,44,0.34
Omega_T,951,211,0.11
Omega_U,685,97,0.15
