Sample ID,theta_v_fines,theta_v_coarse,phi
Omega_A,0.025,0.332,0.356
Omega_B,0.035,0.433,0.468
Omega_C,0.053,0.523,0.576
Omega_D,0.045,0.43,0.475
Omega_E,0.063,0.382,0.445
Omega_F,0.109,0.447,0.556
Omega_G,0.148,0.491,0.639
Omega_H,0.087,0.396,0.483
Omega_I,0.089,0.456,0.545
Omega_J,0.061,0.568,0.628
Omega_K,0.101,0.394,0.495
Omega_L,0.103,0.45,0.553
Omega_M,0.11,0.526,0.636
Omega_O,0.093,0.464,0.557
Omega_P,0.106,0.481,0.587
Omega_T,0.108,0.444,0.551
Omega_U,0.154,0.494,0.648
