Sample ID,Caffeine lambda_fast (s),Caffeine lambda_fast lower 95CI,Caffeine lambda_fast upper 95CI,Caffeine lambda_slow (s),Caffeine lambda_slow lower 95CI,Caffeine lambda_slow upper 95CI,Caffeine R2,Caffeine MPE (%),3-CQA lambda_fast (s),3-CQA lambda_fast lower 95CI,3-CQA lambda_fast upper 95CI,3-CQA lambda_slow (s),3-CQA lambda_slow lower 95CI,3-CQA lambda_slow upper 95CI,3-CQA R2,3-CQA MPE (%)
Omega_A,9.2,8.2,10.4,109,99,119,0.95,6.9,10.9,10.1,11.2,158,148,169,0.97,5.5
Omega_B,10.6,9.3,12.2,57,49,66,0.92,16.0,11.2,10.2,12.3,93,81,106,0.94,10.8
Omega_C,19.1,14.8,35.5,29,13,43,0.88,12.6,18.3,16.0,22.1,59,42,76,0.92,9.3
Omega_D,15.7,14.5,17.2,50,45,55,0.98,3.7,13.0,12.2,14.0,79,72,87,0.97,4.0
Omega_E,5.8,5.4,6.2,104,97,111,0.99,3.4,6.8,6.4,7.2,129,121,137,0.99,3.0
Omega_F,9.2,8.0,10.6,68,55,84,0.86,9.3,10.3,9.3,11.5,97,80,117,0.9,8.1
Omega_G,9.1,8.0,10.5,46,36,59,0.85,9.7,10.2,9.1,11.5,72,56,93,0.87,8.9
Omega_H,4.5,4.1,4.9,67,63,71,0.98,3.2,5.4,4.9,5.5,92,85,99,0.99,3.2
Omega_I,8.1,7.2,9.2,78,65,93,0.89,12.9,9.5,8.6,10.5,97,82,115,0.91,10.3
Omega_J,7.8,7.4,8.3,33,31,36,0.98,3.4,8.8,8.3,9.4,41,37,46,0.97,4.1
Omega_K,2.9,2.6,3.1,50,48,53,0.99,2.4,3.7,3.4,3.9,65,62,69,0.99,2.3
Omega_L,7.3,7.0,7.6,62,58,65,0.99,3.1,8.4,8.1,8.6,78,74,82,0.99,2.5
Omega_M,9.0,7.7,10.9,27,20,35,0.85,9.7,10.0,8.7,11.9,35,26,45,0.86,10.3
Omega_O,12.8,10.9,16.4,33,24,41,0.9,7.7,11.8,10.4,13.6,43,35,51,0.92,6.2
Omega_P,7.0,6.1,8.1,34,28,40,0.86,7.4,7.0,6.2,7.9,38,32,44,0.88,5.9
Omega_T,11.2,10.4,12.0,98,86,111,0.98,3.7,12.2,11.6,11.9,139,125,155,0.99,3.2
Omega_U,8.5,8.0,9.1,35,31,39,0.97,3.8,9.1,8.6,9.7,57,50,64,0.97,3.9
