Sample ID,Citric lambda_fast (s),Citric lambda_fast lower 95CI,Citric lambda_fast upper 95CI,Citric lambda_slow (s),Citric lambda_slow lower 95CI,Citric lambda_slow upper 95CI,Citric R2,Citric MPE (%),Malic lambda_fast (s),Malic lambda_fast lower 95CI,Malic lambda_fast upper 95CI,Malic lambda_slow (s),Malic lambda_slow lower 95CI,Malic lambda_slow upper 95CI,Malic R2,Malic MPE (%),Quinic lambda_fast (s),Quinic lambda_fast lower 95CI,Quinic lambda_fast upper 95CI,Quinic lambda_slow (s),Quinic lambda_slow lower 95CI,Quinic lambda_slow upper 95CI,Quinic R2,Quinic MPE (%)
Omega_A,3.0,2.5,3.4,65,62,68,0.97,3.0,2.4,1.5,3.2,44,42,46,0.95,4.0,12.0,10.6,13.8,90,81,99,0.94,12.5
Omega_B,6.3,5.6,7.1,57,52,62,0.93,5.0,6.4,5.4,7.5,35,31,39,0.89,5.5,11.9,9.5,15.5,60,45,77,0.76,16.8
Omega_C,10.0,9.2,10.8,44,40,48,0.97,3.2,9.8,8.8,11.1,34,30,38,0.94,5.4,*,*,*,*,*,*,*,*
Omega_D,5.2,4.7,5.7,42,41,44,0.97,2.3,4.0,3.6,4.5,25,24,26,0.98,1.8,14.7,12.6,18.4,35,28,40,0.94,3.7
Omega_E,3.1,2.4,3.7,35,32,37,0.96,3.5,2.8,1.6,3.8,26,23,30,0.88,6.0,6.4,5.1,8.0,61,51,72,0.89,8.5
Omega_F,5.8,5.1,6.6,44,39,49,0.91,4.9,4.1,2.8,5.5,41,34,51,0.61,10.0,10.8,8.9,13.5,41,31,51,0.8,8.5
Omega_G,7.3,6.5,8.3,37,31,43,0.91,5.1,5.2,4.2,6.4,23,19,28,0.84,7.0,12.6,9.9,25.2,27,7,40,0.78,10.5
Omega_H,3.3,2.5,4.1,40,36,43,0.96,4.1,2.3,*,3.5,25,23,28,0.91,5.3,5.4,4.3,6.8,55,47,65,0.92,6.9
Omega_I,5.6,5.0,6.3,44,40,48,0.92,5.0,4.9,4.1,5.9,33,29,38,0.82,6.9,9.9,8.5,12.0,38,31,46,0.85,8.0
Omega_J,6.7,6.0,7.4,30,26,33,0.94,3.1,6.9,5.4,8.6,23,18,28,0.83,5.3,10.3,8.7,12.8,33,24,43,0.84,5.8
Omega_K,2.7,1.9,3.4,28,26,31,0.95,3.8,2.2,1.0,3.0,25,23,28,0.93,4.4,5.3,4.3,6.4,46,41,53,0.92,5.7
Omega_L,5.7,5.2,6.2,34,31,36,0.95,2.6,4.9,4.1,5.8,32,28,36,0.85,4.9,10.3,8.8,12.4,44,65,54,0.84,6.6
Omega_M,7.8,6.9,8.9,24,20,28,0.91,4.0,6.6,5.7,7.9,21,17,25,0.85,5.1,*,*,*,*,*,*,*,*
Omega_O,6.7,5.8,7.7,32,28,36,0.9,4.8,4.5,3.8,5.2,21,19,23,0.93,3.4,*,*,*,*,*,*,*,*
Omega_P,5.7,4.9,6.6,20,17,22,0.9,4.1,4.6,3.7,5.7,13,10,15,0.88,4.0,11.3,8.1,20.9,18,7,27,0.7,9.4
Omega_U,7.1,5.9,8.7,43,32,57,0.7,8.7,7.1,6.3,8.2,16,13,19,0.95,2.9,9.1,6.9,*,34,*,54,0.47,12.7
