powder,s_m_pct,t_s,q_mm_s
E,0.0,0.0,4.908
E,0.0,0.033,4.9071
E,0.0,60.005,4.9071
E,3.6,0.0,4.908
E,3.6,0.036,3.8877
E,3.6,0.096,3.2813
E,3.6,0.176,2.8565
E,3.6,0.271,2.5625
E,3.6,0.377,2.3592
E,3.6,0.499,2.207
E,3.6,0.647,2.0863
E,3.6,0.834,1.9782
E,3.6,1.102,1.8663
E,3.6,1.491,1.7418
E,3.6,2.029,1.6063
E,3.6,2.701,1.4715
E,3.6,3.538,1.3379
E,3.6,4.568,1.2077
E,3.6,5.823,1.0832
E,3.6,7.376,0.9625
E,3.6,9.283,0.8469
E,3.6,11.627,0.7397
E,3.6,14.547,0.6391
E,3.6,18.187,0.5465
E,3.6,22.807,0.4624
E,3.6,28.727,0.388
E,3.6,36.508,0.325
E,3.6,47.068,0.2727
E,3.6,60.009,0.2361
H,0.0,0.0,5.7615
H,0.0,0.031,5.7606
H,0.0,60.004,5.7606
H,3.6,0.0,5.7615
H,3.6,0.038,4.6368
H,3.6,0.099,3.9746
H,3.6,0.181,3.5022
H,3.6,0.277,3.1688
H,3.6,0.384,2.9343
H,3.6,0.509,2.7547
H,3.6,0.656,2.6129
H,3.6,0.839,2.4881
H,3.6,1.087,2.3646
H,3.6,1.442,2.2272
H,3.6,1.923,2.0778
H,3.6,2.529,1.9259
H,3.6,3.263,1.7747
H,3.6,4.156,1.6265
H,3.6,5.23,1.4825
H,3.6,6.523,1.3416
H,3.6,8.071,1.207
H,3.6,9.947,1.0769
H,3.6,12.211,0.9531
H,3.6,14.951,0.8377
H,3.6,18.298,0.7297
H,3.6,22.418,0.63
H,3.6,27.518,0.5393
H,3.6,33.958,0.4586
H,3.6,42.218,0.388
H,3.6,53.119,0.3304
H,3.6,60.019,0.3048
M,0.0,0.0,10.1057
M,0.0,0.025,10.1047
M,0.0,60.002,10.1047
M,3.6,0.0,10.1057
M,3.6,0.039,8.6942
M,3.6,0.107,7.7343
M,3.6,0.201,6.9833
M,3.6,0.308,6.4393
M,3.6,0.429,6.029
M,3.6,0.561,5.7111
M,3.6,0.715,5.4457
M,3.6,0.898,5.2065
M,3.6,1.125,4.9739
M,3.6,1.411,4.7338
M,3.6,1.762,4.4877
M,3.6,2.18,4.2394
M,3.6,2.656,3.9976
M,3.6,3.198,3.7603
M,3.6,3.81,3.5296
M,3.6,4.504,3.3053
M,3.6,5.287,3.0863
M,3.6,6.174,2.8738
M,3.6,7.179,2.6677
M,3.6,8.313,2.4689
M,3.6,9.6,2.2757
M,3.6,11.066,2.0898
M,3.6,12.734,1.9111
M,3.6,14.64,1.7409
M,3.6,16.827,1.5779
M,3.6,19.347,1.423
M,3.6,22.26,1.2774
M,3.6,25.641,1.1409
M,3.6,29.602,1.0136
M,3.6,34.27,0.8973
M,3.6,39.836,0.792
M,3.6,46.558,0.6978
M,3.6,54.821,0.6143
M,3.6,60.02,0.5749
F,0.0,0.0,35.1292
F,0.0,0.021,35.1247
F,0.0,60.002,35.1247
F,3.6,0.0,35.1292
F,3.6,0.04,32.9376
F,3.6,0.114,31.287
F,3.6,0.218,29.8703
F,3.6,0.344,28.6804
F,3.6,0.49,27.684
F,3.6,0.659,26.8122
F,3.6,0.857,26.0033
F,3.6,1.096,25.2003
F,3.6,1.383,24.3759
F,3.6,1.719,23.537
F,3.6,2.092,22.7063
F,3.6,2.5,21.9002
F,3.6,2.935,21.1265
F,3.6,3.398,20.3827
F,3.6,3.886,19.6683
F,3.6,4.404,18.9813
F,3.6,4.951,18.3183
F,3.6,5.529,17.6782
F,3.6,6.137,17.059
F,3.6,6.776,16.459
F,3.6,7.451,15.8784
F,3.6,8.162,15.3141
F,3.6,8.91,14.7657
F,3.6,9.697,14.2334
F,3.6,10.527,13.7141
F,3.6,11.402,13.2086
F,3.6,12.323,12.715
F,3.6,13.297,12.2341
F,3.6,14.324,11.7643
F,3.6,15.409,11.3054
F,3.6,16.554,10.8576
F,3.6,17.768,10.4189
F,3.6,19.05,9.991
F,3.6,20.412,9.5725
F,3.6,21.852,9.1641
F,3.6,23.383,8.7648
F,3.6,25.008,8.3746
F,3.6,26.737,7.9936
F,3.6,28.576,7.6217
F,3.6,30.533,7.2609
F,3.6,32.621,6.9073
F,3.6,34.851,6.5638
F,3.6,37.234,6.2286
F,3.6,39.782,5.9045
F,3.6,42.515,5.5885
F,3.6,45.448,5.2834
F,3.6,48.599,4.9875
F,3.6,51.993,4.702
F,3.6,55.654,4.4262
F,3.6,59.613,4.1606
F,3.6,60.004,4.136
