K,metric,M_c_g,value_pct
0.6,yield,0.001,-0.0015
0.6,yield,0.217,0.5003
0.6,yield,0.748,1.7751
0.6,yield,0.999,2.2185
0.6,yield,1.317,2.659
0.6,yield,3.63,5.6189
0.6,yield,5.331,7.6861
0.6,yield,6.912,9.5349
0.6,yield,8.154,10.9185
0.6,yield,9.218,12.0345
0.6,yield,10.167,12.9666
0.6,yield,11.089,13.8064
0.6,yield,12.001,14.5788
0.6,yield,12.926,15.3033
0.6,yield,13.902,16.0126
0.6,yield,14.925,16.7063
0.6,yield,16.035,17.4072
0.6,yield,17.212,18.1007
0.6,yield,18.454,18.788
0.6,yield,19.756,19.4644
0.6,yield,21.121,20.1286
0.6,yield,22.545,20.7804
0.6,yield,24.027,21.4162
0.6,yield,25.584,22.0451
0.6,yield,27.199,22.6564
0.6,yield,28.886,23.257
0.6,yield,30.642,23.8454
0.6,yield,32.486,24.4258
0.6,yield,34.415,24.996
0.6,yield,36.427,25.5544
0.6,yield,38.518,26.0991
0.6,yield,40.691,26.6292
0.6,yield,42.941,27.1437
0.6,yield,45.288,27.6462
0.6,yield,47.725,28.1324
0.6,yield,50.252,28.604
0.6,yield,52.885,29.0609
0.6,yield,55.622,29.5024
0.6,yield,58.463,29.9263
0.6,yield,61.418,30.3348
0.6,yield,64.507,30.7288
0.6,yield,67.723,31.1062
0.6,yield,71.084,31.4672
0.6,yield,74.601,31.8127
0.6,yield,78.289,32.1416
0.6,yield,82.16,32.4551
0.6,yield,86.229,32.7513
0.6,yield,90.011,32.9998
0.6,strength,0.014,18.2954
0.6,strength,0.187,20.3253
0.6,strength,0.321,21.282
0.6,strength,0.412,21.6225
0.6,strength,0.475,21.7162
0.6,strength,0.521,21.7205
0.6,strength,0.569,21.6707
0.6,strength,0.649,21.4814
0.6,strength,0.764,21.0284
0.6,strength,0.949,20.0226
0.6,strength,1.353,17.7603
0.6,strength,1.574,16.8781
0.6,strength,1.803,16.2003
0.6,strength,2.037,15.6748
0.6,strength,2.318,15.1805
0.6,strength,2.63,14.7376
0.6,strength,2.973,14.3413
0.6,strength,3.323,14.0032
0.6,strength,3.695,13.7031
0.6,strength,4.108,13.4233
0.6,strength,4.56,13.1648
0.6,strength,5.076,12.9155
0.6,strength,5.65,12.6789
0.6,strength,6.326,12.4382
0.6,strength,7.183,12.1702
0.6,strength,8.606,11.7661
0.6,strength,11.09,11.059
0.6,strength,15.309,9.8344
0.6,strength,16.91,9.4152
0.6,strength,18.51,9.0298
0.6,strength,20.163,8.6623
0.6,strength,21.908,8.3081
0.6,strength,23.757,7.9642
0.6,strength,25.727,7.6286
0.6,strength,27.816,7.3049
0.6,strength,30.071,6.9872
0.6,strength,32.485,6.678
0.6,strength,35.075,6.3762
0.6,strength,37.883,6.0805
0.6,strength,40.921,5.7914
0.6,strength,44.216,5.5084
0.6,strength,47.805,5.2294
0.6,strength,51.713,4.9566
0.6,strength,55.983,4.6894
0.6,strength,60.631,4.4282
0.6,strength,65.714,4.1723
0.6,strength,71.28,3.9237
0.6,strength,77.366,3.6803
0.6,strength,84.036,3.4445
0.6,strength,90.011,3.2561
0.7,yield,0.001,-0.0015
0.7,yield,0.217,0.5616
0.7,yield,0.748,1.988
0.7,yield,0.999,2.4889
0.7,yield,1.317,2.9907
0.7,yield,3.3,5.895
0.7,yield,4.689,7.8214
0.7,yield,6.01,9.5733
0.7,yield,7.079,10.9141
0.7,yield,7.991,11.9813
0.7,yield,8.831,12.8945
0.7,yield,9.644,13.7077
0.7,yield,10.449,14.4507
0.7,yield,11.287,15.1617
0.7,yield,12.18,15.8589
0.7,yield,13.123,16.5425
0.7,yield,14.153,17.2381
0.7,yield,15.253,17.9299
0.7,yield,16.416,18.6154
0.7,yield,17.628,19.2814
0.7,yield,18.901,19.9377
0.7,yield,20.238,20.5829
0.7,yield,21.633,21.2144
0.7,yield,23.107,21.8404
0.7,yield,24.639,22.4517
0.7,yield,26.244,23.0523
0.7,yield,27.921,23.6416
0.7,yield,29.687,24.2246
0.7,yield,31.523,24.7941
0.7,yield,33.443,25.3525
0.7,yield,35.447,25.8997
0.7,yield,37.534,26.4327
0.7,yield,39.697,26.9509
0.7,yield,41.942,27.4534
0.7,yield,44.281,27.9424
0.7,yield,46.71,28.4157
0.7,yield,49.231,28.8735
0.7,yield,51.857,29.3169
0.7,yield,54.587,29.7436
0.7,yield,57.435,30.1568
0.7,yield,60.399,30.5524
0.7,yield,63.494,30.9335
0.7,yield,66.734,31.2992
0.7,yield,70.118,31.6473
0.7,yield,73.656,31.98
