powder,q_mL_s,M_c_g,yield_pct,yield_err_pct,strength_pct,strength_err_pct
E,2,6,13.813,1.957,18.314,3.237
E,2,12,19.287,2.6,12.133,0.0
E,2,22,22.8,0.638,7.7,0.298
E,2,33,24.78,0.62,5.63,0.516
E,2,51,25.106,2.175,3.716,0.342
E,2,83,32.227,3.044,2.933,0.321
E,3,5,12.58,1.098,17.32,0.368
E,3,10,16.493,0.914,12.383,0.575
E,3,20,21.02,0.88,7.913,0.0
E,3,31,24.38,0.0,5.817,0.0
E,3,50,24.627,0.671,3.66,0.0
E,3,80,25.931,3.125,2.432,0.302
E,4,5,11.16,0.284,16.57,0.396
E,4,10,17.804,1.452,13.35,1.081
E,4,20,20.884,1.546,7.844,0.459
F,2,5,7.257,0.478,10.442,0.339
F,2,11,12.334,1.23,8.783,0.432
F,2,21,16.954,1.041,6.082,0.267
F,2,30,18.287,1.473,4.582,0.223
F,2,54,21.811,1.281,3.032,0.302
F,2,85,22.114,1.309,1.953,0.0
F,3,5,6.851,0.0,10.083,0.0
F,3,10,11.284,0.532,8.289,0.311
F,3,21,14.554,0.863,5.289,0.0
F,3,31,18.671,0.334,4.497,0.209
F,3,52,20.514,1.519,2.966,0.248
F,3,84,21.097,1.408,1.886,0.0
F,4,5,5.411,0.804,8.302,0.0
F,4,10,9.633,0.31,7.236,0.0
F,4,20,13.38,0.757,5.089,0.203
F,4,31,15.82,0.269,3.876,0.0
F,4,51,18.661,0.372,2.759,0.0
F,4,83,19.314,0.503,1.753,0.0
M,2,6,10.171,1.699,13.72,1.166
M,2,10,15.16,0.327,11.304,0.264
M,2,20,20.783,0.654,7.906,0.432
M,2,30,21.19,1.054,5.36,0.0
M,2,49,24.426,1.23,3.74,0.0
M,2,81,31.016,0.906,2.874,0.0
M,3,5,10.27,0.609,14.34,0.438
M,3,10,14.886,0.0,10.653,0.0
M,3,20,19.75,0.29,7.397,0.306
M,3,30,22.67,1.109,5.65,0.0
M,3,51,22.253,1.365,3.264,0.0
M,3,80,26.083,2.826,2.444,0.266
M,4,6,9.914,0.653,13.351,0.231
M,4,10,14.09,0.0,10.41,0.194
M,4,20,18.46,0.521,6.813,0.0
M,4,30,19.626,1.188,4.967,0.285
M,4,50,22.386,0.268,3.34,0.0
M,4,80,22.933,0.569,2.141,0.0
