powder,q_mL_s,metric,M_c_g,value_pct
E,2,yield,-0.0,0.0
E,2,yield,0.22,0.742
E,2,yield,0.71,2.373
E,2,yield,0.96,3.002
E,2,yield,1.27,3.628
E,2,yield,2.81,6.481
E,2,yield,4.0,8.579
E,2,yield,5.11,10.428
E,2,yield,6.01,11.853
E,2,yield,6.8,13.001
E,2,yield,7.54,13.98
E,2,yield,8.24,14.846
E,2,yield,8.96,15.651
E,2,yield,9.72,16.437
E,2,yield,10.53,17.215
E,2,yield,11.42,17.995
E,2,yield,12.35,18.758
E,2,yield,13.33,19.506
E,2,yield,14.33,20.221
E,2,yield,15.38,20.918
E,2,yield,16.47,21.596
E,2,yield,17.6,22.255
E,2,yield,18.79,22.904
E,2,yield,20.02,23.531
E,2,yield,21.29,24.137
E,2,yield,22.62,24.73
E,2,yield,24.0,25.308
E,2,yield,25.43,25.87
E,2,yield,26.92,26.415
E,2,yield,28.44,26.937
E,2,yield,30.02,27.442
E,2,yield,31.66,27.932
E,2,yield,33.35,28.404
E,2,yield,35.1,28.859
E,2,yield,36.91,29.295
E,2,yield,38.79,29.716
E,2,yield,40.74,30.12
E,2,yield,42.76,30.507
E,2,yield,44.86,30.877
E,2,yield,47.05,31.231
E,2,yield,49.33,31.569
E,2,yield,51.72,31.891
E,2,yield,54.21,32.196
E,2,yield,56.82,32.486
E,2,yield,59.57,32.76
E,2,yield,62.47,33.018
E,2,yield,65.54,33.262
E,2,yield,68.8,33.49
E,2,yield,72.28,33.703
E,2,yield,76.0,33.901
E,2,yield,77.43,33.969
E,3,yield,-0.0,0.0
E,3,yield,0.23,0.724
E,3,yield,0.75,2.383
E,3,yield,1.0,2.992
E,3,yield,1.33,3.646
E,3,yield,2.67,6.064
E,3,yield,3.8,8.009
E,3,yield,4.77,9.588
E,3,yield,5.58,10.814
E,3,yield,6.3,11.812
E,3,yield,6.99,12.69
E,3,yield,7.66,13.459
E,3,yield,8.34,14.174
E,3,yield,9.05,14.859
E,3,yield,9.82,15.535
E,3,yield,10.67,16.216
E,3,yield,11.59,16.902
E,3,yield,12.57,17.588
E,3,yield,13.61,18.259
E,3,yield,14.67,18.903
E,3,yield,15.81,19.541
E,3,yield,17.0,20.173
E,3,yield,18.27,20.796
E,3,yield,19.59,21.408
E,3,yield,20.97,22.008
E,3,yield,22.42,22.597
E,3,yield,23.94,23.179
E,3,yield,25.53,23.752
E,3,yield,27.18,24.31
E,3,yield,28.9,24.857
E,3,yield,30.69,25.391
E,3,yield,32.55,25.911
E,3,yield,34.5,26.422
E,3,yield,36.51,26.916
E,3,yield,38.6,27.398
E,3,yield,40.77,27.865
E,3,yield,43.04,28.322
E,3,yield,45.4,28.764
E,3,yield,47.85,29.192
E,3,yield,50.39,29.605
E,3,yield,53.04,30.003
E,3,yield,55.79,30.385
E,3,yield,58.66,30.754
E,3,yield,61.65,31.107
E,3,yield,64.78,31.446
E,3,yield,68.06,31.77
E,3,yield,71.48,32.078
E,3,yield,75.06,32.372
E,3,yield,78.85,32.651
E,3,yield,82.84,32.914
E,3,yield,87.07,33.163
E,3,yield,90.01,33.32
E,4,yield,-0.0,0.0
E,4,yield,0.23,0.699
E,4,yield,0.81,2.465
E,4,yield,1.06,3.054
E,4,yield,1.44,3.777
E,4,yield,2.68,5.963
E,4,yield,3.78,7.819
E,4,yield,4.67,9.222
E,4,yield,5.42,10.312
E,4,yield,6.09,11.214
E,4,yield,6.74,12.001
E,4,yield,7.39,12.709
E,4,yield,8.03,13.346
E,4,yield,8.71,13.957
E,4,yield,9.44,14.563
E,4,yield,10.26,15.177
E,4,yield,11.15,15.796
E,4,yield,12.12,16.419
E,4,yield,13.16,17.041
E,4,yield,14.25,17.65
E,4,yield,15.41,18.254
E,4,yield,16.65,18.85
E,4,yield,17.95,19.44
E,4,yield,19.33,20.031
E,4,yield,20.8,20.616
E,4,yield,22.35,21.198
E,4,yield,23.98,21.773
E,4,yield,25.69,22.34
E,4,yield,27.48,22.897
E,4,yield,29.33,23.443
E,4,yield,31.29,23.982
E,4,yield,33.32,24.512
E,4,yield,35.45,25.031
E,4,yield,37.68,25.543
E,4,yield,40.01,26.045
E,4,yield,42.44,26.537
E,4,yield,44.98,27.019
E,4,yield,47.62,27.487
E,4,yield,50.36,27.944
E,4,yield,53.23,28.39
E,4,yield,56.22,28.824
E,4,yield,59.34,29.244
E,4,yield,62.58,29.652
E,4,yield,65.96,30.045
E,4,yield,69.48,30.425
E,4,yield,73.16,30.791
E,4,yield,77.0,31.143
E,4,yield,81.01,31.48
E,4,yield,85.21,31.803
E,4,yield,89.62,32.111
E,4,yield,90.01,32.137
E,2,strength,0.01,26.065
E,2,strength,0.16,28.528
E,2,strength,0.29,29.785
E,2,strength,0.39,30.288
E,2,strength,0.45,30.418
E,2,strength,0.48,30.425
E,2,strength,0.52,30.394
E,2,strength,0.57,30.265
E,2,strength,0.67,29.88
E,2,strength,0.8,28.987
E,2,strength,1.5,24.015
E,2,strength,1.73,23.04
E,2,strength,1.96,22.273
E,2,strength,2.21,21.616
E,2,strength,2.5,21.013
E,2,strength,2.83,20.453
E,2,strength,3.18,19.952
E,2,strength,3.55,19.501
E,2,strength,3.97,19.072
E,2,strength,4.43,18.662
E,2,strength,4.99,18.224
E,2,strength,5.73,17.694
E,2,strength,7.78,16.311
E,2,strength,9.68,15.046
E,2,strength,10.72,14.399
E,2,strength,11.68,13.849
E,2,strength,12.65,13.337
E,2,strength,13.64,12.85
E,2,strength,14.67,12.38
E,2,strength,15.75,11.928
E,2,strength,16.88,11.493
E,2,strength,18.04,11.077
E,2,strength,19.26,10.674
E,2,strength,20.56,10.279
E,2,strength,21.92,9.894
E,2,strength,23.36,9.521
E,2,strength,24.89,9.158
E,2,strength,26.49,8.804
E,2,strength,28.2,8.458
E,2,strength,30.02,8.118
E,2,strength,31.96,7.785
E,2,strength,34.05,7.458
E,2,strength,36.27,7.137
E,2,strength,38.64,6.823
E,2,strength,41.18,6.514
E,2,strength,43.9,6.213
E,2,strength,46.82,5.917
E,2,strength,49.96,5.627
E,2,strength,53.32,5.344
E,2,strength,56.94,5.069
E,2,strength,60.81,4.801
E,2,strength,64.98,4.54
E,2,strength,69.48,4.286
E,2,strength,74.33,4.04
E,2,strength,77.43,3.896
E,3,strength,0.01,24.922
E,3,strength,0.17,27.237
E,3,strength,0.31,28.473
E,3,strength,0.41,28.984
E,3,strength,0.48,29.097
E,3,strength,0.51,29.106
E,3,strength,0.54,29.086
E,3,strength,0.59,29.002
E,3,strength,0.67,28.733
E,3,strength,0.78,28.131
E,3,strength,0.98,26.711
E,3,strength,1.33,24.252
E,3,strength,1.56,23.126
E,3,strength,1.78,22.241
E,3,strength,2.04,21.479
E,3,strength,2.3,20.859
E,3,strength,2.61,20.261
E,3,strength,2.93,19.754
E,3,strength,3.28,19.287
E,3,strength,3.67,18.839
E,3,strength,4.13,18.391
E,3,strength,4.69,17.903
E,3,strength,5.5,17.257
E,3,strength,8.03,15.325
E,3,strength,9.2,14.474
E,3,strength,10.13,13.843
E,3,strength,10.99,13.304
E,3,strength,11.86,12.802
E,3,strength,12.75,12.334
E,3,strength,13.69,11.88
E,3,strength,14.66,11.449
E,3,strength,15.67,11.031
E,3,strength,16.74,10.63
E,3,strength,17.85,10.246
E,3,strength,19.03,9.871
E,3,strength,20.27,9.51
E,3,strength,21.6,9.157
E,3,strength,23.0,8.814
E,3,strength,24.48,8.481
E,3,strength,26.07,8.155
E,3,strength,27.76,7.837
E,3,strength,29.58,7.524
E,3,strength,31.54,7.217
E,3,strength,33.63,6.918
E,3,strength,35.89,6.624
E,3,strength,38.32,6.335
E,3,strength,40.94,6.052
E,3,strength,43.78,5.774
E,3,strength,46.84,5.502
E,3,strength,50.16,5.235
E,3,strength,53.75,4.974
E,3,strength,57.65,4.718
E,3,strength,61.9,4.467
E,3,strength,66.51,4.222
E,3,strength,71.54,3.983
E,3,strength,77.01,3.75
E,3,strength,82.97,3.524
E,3,strength,89.5,3.303
E,3,strength,90.01,3.287
E,4,strength,0.02,23.643
E,4,strength,0.2,26.072
E,4,strength,0.33,27.205
E,4,strength,0.42,27.688
E,4,strength,0.5,27.871
E,4,strength,0.54,27.896
E,4,strength,0.58,27.878
E,4,strength,0.64,27.777
E,4,strength,0.72,27.515
E,4,strength,0.85,26.903
E,4,strength,1.08,25.374
E,4,strength,1.38,23.568
E,4,strength,1.61,22.49
E,4,strength,1.84,21.664
E,4,strength,2.09,20.951
E,4,strength,2.36,20.334
E,4,strength,2.66,19.793
E,4,strength,3.0,19.279
E,4,strength,3.36,18.821
E,4,strength,3.78,18.356
E,4,strength,4.3,17.864
E,4,strength,5.02,17.229
E,4,strength,6.85,15.715
E,4,strength,8.35,14.512
E,4,strength,9.3,13.799
E,4,strength,10.16,13.206
E,4,strength,10.99,12.679
E,4,strength,11.81,12.2
E,4,strength,12.67,11.742
E,4,strength,13.57,11.307
E,4,strength,14.52,10.884
E,4,strength,15.5,10.484
