# Moroney, Lee, O'Brien, Suijver, Marra (2015) Chem. Eng. Sci. 137:216-234, doi:10.1016/j.ces.2015.06.003
# Figure 1: grind size distributions, volume fraction (%) vs particle size (um), log x-axis
# extraction_method: PDF vector-path extraction (PyMuPDF); calibration from in-figure tick-mark coordinates; MEASURED (exact plotted coordinates, no raster digitization error)
# calibration: log-decade tick spacing 30.783 pt, x frame 0.1-1e4 um; y ticks every 0.5 over 0-10%
# note: vector path extends one decade below the displayed 0.1 um frame edge (clipped in print, values ~0); retained here
# series colors in source PDF: JK=blue solid, Cimbali#20=brown dashed
series,particle_size_um,volume_fraction_pct
JK_standard_drip_filter,0.0107,0.0
JK_standard_drip_filter,0.0123,0.0
JK_standard_drip_filter,0.0165,0.0
JK_standard_drip_filter,0.022,0.0
JK_standard_drip_filter,0.0293,0.0
JK_standard_drip_filter,0.0392,0.0
JK_standard_drip_filter,0.0523,0.0
JK_standard_drip_filter,0.0698,0.0
JK_standard_drip_filter,0.0932,0.0
JK_standard_drip_filter,0.1244,0.0
JK_standard_drip_filter,0.166,0.0
JK_standard_drip_filter,0.2216,0.0
JK_standard_drip_filter,0.2958,0.0
JK_standard_drip_filter,0.3397,0.0
JK_standard_drip_filter,0.39,0.0781
JK_standard_drip_filter,0.4477,0.0997
JK_standard_drip_filter,0.5141,0.1191
JK_standard_drip_filter,0.5902,0.1297
JK_standard_drip_filter,0.6451,0.1323
JK_standard_drip_filter,0.7046,0.1316
JK_standard_drip_filter,0.7694,0.1288
JK_standard_drip_filter,0.8398,0.1249
JK_standard_drip_filter,0.9165,0.121
JK_standard_drip_filter,1.0002,0.1182
JK_standard_drip_filter,1.0915,0.1177
JK_standard_drip_filter,1.1914,0.1203
JK_standard_drip_filter,1.3007,0.1273
JK_standard_drip_filter,1.4207,0.1397
JK_standard_drip_filter,1.5525,0.1586
JK_standard_drip_filter,1.7825,0.1951
JK_standard_drip_filter,2.0466,0.2371
JK_standard_drip_filter,2.2381,0.2665
JK_standard_drip_filter,2.4449,0.2922
JK_standard_drip_filter,2.6684,0.3147
JK_standard_drip_filter,2.9107,0.3345
JK_standard_drip_filter,3.174,0.3521
JK_standard_drip_filter,3.461,0.368
JK_standard_drip_filter,3.7748,0.3826
JK_standard_drip_filter,4.1191,0.3964
JK_standard_drip_filter,4.4983,0.41
JK_standard_drip_filter,4.9176,0.4238
JK_standard_drip_filter,5.3831,0.4384
JK_standard_drip_filter,6.1801,0.4716
JK_standard_drip_filter,7.0963,0.5187
JK_standard_drip_filter,8.147,0.5845
JK_standard_drip_filter,9.354,0.6687
JK_standard_drip_filter,10.1913,0.7297
JK_standard_drip_filter,11.0986,0.798
JK_standard_drip_filter,12.0849,0.8713
JK_standard_drip_filter,13.1608,0.947
JK_standard_drip_filter,14.3388,1.0226
JK_standard_drip_filter,15.6337,1.0957
JK_standard_drip_filter,17.0629,1.1637
JK_standard_drip_filter,18.6475,1.2242
JK_standard_drip_filter,20.412,1.2746
JK_standard_drip_filter,22.3862,1.3126
JK_standard_drip_filter,24.6053,1.3355
JK_standard_drip_filter,28.2507,1.3402
JK_standard_drip_filter,32.4361,1.316
JK_standard_drip_filter,35.3308,1.2855
JK_standard_drip_filter,38.5622,1.2544
JK_standard_drip_filter,42.153,1.2228
JK_standard_drip_filter,46.1244,1.1905
JK_standard_drip_filter,50.4944,1.1574
JK_standard_drip_filter,55.2766,1.1234
JK_standard_drip_filter,60.4785,1.0884
JK_standard_drip_filter,66.0994,1.0525
JK_standard_drip_filter,72.1284,1.0154
JK_standard_drip_filter,78.5422,0.977
JK_standard_drip_filter,85.3027,0.9374
JK_standard_drip_filter,97.9479,0.858
JK_standard_drip_filter,112.4592,0.7826
JK_standard_drip_filter,129.1204,0.7462
JK_standard_drip_filter,148.2612,0.8013
JK_standard_drip_filter,170.2263,1.0082
JK_standard_drip_filter,195.4459,1.4338
JK_standard_drip_filter,224.3852,2.1027
JK_standard_drip_filter,257.6286,3.0317
JK_standard_drip_filter,295.7972,4.1417
JK_standard_drip_filter,339.6205,5.3418
JK_standard_drip_filter,389.9653,6.4504
JK_standard_drip_filter,447.7067,7.3091
JK_standard_drip_filter,514.036,7.7555
JK_standard_drip_filter,590.2359,7.704
JK_standard_drip_filter,677.631,7.1529
JK_standard_drip_filter,778.0243,6.1859
JK_standard_drip_filter,893.3574,4.9717
JK_standard_drip_filter,1025.6351,3.7049
JK_standard_drip_filter,1177.5863,2.4838
JK_standard_drip_filter,1352.1499,1.3215
JK_standard_drip_filter,1552.3602,0.0476
JK_standard_drip_filter,1782.4797,0.0
JK_standard_drip_filter,2046.5463,0.0
JK_standard_drip_filter,2349.7339,0.0
JK_standard_drip_filter,2697.8394,0.0
JK_standard_drip_filter,3097.5187,0.0
JK_standard_drip_filter,3556.4143,0.0
JK_standard_drip_filter,4083.302,0.0
JK_standard_drip_filter,4688.2582,0.0
JK_standard_drip_filter,5382.8534,0.0
JK_standard_drip_filter,6180.374,0.0
JK_standard_drip_filter,7096.076,0.0
JK_standard_drip_filter,8147.4784,0.0
JK_standard_drip_filter,9354.5541,0.0
Illy_Cimbali_20,0.0107,0.0
Illy_Cimbali_20,0.0123,0.0
Illy_Cimbali_20,0.0142,0.0
Illy_Cimbali_20,0.0163,0.0
Illy_Cimbali_20,0.0187,0.0
Illy_Cimbali_20,0.0214,0.0
Illy_Cimbali_20,0.0246,0.0
Illy_Cimbali_20,0.0283,0.0
Illy_Cimbali_20,0.0324,0.0
Illy_Cimbali_20,0.0372,0.0
Illy_Cimbali_20,0.0428,0.0
Illy_Cimbali_20,0.0491,0.0
Illy_Cimbali_20,0.0564,0.0
Illy_Cimbali_20,0.0647,0.0
Illy_Cimbali_20,0.0743,0.0
Illy_Cimbali_20,0.0853,0.0
Illy_Cimbali_20,0.0979,0.0
Illy_Cimbali_20,0.1125,0.0
Illy_Cimbali_20,0.1291,0.0
Illy_Cimbali_20,0.1483,0.0
Illy_Cimbali_20,0.1702,0.0
Illy_Cimbali_20,0.1954,0.0
Illy_Cimbali_20,0.2244,0.0
Illy_Cimbali_20,0.2577,0.0
Illy_Cimbali_20,0.2958,0.0
Illy_Cimbali_20,0.3397,0.0
Illy_Cimbali_20,0.39,0.041
Illy_Cimbali_20,0.4477,0.0794
Illy_Cimbali_20,0.5141,0.0972
Illy_Cimbali_20,0.5902,0.1095
Illy_Cimbali_20,0.6777,0.1161
Illy_Cimbali_20,0.7781,0.1178
Illy_Cimbali_20,0.8934,0.1162
Illy_Cimbali_20,1.0257,0.1135
Illy_Cimbali_20,1.1777,0.1126
Illy_Cimbali_20,1.3522,0.1157
Illy_Cimbali_20,1.5525,0.1244
Illy_Cimbali_20,1.7825,0.1377
Illy_Cimbali_20,2.0466,0.1541
Illy_Cimbali_20,2.3498,0.1709
Illy_Cimbali_20,2.6977,0.1866
Illy_Cimbali_20,3.0976,0.2002
Illy_Cimbali_20,3.5566,0.212
Illy_Cimbali_20,4.0832,0.223
Illy_Cimbali_20,4.6888,0.2353
Illy_Cimbali_20,5.3831,0.2507
Illy_Cimbali_20,6.1801,0.2718
Illy_Cimbali_20,7.0963,0.3005
Illy_Cimbali_20,8.147,0.3387
Illy_Cimbali_20,9.354,0.3863
Illy_Cimbali_20,10.7406,0.4443
Illy_Cimbali_20,12.331,0.5087
Illy_Cimbali_20,14.1578,0.5771
Illy_Cimbali_20,16.2566,0.642
Illy_Cimbali_20,18.6636,0.698
Illy_Cimbali_20,21.4287,0.7376
Illy_Cimbali_20,24.6053,0.7565
Illy_Cimbali_20,28.2507,0.7525
