# Moroney, Lee, O'Brien, Suijver, Marra (2015) Chem. Eng. Sci. 137:216-234, doi:10.1016/j.ces.2015.06.003
# Figure 3: cylindrical brewing chamber, solubles concentration (mg per gram beverage) vs mass of beverage Mbrew (g)
# panels: (a) JK pot, (b) JK exit [60 g, 2.3 bar, 250 ml/min]; (c) Cimbali#20 pot, (d) Cimbali#20 exit [60 g, 0.65 bar, 250 ml/min]
# extraction_method: PDF vector-path extraction (PyMuPDF); calibration from in-figure tick-mark coordinates; MEASURED (exact plotted coordinates, no raster digitization error)
# calibration: MAJOR-TICK anchored (frames are padded beyond axis range in this figure; frame-edge calibration would bias y by ~9%)
# cross-check: panels b,d reproduce Fig 7 exit series (kg/m3) after division by constant 1.033 (= brew density factor)
panel,grind,quantity,Mbrew_g,concentration_mg_per_g
a,JK_standard_drip_filter,coffee_pot_cbrew,21.96,218.042
a,JK_standard_drip_filter,coffee_pot_cbrew,50.49,181.492
a,JK_standard_drip_filter,coffee_pot_cbrew,79.03,144.942
a,JK_standard_drip_filter,coffee_pot_cbrew,102.37,120.822
a,JK_standard_drip_filter,coffee_pot_cbrew,134.8,98.892
a,JK_standard_drip_filter,coffee_pot_cbrew,172.42,80.617
a,JK_standard_drip_filter,coffee_pot_cbrew,220.4,65.997
a,JK_standard_drip_filter,coffee_pot_cbrew,267.09,55.031
a,JK_standard_drip_filter,coffee_pot_cbrew,315.08,47.722
a,JK_standard_drip_filter,coffee_pot_cbrew,365.66,41.873
a,JK_standard_drip_filter,coffee_pot_cbrew,413.65,36.026
a,JK_standard_drip_filter,coffee_pot_cbrew,464.24,33.103
a,JK_standard_drip_filter,coffee_pot_cbrew,509.64,30.176
a,JK_standard_drip_filter,coffee_pot_cbrew,561.52,27.982
a,JK_standard_drip_filter,coffee_pot_cbrew,613.4,25.059
a,JK_standard_drip_filter,coffee_pot_cbrew,666.57,22.866
a,JK_standard_drip_filter,coffee_pot_cbrew,718.45,21.404
a,JK_standard_drip_filter,coffee_pot_cbrew,775.52,19.945
a,JK_standard_drip_filter,coffee_pot_cbrew,827.4,18.48
a,JK_standard_drip_filter,coffee_pot_cbrew,883.17,17.021
a,JK_standard_drip_filter,coffee_pot_cbrew,935.05,16.289
a,JK_standard_drip_filter,coffee_pot_cbrew,985.63,15.557
b,JK_standard_drip_filter,filter_exit_cexit,21.68,218.562
b,JK_standard_drip_filter,filter_exit_cexit,51.13,155.344
b,JK_standard_drip_filter,filter_exit_cexit,76.74,78.476
b,JK_standard_drip_filter,filter_exit_cexit,101.07,43.994
b,JK_standard_drip_filter,filter_exit_cexit,134.36,27.471
b,JK_standard_drip_filter,filter_exit_cexit,171.49,17.416
b,JK_standard_drip_filter,filter_exit_cexit,218.86,10.949
b,JK_standard_drip_filter,filter_exit_cexit,266.23,6.638
b,JK_standard_drip_filter,filter_exit_cexit,316.17,4.481
b,JK_standard_drip_filter,filter_exit_cexit,366.1,3.766
b,JK_standard_drip_filter,filter_exit_cexit,413.48,2.326
b,JK_standard_drip_filter,filter_exit_cexit,463.42,1.609
b,JK_standard_drip_filter,filter_exit_cexit,512.07,0.891
b,JK_standard_drip_filter,filter_exit_cexit,562.01,0.891
b,JK_standard_drip_filter,filter_exit_cexit,613.22,0.171
b,JK_standard_drip_filter,filter_exit_cexit,666.99,-0.546
b,JK_standard_drip_filter,filter_exit_cexit,719.49,-0.546
b,JK_standard_drip_filter,filter_exit_cexit,775.82,-0.546
b,JK_standard_drip_filter,filter_exit_cexit,828.32,-0.546
b,JK_standard_drip_filter,filter_exit_cexit,883.38,-0.546
b,JK_standard_drip_filter,filter_exit_cexit,934.59,-0.546
b,JK_standard_drip_filter,filter_exit_cexit,985.81,-0.546
c,Illy_Cimbali_20,coffee_pot_cbrew,19.39,85.121
c,Illy_Cimbali_20,coffee_pot_cbrew,42.77,83.704
c,Illy_Cimbali_20,coffee_pot_cbrew,66.14,76.267
c,Illy_Cimbali_20,coffee_pot_cbrew,92.12,67.415
c,Illy_Cimbali_20,coffee_pot_cbrew,120.68,59.625
c,Illy_Cimbali_20,coffee_pot_cbrew,157.05,51.834
c,Illy_Cimbali_20,coffee_pot_cbrew,199.91,44.752
c,Illy_Cimbali_20,coffee_pot_cbrew,253.15,38.378
c,Illy_Cimbali_20,coffee_pot_cbrew,302.5,33.775
c,Illy_Cimbali_20,coffee_pot_cbrew,350.55,29.879
c,Illy_Cimbali_20,coffee_pot_cbrew,405.1,26.692
c,Illy_Cimbali_20,coffee_pot_cbrew,458.34,24.214
c,Illy_Cimbali_20,coffee_pot_cbrew,511.59,22.088
c,Illy_Cimbali_20,coffee_pot_cbrew,559.64,20.672
c,Illy_Cimbali_20,coffee_pot_cbrew,610.29,18.902
c,Illy_Cimbali_20,coffee_pot_cbrew,658.34,17.84
c,Illy_Cimbali_20,coffee_pot_cbrew,715.47,16.423
c,Illy_Cimbali_20,coffee_pot_cbrew,767.42,15.361
c,Illy_Cimbali_20,coffee_pot_cbrew,824.56,14.652
c,Illy_Cimbali_20,coffee_pot_cbrew,884.3,13.944
c,Illy_Cimbali_20,coffee_pot_cbrew,936.25,13.236
c,Illy_Cimbali_20,coffee_pot_cbrew,993.4,12.175
d,Illy_Cimbali_20,filter_exit_cexit,18.93,85.365
d,Illy_Cimbali_20,filter_exit_cexit,41.74,83.025
d,Illy_Cimbali_20,filter_exit_cexit,67.09,64.228
d,Illy_Cimbali_20,filter_exit_cexit,92.44,45.902
d,Illy_Cimbali_20,filter_exit_cexit,122.85,33.691
d,Illy_Cimbali_20,filter_exit_cexit,155.81,25.242
d,Illy_Cimbali_20,filter_exit_cexit,198.9,20.09
d,Illy_Cimbali_20,filter_exit_cexit,252.13,13.532
d,Illy_Cimbali_20,filter_exit_cexit,301.55,10.734
d,Illy_Cimbali_20,filter_exit_cexit,349.72,7.935
d,Illy_Cimbali_20,filter_exit_cexit,404.22,7.02
d,Illy_Cimbali_20,filter_exit_cexit,458.71,5.634
d,Illy_Cimbali_20,filter_exit_cexit,510.68,4.719
d,Illy_Cimbali_20,filter_exit_cexit,557.58,4.27
