# Moroney, Lee, O'Brien, Suijver, Marra (2015) Chem. Eng. Sci. 137:216-234, doi:10.1016/j.ces.2015.06.003
# Figure 6: batch extraction, numerical solution (model, Table 1 parameters) vs experiment; ch (kg/m3) vs t (s)
# extraction_method: PDF vector-path extraction (PyMuPDF); calibration from in-figure tick-mark coordinates; MEASURED (exact plotted coordinates, no raster digitization error)
# calibration: MATLAB axis-box ticks; panel a y-range 0-40, panel b 0-35, x 0-600 s
# model curve = dense polyline vertices as plotted; experiment = green asterisk marker centroids
panel,grind,type,t_s,ch_kg_m3
a,JK_standard_drip_filter,model,0.012,0.9568
a,JK_standard_drip_filter,model,0.012,0.001
a,JK_standard_drip_filter,model,0.124,1.8461
a,JK_standard_drip_filter,model,0.888,12.5667
a,JK_standard_drip_filter,model,1.167,7.1714
a,JK_standard_drip_filter,model,4.601,17.8854
a,JK_standard_drip_filter,model,4.71,18.1316
a,JK_standard_drip_filter,model,4.71,18.0087
a,JK_standard_drip_filter,model,5.745,19.2438
a,JK_standard_drip_filter,model,6.896,20.3652
a,JK_standard_drip_filter,model,9.299,21.4623
a,JK_standard_drip_filter,model,9.407,21.5662
a,JK_standard_drip_filter,model,9.411,21.5662
a,JK_standard_drip_filter,model,9.411,21.5193
a,JK_standard_drip_filter,model,9.52,21.6137
a,JK_standard_drip_filter,model,12.171,22.8193
a,JK_standard_drip_filter,model,15.419,24.0121
a,JK_standard_drip_filter,model,19.253,25.1905
a,JK_standard_drip_filter,model,19.365,25.2282
a,JK_standard_drip_filter,model,19.59,25.2853
a,JK_standard_drip_filter,model,20.927,25.7229
a,JK_standard_drip_filter,model,22.536,26.1785
a,JK_standard_drip_filter,model,24.176,26.6102
a,JK_standard_drip_filter,model,24.4,26.6954
a,JK_standard_drip_filter,model,24.4,26.6669
a,JK_standard_drip_filter,model,25.145,26.8698
a,JK_standard_drip_filter,model,25.885,27.0661
a,JK_standard_drip_filter,model,26.528,27.2438
a,JK_standard_drip_filter,model,26.637,27.2628
a,JK_standard_drip_filter,model,26.749,27.291
a,JK_standard_drip_filter,model,27.463,27.469
a,JK_standard_drip_filter,model,28.187,27.6555
a,JK_standard_drip_filter,model,28.99,27.8305
a,JK_standard_drip_filter,model,29.098,27.8777
a,JK_standard_drip_filter,model,29.098,27.8492
a,JK_standard_drip_filter,model,29.211,27.8971
a,JK_standard_drip_filter,model,29.323,27.9256
a,JK_standard_drip_filter,model,29.436,27.9443
a,JK_standard_drip_filter,model,30.878,28.2858
a,JK_standard_drip_filter,model,32.424,28.6221
a,JK_standard_drip_filter,model,34.021,28.9565
a,JK_standard_drip_filter,model,34.134,28.985
a,JK_standard_drip_filter,model,34.471,29.042
a,JK_standard_drip_filter,model,34.645,29.1161
a,JK_standard_drip_filter,model,34.835,29.1086
a,JK_standard_drip_filter,model,35.254,29.2027
a,JK_standard_drip_filter,model,35.366,29.222
a,JK_standard_drip_filter,model,35.479,29.2407
a,JK_standard_drip_filter,model,35.769,29.3216
a,JK_standard_drip_filter,model,35.905,29.3449
a,JK_standard_drip_filter,model,36.374,29.4206
a,JK_standard_drip_filter,model,36.595,29.4773
a,JK_standard_drip_filter,model,36.595,29.4583
a,JK_standard_drip_filter,model,36.707,29.4964
a,JK_standard_drip_filter,model,36.82,29.515
a,JK_standard_drip_filter,model,36.932,29.534
a,JK_standard_drip_filter,model,37.266,29.5908
a,JK_standard_drip_filter,model,37.378,29.6098
a,JK_standard_drip_filter,model,37.603,29.6665
a,JK_standard_drip_filter,model,37.603,29.6478
a,JK_standard_drip_filter,model,37.715,29.6855
a,JK_standard_drip_filter,model,37.828,29.7045
a,JK_standard_drip_filter,model,38.281,29.7743
a,JK_standard_drip_filter,model,38.397,29.8064
a,JK_standard_drip_filter,model,38.723,29.8746
a,JK_standard_drip_filter,model,38.835,29.8936
a,JK_standard_drip_filter,model,39.056,29.9317
a,JK_standard_drip_filter,model,39.169,29.9405
a,JK_standard_drip_filter,model,39.281,29.9598
a,JK_standard_drip_filter,model,39.394,29.9975
a,JK_standard_drip_filter,model,39.394,29.9782
a,JK_standard_drip_filter,model,39.506,30.0162
a,JK_standard_drip_filter,model,39.789,30.0719
a,JK_standard_drip_filter,model,40.111,30.1051
a,JK_standard_drip_filter,model,40.401,30.1775
a,JK_standard_drip_filter,model,40.401,30.1582
a,JK_standard_drip_filter,model,40.51,30.1959
a,JK_standard_drip_filter,model,40.622,30.2057
a,JK_standard_drip_filter,model,40.735,30.2244
a,JK_standard_drip_filter,model,40.847,30.2437
a,JK_standard_drip_filter,model,41.072,30.2811
a,JK_standard_drip_filter,model,41.184,30.2906
a,JK_standard_drip_filter,model,41.293,30.3289
a,JK_standard_drip_filter,model,41.293,30.3096
a,JK_standard_drip_filter,model,41.405,30.3473
a,JK_standard_drip_filter,model,41.518,30.3666
a,JK_standard_drip_filter,model,41.63,30.3758
a,JK_standard_drip_filter,model,41.743,30.3951
a,JK_standard_drip_filter,model,41.855,30.4135
a,JK_standard_drip_filter,model,42.134,30.4823
a,JK_standard_drip_filter,model,42.448,30.4928
a,JK_standard_drip_filter,model,42.638,30.5466
a,JK_standard_drip_filter,model,42.75,30.5649
a,JK_standard_drip_filter,model,42.863,30.5748
a,JK_standard_drip_filter,model,43.157,30.6269
a,JK_standard_drip_filter,model,43.394,30.6767
a,JK_standard_drip_filter,model,43.758,30.7259
a,JK_standard_drip_filter,model,43.867,30.7357
a,JK_standard_drip_filter,model,44.092,30.7731
a,JK_standard_drip_filter,model,44.204,30.8016
a,JK_standard_drip_filter,model,44.204,30.7826
a,JK_standard_drip_filter,model,44.316,30.8206
a,JK_standard_drip_filter,model,44.429,30.8305
a,JK_standard_drip_filter,model,44.541,30.8488
a,JK_standard_drip_filter,model,44.65,30.8678
a,JK_standard_drip_filter,model,44.762,30.8773
a,JK_standard_drip_filter,model,44.875,30.8963
a,JK_standard_drip_filter,model,44.987,30.9153
a,JK_standard_drip_filter,model,45.099,30.9435
a,JK_standard_drip_filter,model,45.099,30.9245
a,JK_standard_drip_filter,model,45.212,30.9534
a,JK_standard_drip_filter,model,45.437,30.9907
a,JK_standard_drip_filter,model,45.545,31.0002
a,JK_standard_drip_filter,model,45.658,31.0193
a,JK_standard_drip_filter,model,45.77,31.0288
a,JK_standard_drip_filter,model,45.995,31.0763
a,JK_standard_drip_filter,model,45.995,31.0665
a,JK_standard_drip_filter,model,46.107,31.095
a,JK_standard_drip_filter,model,46.22,31.1048
a,JK_standard_drip_filter,model,46.328,31.1232
a,JK_standard_drip_filter,model,46.441,31.133
a,JK_standard_drip_filter,model,46.665,31.1707
a,JK_standard_drip_filter,model,47.026,31.2448
a,JK_standard_drip_filter,model,47.045,31.2045
a,JK_standard_drip_filter,model,47.561,31.2936
a,JK_standard_drip_filter,model,47.673,31.3126
a,JK_standard_drip_filter,model,47.786,31.3225
a,JK_standard_drip_filter,model,48.007,31.3808
a,JK_standard_drip_filter,model,48.348,31.4024
a,JK_standard_drip_filter,model,48.681,31.4546
a,JK_standard_drip_filter,model,48.793,31.4641
a,JK_standard_drip_filter,model,48.902,31.4923
a,JK_standard_drip_filter,model,48.902,31.4828
a,JK_standard_drip_filter,model,49.014,31.5113
a,JK_standard_drip_filter,model,49.127,31.5208
a,JK_standard_drip_filter,model,49.239,31.5401
a,JK_standard_drip_filter,model,49.352,31.549
a,JK_standard_drip_filter,model,49.46,31.5683
a,JK_standard_drip_filter,model,49.46,31.5588
a,JK_standard_drip_filter,model,49.685,31.587
a,JK_standard_drip_filter,model,49.797,31.6155
a,JK_standard_drip_filter,model,49.797,31.606
a,JK_standard_drip_filter,model,49.91,31.6342
a,JK_standard_drip_filter,model,50.135,31.6535
a,JK_standard_drip_filter,model,50.247,31.6722
a,JK_standard_drip_filter,model,50.356,31.682
a,JK_standard_drip_filter,model,50.468,31.7004
a,JK_standard_drip_filter,model,50.693,31.7384
a,JK_standard_drip_filter,model,50.693,31.7197
a,JK_standard_drip_filter,model,50.805,31.7483
a,JK_standard_drip_filter,model,50.918,31.7666
a,JK_standard_drip_filter,model,51.139,31.786
a,JK_standard_drip_filter,model,51.251,31.805
a,JK_standard_drip_filter,model,51.476,31.8236
a,JK_standard_drip_filter,model,51.588,31.8427
a,JK_standard_drip_filter,model,51.701,31.8613
a,JK_standard_drip_filter,model,51.701,31.8518
a,JK_standard_drip_filter,model,51.813,31.8804
a,JK_standard_drip_filter,model,51.925,31.8899
a,JK_standard_drip_filter,model,52.034,31.9089
a,JK_standard_drip_filter,model,52.146,31.9181
a,JK_standard_drip_filter,model,52.259,31.9279
a,JK_standard_drip_filter,model,52.371,31.9466
a,JK_standard_drip_filter,model,52.596,31.9751
a,JK_standard_drip_filter,model,52.596,31.9659
a,JK_standard_drip_filter,model,52.809,32.0043
a,JK_standard_drip_filter,model,53.329,32.0639
a,JK_standard_drip_filter,model,53.604,32.098
a,JK_standard_drip_filter,model,53.604,32.0888
a,JK_standard_drip_filter,model,53.712,32.1173
a,JK_standard_drip_filter,model,53.937,32.1357
a,JK_standard_drip_filter,model,54.05,32.155
a,JK_standard_drip_filter,model,54.274,32.1737
a,JK_standard_drip_filter,model,54.387,32.1836
a,JK_standard_drip_filter,model,54.495,32.2118
a,JK_standard_drip_filter,model,54.495,32.2019
a,JK_standard_drip_filter,model,54.72,32.2304
a,JK_standard_drip_filter,model,54.833,32.2494
a,JK_standard_drip_filter,model,54.945,32.259
a,JK_standard_drip_filter,model,55.057,32.2685
a,JK_standard_drip_filter,model,55.17,32.278
a,JK_standard_drip_filter,model,55.282,32.2966
a,JK_standard_drip_filter,model,55.391,32.3157
a,JK_standard_drip_filter,model,55.391,32.3065
a,JK_standard_drip_filter,model,55.616,32.335
a,JK_standard_drip_filter,model,55.728,32.3534
a,JK_standard_drip_filter,model,55.84,32.3632
a,JK_standard_drip_filter,model,56.065,32.3819
a,JK_standard_drip_filter,model,56.178,32.4012
a,JK_standard_drip_filter,model,56.286,32.4101
a,JK_standard_drip_filter,model,56.399,32.4294
a,JK_standard_drip_filter,model,56.399,32.4196
a,JK_standard_drip_filter,model,56.511,32.4386
a,JK_standard_drip_filter,model,56.623,32.4481
a,JK_standard_drip_filter,model,56.736,32.4671
a,JK_standard_drip_filter,model,57.069,32.4953
a,JK_standard_drip_filter,model,57.182,32.5048
a,JK_standard_drip_filter,model,57.294,32.5333
a,JK_standard_drip_filter,model,57.294,32.5241
a,JK_standard_drip_filter,model,57.519,32.5523
a,JK_standard_drip_filter,model,57.631,32.5615
a,JK_standard_drip_filter,model,57.744,32.571
a,JK_standard_drip_filter,model,57.856,32.5808
a,JK_standard_drip_filter,model,57.965,32.5995
a,JK_standard_drip_filter,model,58.302,32.6375
a,JK_standard_drip_filter,model,58.302,32.6277
a,JK_standard_drip_filter,model,58.527,32.6562
a,JK_standard_drip_filter,model,58.639,32.6756
a,JK_standard_drip_filter,model,58.86,32.6939
a,JK_standard_drip_filter,model,58.972,32.7034
a,JK_standard_drip_filter,model,59.197,32.7316
a,JK_standard_drip_filter,model,59.197,32.7224
a,JK_standard_drip_filter,model,59.542,32.7769
a,JK_standard_drip_filter,model,59.67,32.7677
a,JK_standard_drip_filter,model,60.093,32.8264
a,JK_standard_drip_filter,model,60.093,32.8168
a,JK_standard_drip_filter,model,60.201,32.8359
a,JK_standard_drip_filter,model,60.314,32.8454
a,JK_standard_drip_filter,model,60.876,32.8926
a,JK_standard_drip_filter,model,60.984,32.9021
a,JK_standard_drip_filter,model,61.097,32.9306
