# Moroney, Lee, O'Brien, Suijver, Marra (2015) Chem. Eng. Sci. 137:216-234, doi:10.1016/j.ces.2015.06.003
# Figure 7: cylindrical brewing chamber, numerical solution (model, Table 2 parameters) vs experiment; Cexit (kg/m3) vs Mbrew (kg)
# extraction_method: PDF vector-path extraction (PyMuPDF); calibration from in-figure tick-mark coordinates; MEASURED (exact plotted coordinates, no raster digitization error)
# calibration: MATLAB axis-box ticks; panel a y 0-250, panel b y 0-100, x 0-1 kg
# first experimental exit point panel a = 211.6 kg/m3, consistent with paper csat estimate 212.4 kg/m3
panel,grind,type,Mbrew_kg,Cexit_kg_m3
a,JK_standard_drip_filter,model,0.00186,210.3108
a,JK_standard_drip_filter,model,0.00372,207.4467
a,JK_standard_drip_filter,model,0.01118,199.8854
a,JK_standard_drip_filter,model,0.02292,195.8632
a,JK_standard_drip_filter,model,0.02927,186.9188
a,JK_standard_drip_filter,model,0.03113,184.4088
a,JK_standard_drip_filter,model,0.03114,184.4109
a,JK_standard_drip_filter,model,0.03301,181.726
a,JK_standard_drip_filter,model,0.03506,178.564
a,JK_standard_drip_filter,model,0.03692,175.1
a,JK_standard_drip_filter,model,0.05613,137.3063
a,JK_standard_drip_filter,model,0.06065,98.469
a,JK_standard_drip_filter,model,0.07795,60.5107
a,JK_standard_drip_filter,model,0.08,56.5135
a,JK_standard_drip_filter,model,0.08187,52.8141
a,JK_standard_drip_filter,model,0.08811,43.1199
a,JK_standard_drip_filter,model,0.09459,28.4494
a,JK_standard_drip_filter,model,0.12289,22.3796
a,JK_standard_drip_filter,model,0.12476,21.9609
a,JK_standard_drip_filter,model,0.12681,21.6026
a,JK_standard_drip_filter,model,0.12868,21.2444
a,JK_standard_drip_filter,model,0.1549,16.8805
a,JK_standard_drip_filter,model,0.19144,14.7559
a,JK_standard_drip_filter,model,0.22043,12.65
a,JK_standard_drip_filter,model,0.22248,12.5312
a,JK_standard_drip_filter,model,0.22435,12.4125
a,JK_standard_drip_filter,model,0.2264,12.2938
a,JK_standard_drip_filter,model,0.28899,8.3528
a,JK_standard_drip_filter,model,0.35213,6.2635
a,JK_standard_drip_filter,model,0.41569,4.6534
a,JK_standard_drip_filter,model,0.41756,4.6534
a,JK_standard_drip_filter,model,0.41961,4.593
a,JK_standard_drip_filter,model,0.48262,3.0974
a,JK_standard_drip_filter,model,0.54575,2.3413
a,JK_standard_drip_filter,model,0.6089,1.7289
a,JK_standard_drip_filter,model,0.61095,1.7289
a,JK_standard_drip_filter,model,0.61283,1.7289
a,JK_standard_drip_filter,model,0.67586,1.1311
a,JK_standard_drip_filter,model,0.73902,0.8874
a,JK_standard_drip_filter,model,0.80212,0.6541
a,JK_standard_drip_filter,model,0.80417,0.6541
a,JK_standard_drip_filter,model,0.80603,0.6541
a,JK_standard_drip_filter,model,0.86917,0.4145
a,JK_standard_drip_filter,model,0.93236,0.3708
a,JK_standard_drip_filter,model,0.99552,0.2354
a,JK_standard_drip_filter,model,0.99738,0.2354
a,JK_standard_drip_filter,experiment,0.0216,211.562
a,JK_standard_drip_filter,experiment,0.0511,150.509
a,JK_standard_drip_filter,experiment,0.0767,76.326
a,JK_standard_drip_filter,experiment,0.1011,43.023
a,JK_standard_drip_filter,experiment,0.1343,27.088
a,JK_standard_drip_filter,experiment,0.1714,17.361
a,JK_standard_drip_filter,experiment,0.219,11.094
a,JK_standard_drip_filter,experiment,0.2663,6.977
a,JK_standard_drip_filter,experiment,0.3161,4.888
a,JK_standard_drip_filter,experiment,0.3661,4.171
a,JK_standard_drip_filter,experiment,0.4135,2.799
a,JK_standard_drip_filter,experiment,0.4634,2.082
a,JK_standard_drip_filter,experiment,0.5121,1.426
a,JK_standard_drip_filter,experiment,0.5619,1.426
a,JK_standard_drip_filter,experiment,0.6132,0.709
a,JK_standard_drip_filter,experiment,0.6669,-0.007
a,JK_standard_drip_filter,experiment,0.7195,-0.007
a,JK_standard_drip_filter,experiment,0.7758,-0.007
a,JK_standard_drip_filter,experiment,0.8284,-0.007
a,JK_standard_drip_filter,experiment,0.8834,-0.007
a,JK_standard_drip_filter,experiment,0.9345,-0.007
a,JK_standard_drip_filter,experiment,0.9858,-0.007
b,Illy_Cimbali_20,model,0.00188,82.6426
b,Illy_Cimbali_20,model,0.00374,82.2378
b,Illy_Cimbali_20,model,0.01221,80.5712
b,Illy_Cimbali_20,model,0.02355,81.8164
b,Illy_Cimbali_20,model,0.03246,82.6192
b,Illy_Cimbali_20,model,0.03451,82.763
b,Illy_Cimbali_20,model,0.03638,82.4277
b,Illy_Cimbali_20,model,0.04204,80.7083
b,Illy_Cimbali_20,model,0.04423,78.0808
b,Illy_Cimbali_20,model,0.04794,76.2209
b,Illy_Cimbali_20,model,0.04979,75.1246
b,Illy_Cimbali_20,model,0.0498,75.1238
b,Illy_Cimbali_20,model,0.05165,73.9789
b,Illy_Cimbali_20,model,0.08435,56.5713
b,Illy_Cimbali_20,model,0.12544,26.7854
b,Illy_Cimbali_20,model,0.23759,14.3251
b,Illy_Cimbali_20,model,0.23965,14.1345
b,Illy_Cimbali_20,model,0.24151,13.9196
b,Illy_Cimbali_20,model,0.29371,8.3643
b,Illy_Cimbali_20,model,0.36196,6.7938
b,Illy_Cimbali_20,model,0.42745,5.8505
b,Illy_Cimbali_20,model,0.4295,5.8271
b,Illy_Cimbali_20,model,0.43137,5.8028
b,Illy_Cimbali_20,model,0.49311,5.0084
b,Illy_Cimbali_20,model,0.55535,4.7056
b,Illy_Cimbali_20,model,0.6173,4.3945
b,Illy_Cimbali_20,model,0.61917,4.3945
b,Illy_Cimbali_20,model,0.62121,4.3703
b,Illy_Cimbali_20,model,0.68319,4.0835
b,Illy_Cimbali_20,model,0.74517,3.8694
b,Illy_Cimbali_20,model,0.80715,3.631
b,Illy_Cimbali_20,model,0.80902,3.631
b,Illy_Cimbali_20,model,0.80902,3.6302
b,Illy_Cimbali_20,model,0.81107,3.6302
b,Illy_Cimbali_20,model,0.87302,3.4178
b,Illy_Cimbali_20,model,0.93503,3.2121
b,Illy_Cimbali_20,model,0.99701,3.0574
b,Illy_Cimbali_20,model,0.99888,3.0331
b,Illy_Cimbali_20,experiment,0.0188,82.638
b,Illy_Cimbali_20,experiment,0.0418,80.371
b,Illy_Cimbali_20,experiment,0.0671,62.229
b,Illy_Cimbali_20,experiment,0.0925,44.541
b,Illy_Cimbali_20,experiment,0.1229,32.749
b,Illy_Cimbali_20,experiment,0.1557,24.586
b,Illy_Cimbali_20,experiment,0.1988,19.621
