# Moroney, Lee, O'Brien, Suijver, Marra (2015) Chem. Eng. Sci. 137:216-234, doi:10.1016/j.ces.2015.06.003
# Figure 9: grind size distributions of all four analysable grinds (Cimbali #30 too coarse for the Mastersizer, not shown in source)
# extraction_method: PDF vector-path extraction (PyMuPDF); calibration from in-figure tick-mark coordinates; MEASURED (exact plotted coordinates, no raster digitization error)
# calibration: identical to Fig 1 (log decade ticks; y 0-10%)
# JK and Cimbali#20 curves are numerically identical to Fig 1 (same underlying data replotted): max |dy| < 0.01
series,particle_size_um,volume_fraction_pct
JK_standard_drip,0.0107,0.0
JK_standard_drip,0.0123,0.0
JK_standard_drip,0.0165,0.0
JK_standard_drip,0.022,0.0
JK_standard_drip,0.0293,-0.0
JK_standard_drip,0.0392,0.0
JK_standard_drip,0.0523,0.0
JK_standard_drip,0.0698,-0.0
JK_standard_drip,0.0932,0.0
JK_standard_drip,0.1244,0.0
JK_standard_drip,0.166,0.0
JK_standard_drip,0.2216,0.0
JK_standard_drip,0.2958,0.0
JK_standard_drip,0.3397,0.0
JK_standard_drip,0.39,0.078
JK_standard_drip,0.4478,0.0996
JK_standard_drip,0.5141,0.119
JK_standard_drip,0.5903,0.1296
JK_standard_drip,0.6452,0.1322
JK_standard_drip,0.7047,0.1315
JK_standard_drip,0.7695,0.1287
JK_standard_drip,0.8399,0.1248
JK_standard_drip,0.9166,0.121
JK_standard_drip,1.0002,0.1182
JK_standard_drip,1.0915,0.1176
JK_standard_drip,1.1914,0.1203
JK_standard_drip,1.3008,0.1273
JK_standard_drip,1.4208,0.1397
JK_standard_drip,1.5527,0.1587
JK_standard_drip,1.7827,0.1951
JK_standard_drip,2.0467,0.2371
JK_standard_drip,2.2383,0.2665
JK_standard_drip,2.445,0.2922
JK_standard_drip,2.6685,0.3147
JK_standard_drip,2.9108,0.3345
JK_standard_drip,3.1741,0.3521
JK_standard_drip,3.4611,0.3679
JK_standard_drip,3.7749,0.3825
JK_standard_drip,4.1193,0.3964
JK_standard_drip,4.4985,0.41
JK_standard_drip,4.9178,0.4238
JK_standard_drip,5.3832,0.4383
JK_standard_drip,6.1809,0.4716
JK_standard_drip,7.0967,0.5187
JK_standard_drip,8.1483,0.5844
JK_standard_drip,9.3558,0.6687
JK_standard_drip,10.1938,0.7297
JK_standard_drip,11.1014,0.7981
JK_standard_drip,12.0875,0.8713
JK_standard_drip,13.1628,0.947
JK_standard_drip,14.3399,1.0225
JK_standard_drip,15.6337,1.0955
JK_standard_drip,17.0619,1.1635
JK_standard_drip,18.6456,1.224
JK_standard_drip,20.4099,1.2745
JK_standard_drip,22.3849,1.3124
JK_standard_drip,24.6067,1.3355
JK_standard_drip,28.253,1.3403
JK_standard_drip,32.4395,1.316
JK_standard_drip,35.3358,1.2855
JK_standard_drip,38.5683,1.2544
JK_standard_drip,42.1598,1.2228
JK_standard_drip,46.1315,1.1904
JK_standard_drip,50.5015,1.1573
JK_standard_drip,55.2837,1.1233
JK_standard_drip,60.4859,1.0884
JK_standard_drip,66.1078,1.0524
JK_standard_drip,72.1393,1.0153
JK_standard_drip,78.5576,0.977
JK_standard_drip,85.3258,0.9374
JK_standard_drip,97.9694,0.858
JK_standard_drip,112.47,0.7824
JK_standard_drip,129.1453,0.7462
JK_standard_drip,148.2821,0.8013
JK_standard_drip,170.2421,1.0082
JK_standard_drip,195.4686,1.4337
JK_standard_drip,224.4169,2.1026
JK_standard_drip,257.6709,3.0318
JK_standard_drip,295.8312,4.1416
JK_standard_drip,339.692,5.3418
JK_standard_drip,389.9992,6.4503
JK_standard_drip,447.7893,7.309
JK_standard_drip,514.1426,7.7555
JK_standard_drip,590.2855,7.7039
JK_standard_drip,677.8037,7.1528
JK_standard_drip,778.127,6.1859
JK_standard_drip,893.4298,4.9716
JK_standard_drip,1025.8181,3.7049
JK_standard_drip,1177.9102,2.4837
JK_standard_drip,1352.2555,1.3215
JK_standard_drip,1552.6325,0.0477
JK_standard_drip,1782.7034,0.0
JK_standard_drip,2046.8339,0.0
JK_standard_drip,2350.0917,0.0
JK_standard_drip,2698.2738,-0.0
JK_standard_drip,3098.0363,0.0
JK_standard_drip,3557.0221,0.0
JK_standard_drip,4084.007,-0.0
JK_standard_drip,4689.068,0.0
JK_standard_drip,5383.7764,0.0
JK_standard_drip,6181.4196,0.0
JK_standard_drip,7097.2554,0.0
JK_standard_drip,8148.8053,0.0
JK_standard_drip,9355.6171,0.0
Illy_Cimbali_20,0.0107,0.0
Illy_Cimbali_20,0.0123,0.0
Illy_Cimbali_20,0.0142,0.0
Illy_Cimbali_20,0.0163,0.0
Illy_Cimbali_20,0.0187,0.0
Illy_Cimbali_20,0.0214,0.0
Illy_Cimbali_20,0.0246,0.0
Illy_Cimbali_20,0.0283,0.0
Illy_Cimbali_20,0.0324,0.0
Illy_Cimbali_20,0.0372,0.0
Illy_Cimbali_20,0.0428,0.0
Illy_Cimbali_20,0.0491,0.0
Illy_Cimbali_20,0.0564,0.0
Illy_Cimbali_20,0.0647,0.0
Illy_Cimbali_20,0.0743,0.0
Illy_Cimbali_20,0.0853,0.0
Illy_Cimbali_20,0.098,0.0
Illy_Cimbali_20,0.1125,0.0
Illy_Cimbali_20,0.1291,0.0
Illy_Cimbali_20,0.1483,0.0
Illy_Cimbali_20,0.1702,0.0
Illy_Cimbali_20,0.1955,0.0
Illy_Cimbali_20,0.2244,0.0
Illy_Cimbali_20,0.2577,0.0
Illy_Cimbali_20,0.2958,0.0
Illy_Cimbali_20,0.3397,0.0
Illy_Cimbali_20,0.39,0.041
Illy_Cimbali_20,0.4478,0.0794
Illy_Cimbali_20,0.5141,0.0972
Illy_Cimbali_20,0.5903,0.1096
Illy_Cimbali_20,0.6778,0.1162
Illy_Cimbali_20,0.7781,0.1178
Illy_Cimbali_20,0.8934,0.1162
Illy_Cimbali_20,1.0258,0.1135
Illy_Cimbali_20,1.1778,0.1125
Illy_Cimbali_20,1.3523,0.1158
Illy_Cimbali_20,1.5527,0.1243
Illy_Cimbali_20,1.7827,0.1377
Illy_Cimbali_20,2.0467,0.1541
Illy_Cimbali_20,2.3499,0.1709
Illy_Cimbali_20,2.6981,0.1866
Illy_Cimbali_20,3.0981,0.2002
Illy_Cimbali_20,3.5566,0.2119
Illy_Cimbali_20,4.0837,0.223
Illy_Cimbali_20,4.6888,0.2352
Illy_Cimbali_20,5.3832,0.2507
Illy_Cimbali_20,6.1809,0.2718
Illy_Cimbali_20,7.0967,0.3004
Illy_Cimbali_20,8.1483,0.3388
Illy_Cimbali_20,9.3558,0.3863
Illy_Cimbali_20,10.7413,0.4443
Illy_Cimbali_20,12.333,0.5087
Illy_Cimbali_20,14.1594,0.5772
Illy_Cimbali_20,16.2575,0.642
Illy_Cimbali_20,18.6666,0.6979
Illy_Cimbali_20,21.4326,0.7375
Illy_Cimbali_20,24.6067,0.7565
Illy_Cimbali_20,28.253,0.7524
Illy_Cimbali_20,32.4395,0.7272
Illy_Cimbali_20,37.2436,0.6866
Illy_Cimbali_20,42.7624,0.6396
Illy_Cimbali_20,49.0989,0.5976
Illy_Cimbali_20,56.3744,0.5717
Illy_Cimbali_20,64.7185,0.5705
Illy_Cimbali_20,74.314,0.5976
Illy_Cimbali_20,85.3258,0.6506
Illy_Cimbali_20,97.9694,0.7192
Illy_Cimbali_20,112.47,0.7888
Illy_Cimbali_20,129.1453,0.8399
Illy_Cimbali_20,148.2821,0.8568
Illy_Cimbali_20,170.2421,0.8309
Illy_Cimbali_20,195.4686,0.7706
Illy_Cimbali_20,224.4169,0.7119
Illy_Cimbali_20,257.6709,0.7166
Illy_Cimbali_20,295.8312,0.8721
Illy_Cimbali_20,339.692,1.2785
Illy_Cimbali_20,389.9992,2.007
Illy_Cimbali_20,447.7893,3.1012
Illy_Cimbali_20,514.1426,4.5043
Illy_Cimbali_20,590.2855,6.0959
Illy_Cimbali_20,677.8037,7.6512
Illy_Cimbali_20,778.127,8.9134
Illy_Cimbali_20,893.4298,9.6312
Illy_Cimbali_20,1025.8181,9.632
Illy_Cimbali_20,1177.9102,8.8679
Illy_Cimbali_20,1352.2555,7.4296
Illy_Cimbali_20,1552.6325,5.5395
Illy_Cimbali_20,1782.7034,3.1315
Illy_Cimbali_20,2046.7137,0.7405
Illy_Cimbali_20,2350.1681,0.0
Illy_Cimbali_20,2698.2204,0.0
Illy_Cimbali_20,3098.2665,0.0
Illy_Cimbali_20,3556.8484,0.0
Illy_Cimbali_20,4083.9063,0.0
Illy_Cimbali_20,4688.7144,0.0
Illy_Cimbali_20,5383.4874,0.0
Illy_Cimbali_20,6180.7644,0.0
Illy_Cimbali_20,7097.1506,0.0
Illy_Cimbali_20,8148.8053,0.0
Illy_Cimbali_20,9355.6171,0.0
DE_standard_drip,0.0107,0.0
DE_standard_drip,0.0123,0.0
DE_standard_drip,0.0142,0.0
DE_standard_drip,0.0163,0.0
DE_standard_drip,0.0187,0.0
DE_standard_drip,0.0214,0.0
DE_standard_drip,0.0246,0.0
DE_standard_drip,0.0283,0.0
DE_standard_drip,0.0324,0.0
DE_standard_drip,0.0372,0.0
DE_standard_drip,0.0428,0.0
DE_standard_drip,0.0491,0.0
DE_standard_drip,0.0564,0.0
DE_standard_drip,0.0647,0.0
DE_standard_drip,0.0743,0.0
DE_standard_drip,0.0853,0.0
DE_standard_drip,0.098,0.0
DE_standard_drip,0.1125,0.0
DE_standard_drip,0.1291,0.0
DE_standard_drip,0.1483,0.0
DE_standard_drip,0.1702,0.0
DE_standard_drip,0.1955,0.0
DE_standard_drip,0.2244,0.0
DE_standard_drip,0.2577,0.0
DE_standard_drip,0.2958,0.0
DE_standard_drip,0.3397,0.0
DE_standard_drip,0.39,0.0731
DE_standard_drip,0.4478,0.0941
DE_standard_drip,0.5141,0.1135
DE_standard_drip,0.5903,0.1252
DE_standard_drip,0.6778,0.1295
DE_standard_drip,0.7781,0.1278
DE_standard_drip,0.8934,0.1231
DE_standard_drip,1.0258,0.1194
DE_standard_drip,1.1778,0.1212
DE_standard_drip,1.3523,0.1321
DE_standard_drip,1.5527,0.1531
DE_standard_drip,1.7827,0.1831
