# Moroney, Lee, O'Brien, Suijver, Marra (2015) Chem. Eng. Sci. 137:216-234, doi:10.1016/j.ces.2015.06.003
# Figure 11: JK drip filter grind, effect of coffee bed mass (60 g / bed 4.05 cm vs 12.5 g / bed 1.12 cm), 250 ml/min; concentration (mg per gram) vs Mbrew (g)
# extraction_method: PDF vector-path extraction (PyMuPDF); calibration from in-figure tick-mark coordinates; MEASURED (exact plotted coordinates, no raster digitization error)
# calibration: major-tick anchored (padded frames), x 0-1000 g, y 0-200 mg/g
# blue series duplicates Fig 3 a/b (same experiment)
panel,quantity,series,Mbrew_g,concentration_mg_per_g
a,coffee_pot_cbrew,JK_60g_2.3bar_250ml_min,22.0,218.073
a,coffee_pot_cbrew,JK_60g_2.3bar_250ml_min,50.52,181.522
a,coffee_pot_cbrew,JK_60g_2.3bar_250ml_min,79.06,144.973
a,coffee_pot_cbrew,JK_60g_2.3bar_250ml_min,102.41,120.851
a,coffee_pot_cbrew,JK_60g_2.3bar_250ml_min,134.84,98.921
a,coffee_pot_cbrew,JK_60g_2.3bar_250ml_min,172.46,80.646
a,coffee_pot_cbrew,JK_60g_2.3bar_250ml_min,189.87,206.498
a,coffee_pot_cbrew,JK_60g_2.3bar_250ml_min,220.44,66.029
a,coffee_pot_cbrew,JK_60g_2.3bar_250ml_min,267.14,55.059
a,coffee_pot_cbrew,JK_60g_2.3bar_250ml_min,315.13,47.753
a,coffee_pot_cbrew,JK_60g_2.3bar_250ml_min,365.71,41.902
a,coffee_pot_cbrew,JK_60g_2.3bar_250ml_min,413.7,36.055
a,coffee_pot_cbrew,JK_60g_2.3bar_250ml_min,464.28,33.132
a,coffee_pot_cbrew,JK_60g_2.3bar_250ml_min,509.68,30.209
a,coffee_pot_cbrew,JK_60g_2.3bar_250ml_min,561.56,28.015
a,coffee_pot_cbrew,JK_60g_2.3bar_250ml_min,613.44,25.094
a,coffee_pot_cbrew,JK_60g_2.3bar_250ml_min,666.62,22.901
a,coffee_pot_cbrew,JK_60g_2.3bar_250ml_min,718.5,21.437
a,coffee_pot_cbrew,JK_60g_2.3bar_250ml_min,775.57,19.977
a,coffee_pot_cbrew,JK_60g_2.3bar_250ml_min,827.45,18.513
a,coffee_pot_cbrew,JK_60g_2.3bar_250ml_min,883.22,17.054
a,coffee_pot_cbrew,JK_60g_2.3bar_250ml_min,935.1,16.323
a,coffee_pot_cbrew,JK_60g_2.3bar_250ml_min,985.68,15.589
a,coffee_pot_cbrew,JK_12.5g_0.5bar_250ml_min,11.42,94.958
a,coffee_pot_cbrew,JK_12.5g_0.5bar_250ml_min,27.38,69.838
a,coffee_pot_cbrew,JK_12.5g_0.5bar_250ml_min,46.06,50.365
a,coffee_pot_cbrew,JK_12.5g_0.5bar_250ml_min,65.13,39.139
a,coffee_pot_cbrew,JK_12.5g_0.5bar_250ml_min,83.8,31.499
a,coffee_pot_cbrew,JK_12.5g_0.5bar_250ml_min,105.2,26.103
a,coffee_pot_cbrew,JK_12.5g_0.5bar_250ml_min,125.82,22.63
a,coffee_pot_cbrew,JK_12.5g_0.5bar_250ml_min,147.03,19.094
a,coffee_pot_cbrew,JK_12.5g_0.5bar_250ml_min,168.43,17.028
a,coffee_pot_cbrew,JK_12.5g_0.5bar_250ml_min,190.06,161.812
a,coffee_pot_cbrew,JK_12.5g_0.5bar_250ml_min,191.39,15.274
a,coffee_pot_cbrew,JK_12.5g_0.5bar_250ml_min,214.93,13.278
a,coffee_pot_cbrew,JK_12.5g_0.5bar_250ml_min,236.91,12.059
a,coffee_pot_cbrew,JK_12.5g_0.5bar_250ml_min,263.37,10.879
a,coffee_pot_cbrew,JK_12.5g_0.5bar_250ml_min,287.88,9.573
b,filter_exit_cexit,JK_60g_2.3bar_250ml_min,21.72,218.612
b,filter_exit_cexit,JK_60g_2.3bar_250ml_min,51.16,155.393
b,filter_exit_cexit,JK_60g_2.3bar_250ml_min,76.77,78.528
b,filter_exit_cexit,JK_60g_2.3bar_250ml_min,101.1,44.044
b,filter_exit_cexit,JK_60g_2.3bar_250ml_min,134.39,27.521
b,filter_exit_cexit,JK_60g_2.3bar_250ml_min,171.53,17.466
b,filter_exit_cexit,JK_60g_2.3bar_250ml_min,179.87,201.501
b,filter_exit_cexit,JK_60g_2.3bar_250ml_min,218.9,11.0
b,filter_exit_cexit,JK_60g_2.3bar_250ml_min,266.28,6.691
b,filter_exit_cexit,JK_60g_2.3bar_250ml_min,316.2,4.536
b,filter_exit_cexit,JK_60g_2.3bar_250ml_min,366.15,3.814
b,filter_exit_cexit,JK_60g_2.3bar_250ml_min,413.52,2.378
b,filter_exit_cexit,JK_60g_2.3bar_250ml_min,463.46,1.66
b,filter_exit_cexit,JK_60g_2.3bar_250ml_min,512.11,0.944
b,filter_exit_cexit,JK_60g_2.3bar_250ml_min,562.05,0.944
b,filter_exit_cexit,JK_60g_2.3bar_250ml_min,613.27,0.226
b,filter_exit_cexit,JK_60g_2.3bar_250ml_min,667.05,-0.495
b,filter_exit_cexit,JK_60g_2.3bar_250ml_min,719.54,-0.495
b,filter_exit_cexit,JK_60g_2.3bar_250ml_min,775.89,-0.495
b,filter_exit_cexit,JK_60g_2.3bar_250ml_min,828.38,-0.495
b,filter_exit_cexit,JK_60g_2.3bar_250ml_min,883.44,-0.495
b,filter_exit_cexit,JK_60g_2.3bar_250ml_min,934.65,-0.495
