# Moroney, Lee, O'Brien, Suijver, Marra (2015) Chem. Eng. Sci. 137:216-234, doi:10.1016/j.ces.2015.06.003
# Figure 12: JK drip filter grind, effect of absolute pressure (2.3 bar vs 9.0 bar), 60 g, 250 ml/min; concentration (mg per gram) vs Mbrew (g)
# extraction_method: PDF vector-path extraction (PyMuPDF); calibration from in-figure tick-mark coordinates; MEASURED (exact plotted coordinates, no raster digitization error)
# calibration: major-tick anchored (padded frames), x 0-1000 g, y 0-200 mg/g
# blue series duplicates Fig 3 a/b (same experiment)
panel,quantity,series,Mbrew_g,concentration_mg_per_g
a,coffee_pot_cbrew,JK_60g_2.3bar_250ml_min,22.0,218.076
a,coffee_pot_cbrew,JK_60g_2.3bar_250ml_min,50.53,181.523
a,coffee_pot_cbrew,JK_60g_2.3bar_250ml_min,79.06,144.974
a,coffee_pot_cbrew,JK_60g_2.3bar_250ml_min,102.42,120.851
a,coffee_pot_cbrew,JK_60g_2.3bar_250ml_min,134.84,98.92
a,coffee_pot_cbrew,JK_60g_2.3bar_250ml_min,172.46,80.646
a,coffee_pot_cbrew,JK_60g_2.3bar_250ml_min,213.88,204.001
a,coffee_pot_cbrew,JK_60g_2.3bar_250ml_min,220.44,66.028
a,coffee_pot_cbrew,JK_60g_2.3bar_250ml_min,267.14,55.061
a,coffee_pot_cbrew,JK_60g_2.3bar_250ml_min,315.13,47.752
a,coffee_pot_cbrew,JK_60g_2.3bar_250ml_min,365.71,41.903
a,coffee_pot_cbrew,JK_60g_2.3bar_250ml_min,413.7,36.053
a,coffee_pot_cbrew,JK_60g_2.3bar_250ml_min,464.29,33.132
a,coffee_pot_cbrew,JK_60g_2.3bar_250ml_min,509.68,30.209
a,coffee_pot_cbrew,JK_60g_2.3bar_250ml_min,561.56,28.013
a,coffee_pot_cbrew,JK_60g_2.3bar_250ml_min,613.44,25.092
a,coffee_pot_cbrew,JK_60g_2.3bar_250ml_min,666.62,22.896
a,coffee_pot_cbrew,JK_60g_2.3bar_250ml_min,718.5,21.435
a,coffee_pot_cbrew,JK_60g_2.3bar_250ml_min,775.57,19.972
a,coffee_pot_cbrew,JK_60g_2.3bar_250ml_min,827.45,18.51
a,coffee_pot_cbrew,JK_60g_2.3bar_250ml_min,883.22,17.051
a,coffee_pot_cbrew,JK_60g_2.3bar_250ml_min,935.1,16.32
a,coffee_pot_cbrew,JK_60g_2.3bar_250ml_min,985.68,15.589
a,coffee_pot_cbrew,JK_60g_9.0bar_250ml_min,19.59,213.334
a,coffee_pot_cbrew,JK_60g_9.0bar_250ml_min,48.13,174.721
a,coffee_pot_cbrew,JK_60g_9.0bar_250ml_min,74.07,145.304
a,coffee_pot_cbrew,JK_60g_9.0bar_250ml_min,97.42,120.707
a,coffee_pot_cbrew,JK_60g_9.0bar_250ml_min,122.06,103.893
a,coffee_pot_cbrew,JK_60g_9.0bar_250ml_min,142.82,90.736
a,coffee_pot_cbrew,JK_60g_9.0bar_250ml_min,175.25,77.406
a,coffee_pot_cbrew,JK_60g_9.0bar_250ml_min,207.03,67.378
a,coffee_pot_cbrew,JK_60g_9.0bar_250ml_min,214.07,159.317
a,coffee_pot_cbrew,JK_60g_9.0bar_250ml_min,242.04,58.582
a,coffee_pot_cbrew,JK_60g_9.0bar_250ml_min,283.55,50.502
a,coffee_pot_cbrew,JK_60g_9.0bar_250ml_min,327.0,44.516
a,coffee_pot_cbrew,JK_60g_9.0bar_250ml_min,369.15,39.494
a,coffee_pot_cbrew,JK_60g_9.0bar_250ml_min,417.78,35.319
a,coffee_pot_cbrew,JK_60g_9.0bar_250ml_min,463.84,31.192
a,coffee_pot_cbrew,JK_60g_9.0bar_250ml_min,515.71,28.5
a,coffee_pot_cbrew,JK_60g_9.0bar_250ml_min,566.95,25.338
a,coffee_pot_cbrew,JK_60g_9.0bar_250ml_min,618.17,23.347
a,coffee_pot_cbrew,JK_60g_9.0bar_250ml_min,670.71,21.226
a,coffee_pot_cbrew,JK_60g_9.0bar_250ml_min,729.08,19.523
a,coffee_pot_cbrew,JK_60g_9.0bar_250ml_min,780.3,17.532
a,coffee_pot_cbrew,JK_60g_9.0bar_250ml_min,832.83,16.96
a,coffee_pot_cbrew,JK_60g_9.0bar_250ml_min,882.12,16.138
a,coffee_pot_cbrew,JK_60g_9.0bar_250ml_min,933.35,15.187
b,filter_exit_cexit,JK_60g_2.3bar_250ml_min,21.72,218.617
b,filter_exit_cexit,JK_60g_2.3bar_250ml_min,51.17,155.397
b,filter_exit_cexit,JK_60g_2.3bar_250ml_min,76.78,78.527
b,filter_exit_cexit,JK_60g_2.3bar_250ml_min,101.1,44.046
b,filter_exit_cexit,JK_60g_2.3bar_250ml_min,134.39,27.522
b,filter_exit_cexit,JK_60g_2.3bar_250ml_min,171.53,17.465
b,filter_exit_cexit,JK_60g_2.3bar_250ml_min,213.87,204.0
b,filter_exit_cexit,JK_60g_2.3bar_250ml_min,218.9,11.0
b,filter_exit_cexit,JK_60g_2.3bar_250ml_min,266.28,6.689
b,filter_exit_cexit,JK_60g_2.3bar_250ml_min,316.21,4.533
b,filter_exit_cexit,JK_60g_2.3bar_250ml_min,366.15,3.816
b,filter_exit_cexit,JK_60g_2.3bar_250ml_min,413.53,2.377
b,filter_exit_cexit,JK_60g_2.3bar_250ml_min,463.46,1.658
b,filter_exit_cexit,JK_60g_2.3bar_250ml_min,512.11,0.944
b,filter_exit_cexit,JK_60g_2.3bar_250ml_min,562.05,0.944
b,filter_exit_cexit,JK_60g_2.3bar_250ml_min,613.27,0.225
b,filter_exit_cexit,JK_60g_2.3bar_250ml_min,667.05,-0.494
b,filter_exit_cexit,JK_60g_2.3bar_250ml_min,719.54,-0.494
b,filter_exit_cexit,JK_60g_2.3bar_250ml_min,775.88,-0.494
b,filter_exit_cexit,JK_60g_2.3bar_250ml_min,828.37,-0.494
b,filter_exit_cexit,JK_60g_2.3bar_250ml_min,883.43,-0.494
b,filter_exit_cexit,JK_60g_2.3bar_250ml_min,934.65,-0.494
b,filter_exit_cexit,JK_60g_2.3bar_250ml_min,985.86,-0.491
b,filter_exit_cexit,JK_60g_9.0bar_250ml_min,22.55,214.679
b,filter_exit_cexit,JK_60g_9.0bar_250ml_min,50.72,145.272
b,filter_exit_cexit,JK_60g_9.0bar_250ml_min,74.41,84.251
b,filter_exit_cexit,JK_60g_9.0bar_250ml_min,98.74,48.494
b,filter_exit_cexit,JK_60g_9.0bar_250ml_min,123.06,31.685
b,filter_exit_cexit,JK_60g_9.0bar_250ml_min,144.82,21.628
b,filter_exit_cexit,JK_60g_9.0bar_250ml_min,175.56,15.78
b,filter_exit_cexit,JK_60g_9.0bar_250ml_min,207.57,10.355
b,filter_exit_cexit,JK_60g_9.0bar_250ml_min,214.07,159.317
b,filter_exit_cexit,JK_60g_9.0bar_250ml_min,244.06,8.635
b,filter_exit_cexit,JK_60g_9.0bar_250ml_min,285.04,5.371
b,filter_exit_cexit,JK_60g_9.0bar_250ml_min,326.65,3.894
b,filter_exit_cexit,JK_60g_9.0bar_250ml_min,371.47,2.594
b,filter_exit_cexit,JK_60g_9.0bar_250ml_min,420.11,1.266
b,filter_exit_cexit,JK_60g_9.0bar_250ml_min,464.93,0.583
b,filter_exit_cexit,JK_60g_9.0bar_250ml_min,516.14,0.407
b,filter_exit_cexit,JK_60g_9.0bar_250ml_min,568.64,-0.639
b,filter_exit_cexit,JK_60g_9.0bar_250ml_min,621.13,-0.639
b,filter_exit_cexit,JK_60g_9.0bar_250ml_min,672.35,-0.639
b,filter_exit_cexit,JK_60g_9.0bar_250ml_min,729.97,-0.639
b,filter_exit_cexit,JK_60g_9.0bar_250ml_min,785.03,-0.639
b,filter_exit_cexit,JK_60g_9.0bar_250ml_min,836.24,-0.639
