# Moroney, Lee, O'Brien, Suijver, Marra (2015) Chem. Eng. Sci. 137:216-234, doi:10.1016/j.ces.2015.06.003
# Table 1: parameters for simulation of the batch extraction experiments
# extraction_method: transcribed from PDF text layer; MEASURED (verbatim numeric values)
parameter,description,units,JK_drip_filter,Cimbali_20
phi_v0,initial intragranular porosity,-,0.6444,0.6120
phi_h,intergranular porosity,-,0.8272,0.8272
k_sv1,"Sauter mean diameter, full distribution",um,27.35,38.77
k_sv2,"Sauter mean diameter, particles >50 um",um,322.49,569.45
l_l,volume-weighted mean grain radius,um,282,463
D_h = D_v,diffusion coefficient of coffee in water,m2 s-1,2.2e-9,2.2e-9
rho,liquid density,kg m-3,965.3,965.3
mu,viscosity of water,Pa s,0.315e-3,0.315e-3
m,coffee cell diameter,um,30,30
c_sat,coffee solubility (saturation concentration),kg m-3,212.4,212.4
c_s,solid coffee concentration,kg m-3,1400,1400
kappa,Kozeny-Carman shape/tortuosity factor,-,3.1,3.1
phi_c0,initial volume fraction of soluble coffee in grains,-,0.143435,0.122
phi_ss0,"initial soluble coffee volume fraction, grain surface",-,0.059,0.07
phi_sb0,"initial soluble coffee volume fraction, grain kernel",-,0.084435,0.052
alpha_star,fitting parameter (v-h transfer),-,0.1833,0.0881
beta_star,fitting parameter (surface extraction),-,0.0447,0.0086
r_s,1/phi_ss0,-,16.94,14.28
c_v0,initial v-phase concentration,kg m-3,183.43,118.95
